tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59297.447210600134,1543447211915015017,1,1543447211915,19.8249,1,1543,1.85813,19.8016,19.2912,0.241383,0.1621,254.5419311,32.011616,0.157143,t17_f5_c3,19.1508,0.1822,False,False,False,correction_0.0.1,0.0,,,,,,ZTF21aaquppw
ztf,59301.423692100216,1547423691915015006,2,1547423691915,19.212893,1,1547,1.8076812,19.330086,19.1781,0.18751036,0.2946,254.5419802,32.0117616,0.7,t17_f5_c3,19.1121,0.356,True,False,False,correction_0.0.1,0.0,0.98664534,680120219.0,,,,ZTF21aaquppw
ztf,59303.38659719983,1549386591915015005,1,1549386591915,19.365818,1,1549,1.4988158,18.854408,19.156,0.17982426,0.3215,254.5418841,32.0118348,0.7814286,t17_f5_c3,19.0754,0.3831,True,False,False,correction_0.0.1,0.0,0.9857463,680120119.0,,,,ZTF21aaquppw
ztf,59303.44361109985,1549443611915015002,2,1549443611915,19.597876,1,1549,1.4250748,19.176832,19.4481,0.17258437,0.3425,254.5418635,32.0118101,0.9557143,t17_f5_c3,19.4416,0.4363,True,False,False,correction_0.0.1,0.0,0.99959755,680120219.0,,,,ZTF21aaquppw
ztf,59306.426631900016,1552426631915015008,1,1552426631915,20.074131,1,1552,1.5486385,18.815647,18.793,0.11346867,0.1214,254.5418956,32.0118027,0.94714284,t17_f5_c3,18.6852,0.1405,True,False,False,correction_0.0.1,0.0,0.9999882,680120119.0,,,,ZTF21aaquppw
ztf,59306.47140049981,1552471401915015012,2,1552471401915,20.349133,1,1552,1.437372,19.091356,19.1219,0.09294581,0.1442,254.5418672,32.0118058,0.94857144,t17_f5_c3,19.1423,0.1872,True,False,False,correction_0.0.1,0.0,0.9999716,680120219.0,,,,ZTF21aaquppw
ztf,59308.40563660022,1554405631915015010,1,1554405631915,20.281687,1,1554,1.2633262,18.90886,18.7992,0.11201456,0.0824,254.5417955,32.0117815,0.7771429,t17_f5_c3,18.6841,0.0939,True,True,True,correction_0.0.1,0.0,0.99972475,680120119.0,18.44255,0.067484416,0.07290396,ZTF21aaquppw
ztf,59308.453298599925,1554453291915015011,2,1554453291915,20.546448,1,1554,1.4544157,19.050905,19.0906,0.09153818,0.1121,254.5418691,32.0117946,0.9628571,t17_f5_c3,19.1168,0.1454,True,False,False,correction_0.0.1,0.0,0.9999989,680120219.0,,,,ZTF21aaquppw
ztf,59311.4462036998,1557446201915015017,1,1557446201915,20.88623,1,1557,1.3138602,18.941488,18.8816,0.08481026,0.065,254.5418164,32.0118,0.93714285,t17_f5_c3,18.8422,0.0783,True,True,True,correction_0.0.1,0.0,0.99738824,680120119.0,18.463676,0.046817973,0.05461643,ZTF21aaquppw
ztf,59313.44405090017,1559444051915015007,2,1559444051915,20.385897,1,1559,1.3499265,18.998917,18.9903,0.113217674,0.1165,254.5418317,32.0117926,0.9628571,t17_f5_c3,18.9942,0.1482,True,True,True,correction_0.0.1,0.0,0.9999894,680120219.0,18.287088,0.04713864,0.058773726,ZTF21aaquppw
ztf,59313.48202549992,1559482021915015013,1,1559482021915,20.341892,1,1559,1.4022559,19.03291,18.9542,0.091038786,0.1048,254.5418468,32.0117939,0.94857144,t17_f5_c3,18.8694,0.1228,True,False,False,correction_0.0.1,0.0,0.9997658,680120119.0,,,,ZTF21aaquppw
ztf,59315.32055559987,1561320551915015069,1,1561320551915,19.768257,1,1561,1.2563697,18.930367,19.0075,0.1681774,0.1975,254.5417992,32.0118004,0.7657143,t17_f5_c3,18.9423,0.2374,True,True,True,correction_0.0.1,0.0,0.99979955,680120119.0,18.456501,0.10504564,0.10869789,ZTF21aaquppw
ztf,59317.43336809985,1563433361915015015,2,1563433361915,20.889215,1,1563,1.3583307,19.22042,19.0247,0.07421461,0.0765,254.5418329,32.0117814,0.9342857,t17_f5_c3,18.9505,0.0891,True,True,True,correction_0.0.1,0.0,0.99990976,680120219.0,18.396431,100.0,0.034745105,ZTF21aaquppw
ztf,59317.47670139978,1563476701915015020,1,1563476701915,20.842936,1,1563,1.2138247,19.279636,19.2123,0.08937225,0.0829,254.5417831,32.0117957,0.92285717,t17_f5_c3,19.1544,0.0985,True,True,True,correction_0.0.1,0.0,0.99822867,680120119.0,18.669043,0.03793437,0.05092904,ZTF21aaquppw
ztf,59320.47699069977,1566476991915015007,2,1566476991915,20.548494,1,1566,1.395212,19.158504,19.1114,0.089423254,0.1091,254.5418471,32.0117875,0.96,t17_f5_c3,19.0945,0.1357,True,True,True,correction_0.0.1,0.0,0.9998981,680120219.0,18.367004,0.020810245,0.04313703,ZTF21aaquppw
ztf,59322.3063542,1568306351915015006,2,1568306351915,20.246897,1,1568,1.502231,19.193825,19.1811,0.10608395,0.1375,254.5418864,32.0117952,0.95857143,t17_f5_c3,19.1315,0.1673,True,False,False,correction_0.0.1,0.0,0.99999976,680120219.0,,,,ZTF21aaquppw
ztf,59322.349919000175,1568349911915015017,1,1568349911915,20.550795,1,1568,1.3231001,19.520931,19.4842,0.12927333,0.1359,254.5418069,32.0117585,0.78,t17_f5_c3,19.4491,0.167,True,True,True,correction_0.0.1,0.0,0.99714994,680120119.0,18.79992,0.054391522,0.06654323,ZTF21aaquppw
ztf,59324.278483800124,1570278481915015004,2,1570278481915,20.249588,1,1570,1.4153239,19.146547,18.9682,0.113861255,0.1197,254.5418456,32.0117677,0.95285714,t17_f5_c3,18.7698,0.1271,True,False,False,correction_0.0.1,0.0,0.9992516,680120219.0,,,,ZTF21aaquppw
ztf,59324.278483800124,1570278481915035004,2,1570278481915,20.2496,1,1570,1.41532,19.1465,18.9682,0.113861,0.1197,254.5418456,32.0117677,0.952857,t17_f5_c3,18.7698,0.1271,False,False,False,correction_0.0.1,0.0,,,,,,ZTF21aaquppw
ztf,59324.278483800124,1570278481915065004,2,1570278481915,20.2496,1,1570,1.41532,19.1465,18.9682,0.113861,0.1197,254.5418456,32.0117677,0.952857,t17_f5_c3,18.7698,0.1271,False,False,False,correction_0.0.1,0.0,,,,,,ZTF21aaquppw
ztf,59324.38511569984,1570385111915015014,1,1570385111915,20.675283,1,1570,1.3695395,19.520676,19.4657,0.12551433,0.1245,254.5418255,32.011763,0.92,t17_f5_c3,19.4543,0.1557,True,True,True,correction_0.0.1,0.0,0.99978465,680120119.0,18.799788,0.05201901,0.06461567,ZTF21aaquppw
ztf,59328.30982640013,1574309821915015007,2,1574309821915,19.734488,1,1574,1.529229,19.332401,19.434,0.11998892,0.2844,254.5418889,32.0117723,0.95714283,t17_f5_c3,19.3943,0.3515,True,False,False,correction_0.0.1,0.0,0.9999988,680120219.0,,,,ZTF21aaquppw
ztf,59328.34813660011,1574348131915015009,1,1574348131915,19.692566,1,1574,1.4369197,19.583408,19.8401,0.19888261,0.4217,254.5418513,32.0117665,0.87714285,t17_f5_c3,19.6166,0.4406,True,False,False,correction_0.0.1,0.0,0.99513805,680120119.0,,,,ZTF21aaquppw
ztf,59334.38109950023,1580381091915015002,2,1580381091915,20.1731,1,1580,1.48685,19.5858,19.4603,0.161085,0.2019,254.541883,32.0118206,0.931429,t17_f5_c3,19.5544,0.2815,False,False,False,correction_0.0.1,0.0,,,,,,ZTF21aaquppw
ztf,59334.44884259999,1580448841915015007,1,1580448841915,19.9557,1,1580,1.23505,19.7637,19.7963,0.204821,0.3211,254.5417827,32.0117683,0.844286,t17_f5_c3,19.9664,0.4816,False,True,True,correction_0.0.1,0.0,,,18.918102,0.08372161,0.0940016,ZTF21aaquppw
ztf,59336.3714815001,1582371481915015004,2,1582371481915,20.488827,1,1582,1.5350391,19.687424,19.5715,0.1465276,0.1768,254.5418955,32.0117873,0.96,t17_f5_c3,19.6158,0.234,True,False,False,correction_0.0.1,0.0,0.99989796,680120219.0,,,,ZTF21aaquppw
ztf,59336.3714815001,1582371481915025004,2,1582371481915,20.4888,1,1582,1.53504,19.6874,19.5715,0.146528,0.1768,254.5418955,32.0117873,0.96,t17_f5_c3,19.6158,0.234,False,False,False,correction_0.0.1,0.0,,,,,,ZTF21aaquppw
ztf,59336.3714815001,1582371481915035004,2,1582371481915,20.4888,1,1582,1.53504,19.6874,19.5715,0.146528,0.1768,254.5418955,32.0117873,0.96,t17_f5_c3,19.6158,0.234,False,False,False,correction_0.0.1,0.0,,,,,,ZTF21aaquppw
ztf,59336.4259722,1582425971915015006,1,1582425971915,20.269842,1,1582,1.2646618,19.78744,19.8175,0.17683947,0.2429,254.5417954,32.0117738,0.8528572,t17_f5_c3,19.5696,0.2471,True,True,True,correction_0.0.1,0.0,0.9989873,680120119.0,18.928934,0.0675893,0.080200486,ZTF21aaquppw
ztf,59336.4259722,1582425971915025006,1,1582425971915,20.2698,1,1582,1.26466,19.7874,19.8175,0.176839,0.2429,254.5417954,32.0117738,0.852857,t17_f5_c3,19.5696,0.2471,False,True,True,correction_0.0.1,0.0,,,18.928915,0.06759131,0.08020181,ZTF21aaquppw
ztf,59336.4259722,1582425971915035006,1,1582425971915,20.2698,1,1582,1.26466,19.7874,19.8175,0.176839,0.2429,254.5417954,32.0117738,0.852857,t17_f5_c3,19.5696,0.2471,False,True,True,correction_0.0.1,0.0,,,18.928915,0.06759131,0.08020181,ZTF21aaquppw
ztf,59339.34087960003,1585340871915015006,2,1585340871915,20.84808,1,1585,1.4304764,19.733822,19.5248,0.11303075,0.12,254.5418502,32.0117612,0.8842857,t17_f5_c3,19.7105,0.1793,True,False,False,correction_0.0.1,0.0,0.99966526,680120219.0,,,,ZTF21aaquppw
ztf,59339.3853703998,1585385371915015011,1,1585385371915,20.793121,1,1585,1.2023408,20.18864,20.2797,0.18173951,0.2496,254.5417752,32.0117856,0.8814286,t17_f5_c3,20.359,0.3407,True,True,True,correction_0.0.1,0.0,0.97463006,680120119.0,19.092825,0.043210376,0.066240385,ZTF21aaquppw
ztf,59341.35247689998,1587352471915015013,1,1587352471915,20.902273,1,1587,1.0695443,20.357904,20.0377,0.16882193,0.1705,254.5417408,32.0118288,0.6857143,t17_f5_c3,20.0552,0.2185,True,True,True,correction_0.0.1,0.0,0.4433931,680120119.0,19.151506,0.016734509,0.05557376,ZTF21aaquppw
ztf,59341.40464119986,1587404641915015008,2,1587404641915,20.428953,1,1587,1.3469217,19.889906,19.7059,0.15146326,0.1618,254.5418209,32.011767,0.81714284,t17_f5_c3,19.9105,0.2465,True,True,True,correction_0.0.1,0.0,0.9793798,680120219.0,18.659904,100.0,0.048787292,ZTF21aaquppw
ztf,59343.36777780019,1589367771915015011,2,1589367771915,20.644264,1,1589,1.3998284,19.849236,20.0452,0.1505588,0.2495,254.5418576,32.0118265,0.87857145,t17_f5_c3,20.0271,0.3114,True,True,True,correction_0.0.1,0.0,0.99997884,680120219.0,18.646637,0.00915753,0.04973554,ZTF21aaquppw
ztf,59345.34917820012,1591349171915015009,2,1591349171915,20.652851,1,1591,1.4657745,19.97551,19.7475,0.1345753,0.1725,254.541875,32.0118093,0.87285715,t17_f5_c3,19.8725,0.2455,True,False,False,correction_0.0.1,0.0,0.99730337,680120219.0,,,,ZTF21aaquppw
ztf,59345.41594910016,1591415941915015009,1,1591415941915,20.848246,1,1591,1.0466549,20.354628,20.3784,0.20800854,0.2502,254.5417347,32.0118453,0.87142855,t17_f5_c3,20.1785,0.2638,True,True,True,correction_0.0.1,0.0,0.9944806,680120119.0,19.150427,0.043644086,0.068612136,ZTF21aaquppw
ztf,59349.35045140004,1595350451915015011,2,1595350451915,20.787666,1,1595,1.488439,20.020945,20.2927,0.14247222,0.2626,254.5418727,32.0117742,0.9442857,t17_f5_c3,20.0762,0.2723,True,False,False,correction_0.0.1,0.0,0.99990636,680120219.0,,,,ZTF21aaquppw
ztf,59349.38723379979,1595387231915015015,1,1595387231915,20.9802,1,1595,0.731242,20.7172,20.6455,0.278868,0.2777,254.5415959,32.0117569,0.601429,t17_f5_c3,20.5797,0.33,False,True,True,correction_0.0.1,0.0,,,19.257181,0.043242145,0.072676085,ZTF21aaquppw
