tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,61080.55974540021,3326559742215015114,2,3326559742215,19.29372,1,3326,0.24761324,15.359435,15.290069,15.435,0.035469506,0.03313005,0.033274263,0.0113,263.9251963,-22.4097333,0.7057143,t17_f5_c3,0.9995799,15.4195,0.0141,1323120222,True,True,False,27.5.7a32.dev1,0.0,ZTF26aagcjga
ztf,61081.55989579996,3327559892215015064,2,3327559892215,18.117268,1,3327,0.2327575,15.347536,15.278902,15.4343,0.027628513,0.025754564,0.025936052,0.0299,263.9251916,-22.4097438,0.7,t17_f5_c3,0.99999994,15.4325,0.0381,1323120222,True,True,False,27.5.7a32.dev1,0.0,ZTF26aagcjga
ztf,61085.55582180014,3331555822215015047,2,3331555822215,19.679258,1,3331,0.20805337,15.471725,15.3950615,15.5355,0.038837183,0.036028564,0.03618946,0.0096,263.9251765,-22.4097172,0.7271429,t17_f5_c3,0.9999926,15.5232,0.0118,1323120222,True,True,True,27.5.7a32.dev1,0.0,ZTF26aagcjga
ztf,61099.541631899774,3345541632215015101,2,3345541632215,19.74718,1,3345,0.2332224,15.602476,15.51638,15.6614,0.03722837,0.03417838,0.034390274,0.0101,263.9251903,-22.4097232,0.76428574,t17_f5_c3,0.99999714,15.6327,0.0122,1323120222,True,True,False,27.5.7a32.dev1,0.0,ZTF26aagcjga
ztf,61100.54039350012,3346540392215015067,2,3346540392215,19.336884,1,3346,0.18499823,15.630986,15.54269,15.7007,0.03822221,0.035019808,0.03523688,0.0136,263.9251754,-22.4097351,0.72571427,t17_f5_c3,0.9999995,15.6951,0.0171,1323120222,True,True,False,27.5.7a32.dev1,0.0,ZTF26aagcjga
ztf,61101.53968749987,3347539682215015137,2,3347539682215,18.462545,1,3347,0.18912892,15.627569,15.53954,15.7016,0.026509525,0.02413288,0.024445008,0.0272,263.9251774,-22.4097419,0.6628571,t17_f5_c3,1.0,15.6954,0.0345,1323120222,True,True,False,27.5.7a32.dev1,0.0,ZTF26aagcjga
