tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,61052.58031249978,3298580311115010026,2,3298580311115,17.505583,-1,3298,0.5698158,16.438108,15.402957,16.4331,0.06200228,0.013959715,0.023897205,0.0805,264.6117626,-9.4050664,0.67,t17_f5_c3,0.984794,16.3271,0.0936,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61052.58077549981,3298580771115010007,2,3298580771115,17.501379,-1,3298,0.67915744,16.372335,15.429411,16.4417,0.07518615,0.024500404,0.03154772,0.0776,264.6117272,-9.4050653,0.49285713,t17_f5_c3,0.97944844,16.4077,0.0964,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61053.5771643999,3299577161115010103,2,3299577161115,17.849028,-1,3299,0.25066504,16.695059,15.318168,16.5524,0.079500094,0.013359913,0.02236717,0.0613,264.6119471,-9.4050998,0.57714283,t17_f5_c3,0.8997762,16.518,0.0759,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61053.580046299845,3299580041115010087,2,3299580041115,17.428,-1,3299,0.08013055,16.575424,15.354347,16.7226,0.07504401,0.015811305,0.02437166,0.1012,264.6119185,-9.4051659,0.5485714,t17_f5_c3,0.9285131,16.7418,0.132,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61057.572453700006,3303572451115010012,2,3303572451115,18.349625,-1,3303,0.52973324,16.532429,15.368685,16.6858,0.063763365,0.011108828,0.021830998,0.0427,264.6117565,-9.4051055,0.6571429,t17_f5_c3,0.9867418,16.6577,0.0528,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61057.577893500216,3303577891115010055,2,3303577891115,18.002874,-1,3303,0.69245833,16.527397,15.370413,16.5236,0.07016308,0.015165065,0.024172125,0.0599,264.6118097,-9.4053262,0.54571426,t17_f5_c3,0.99641263,16.4873,0.0741,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61058.57207180001,3304572071115010005,2,3304572071115,19.299232,-1,3304,0.28586134,16.409508,15.414185,16.5661,0.06132575,0.014735915,0.024519617,0.0332,264.6118213,-9.4051312,0.8842857,t17_f5_c3,0.9999947,16.5611,0.0416,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61058.577094899956,3304577091115010021,2,3304577091115,18.70516,-1,3304,0.095066346,16.47891,15.387631,16.4452,0.026454428,100.0,0.009682484,0.0501,264.6119018,-9.4051795,0.8314286,t17_f5_c3,1.0,16.4424,0.0638,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61059.572789399885,3305572781115010008,2,3305572781115,19.15614,-1,3305,0.17835166,16.386261,15.42362,16.5234,0.04002244,100.0,0.016491015,0.0317,264.6118678,-9.4051914,0.8914286,t17_f5_c3,0.99999094,16.5293,0.0402,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61059.5772338002,3305577231115010002,2,3305577231115,18.703852,-1,3305,0.08544028,16.370335,15.430251,16.4585,0.037982535,100.0,0.01597904,0.0436,264.6118917,-9.4051761,0.9071429,t17_f5_c3,1.0,16.4397,0.0545,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61059.58267359994,3305582671115010023,2,3305582671115,18.239613,-1,3305,0.08608025,16.300201,15.461165,16.3575,0.029608125,100.0,0.013670887,0.0687,264.6118755,-9.4051579,0.8214286,t17_f5_c3,0.99999976,16.3408,0.0867,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
ztf,61065.56664349977,3311566641115010004,2,3311566641115,19.285986,-1,3311,0.16175255,16.340734,15.442949,16.4114,0.036311787,100.0,0.015883038,0.023,264.6118577,-9.4051344,0.86142856,t17_f5_c3,0.9999874,16.4045,0.0284,1427120211,True,True,False,27.5.7a32.dev1,0.0,ZTF23aamnoqr
