tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,drb,rfid,oid
ztf,58293.476666700095,539476665115015006,2,539476665115,20.6102,1,539,0.489865,17.6696,14.512069,17.9284,0.367979,0.0030190332,0.02008217,0.0768,326.5729726,50.3079546,0.293333,17.8724,0.0781,False,True,False,bulk_1.0.0,0.0,5.44423625115015e+17,,,,ZTF18abdgmzb
ztf,58297.473286999855,543473286215015003,1,543473286215,19.6314,1,543,0.617665,19.1547,16.689653,18.9276,0.243477,0.021244006,0.025144286,0.2105,326.5728938,50.3079337,0.346667,18.7948,0.233,False,True,False,bulk_1.0.0,0.0,5.6843787621501504e+17,t8_f5_c3,,,ZTF18abdgmzb
ztf,58298.42362269992,544423625115015002,2,544423625115,19.458761,1,544,0.4347452,17.209875,14.481273,17.2733,0.13172889,100.0,0.010671856,0.0568,326.5731037,50.3080019,0.50666666,17.17,0.0604,False,True,False,bulk_1.0.0,0.0,5.7344721511501504e+17,,0.0,769120251.0,ZTF18abdgmzb
ztf,58299.472372699995,545472375115015004,1,545472375115,19.9798,1,545,0.288646,19.2313,16.68738,19.3563,0.270523,0.02094739,0.025979802,0.2664,326.573096,50.307952,0.376667,19.1153,0.2641,False,True,False,bulk_1.0.0,0.0,5.7344721511501504e+17,t8_f5_c3,,,ZTF18abdgmzb
ztf,58300.432384300046,546432385115015010,2,546432385115,20.275059,1,546,0.25050163,17.338476,14.491142,17.1461,0.07247912,100.0,0.005263557,0.0374,326.5731681,50.3078167,0.47333333,17.1515,0.0447,False,True,False,bulk_1.0.0,0.0,5.7344721511501504e+17,,0.0,769120251.0,ZTF18abdgmzb
ztf,58300.432384300046,546432385115015011,2,546432385115,20.275059,1,546,0.18345122,17.2238,14.482394,17.3001,0.17802092,100.0,0.014253069,0.0482,326.573185,50.3079356,0.36333334,17.2403,0.0502,False,True,False,bulk_1.0.0,0.0,5.7344721511501504e+17,,0.0,769120251.0,ZTF18abdgmzb
ztf,58300.43334490014,546433346215015013,2,546433346215,20.338316,1,546,0.24675548,17.469994,14.540333,17.0979,0.17046742,100.0,0.01147564,0.0395,326.5730299,50.3078802,0.39666668,17.0041,0.0396,False,True,False,bulk_1.0.0,0.0,5.7347437621501504e+17,,0.0,770120262.0,ZTF18abdgmzb
ztf,58301.41986110015,547419865115015009,2,547419865115,20.315823,1,547,0.26016775,17.206802,14.481023,17.3082,0.17616932,100.0,0.014309308,0.0471,326.5730563,50.3079077,0.37333333,17.3229,0.0525,False,True,False,bulk_1.0.0,0.0,5.7344721511501504e+17,,0.0,769120251.0,ZTF18abdgmzb
ztf,58301.45101850014,547451016215015007,2,547451016215,20.356153,1,547,0.15758389,17.351166,14.531912,17.4826,0.07682336,100.0,0.0057252133,0.0544,326.5731299,50.3079185,0.49,17.444,0.0572,False,True,False,bulk_1.0.0,0.0,5.7347437621501504e+17,,0.0,770120262.0,ZTF18abdgmzb
ztf,58301.470057900064,547470056215015004,1,547470056215,20.14657,1,547,0.5476485,19.037434,16.676939,19.0432,0.18762268,0.016686285,0.021334747,0.1634,326.5729059,50.3078518,0.61333334,19.1546,0.2195,False,True,False,bulk_1.0.0,0.0,5.7347437621501504e+17,,0.0,770120162.0,ZTF18abdgmzb
