tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,rbversion,oid
ztf,58272.39810189977,518398106115015004,1,518398106115,19.825993,1,518,1.4037275,19.547573,19.5875,0.20176397,0.2961,297.3225125,29.6613968,0.43,0.0,19.2834,0.2801,640120161.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,,ZTF18aaxukwq
ztf,58313.35826390004,559358264815015003,1,559358264815,20.9951,1,559,0.918938,19.1696,19.9914,0.213914,0.2175,297.3224375,29.6618624,0.43,,19.929,0.236,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.213236,100.0,0.014050566,t8_f5_c3,ZTF18aaxukwq
ztf,58316.379189800005,562379186115015011,1,562379186115,20.916,1,562,0.474592,18.1575,18.2686,0.117042,0.0492,297.3225308,29.6617622,0.59,,18.2312,0.0543,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.078846,0.007884877,0.017253632,t8_f5_c3,ZTF18aaxukwq
ztf,58317.39422449982,563394226115015005,1,563394226115,20.4322,1,563,0.496363,18.082,18.2067,0.107341,0.0623,297.3225277,29.6617346,0.566667,,18.1068,0.067,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.06738,0.0071510132,0.016784867,t8_f5_c3,ZTF18aaxukwq
ztf,58318.40133100003,564401336115015002,1,564401336115,20.7717,1,564,0.573038,18.2794,18.4025,0.07024,0.0561,297.3225021,29.6617564,0.673333,,18.3819,0.0641,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.095978,100.0,0.009401907,t8_f5_c3,ZTF18aaxukwq
ztf,58319.38162040012,565381626115015002,1,565381626115,20.4587,1,565,0.638397,18.0932,18.2718,0.100423,0.0564,297.322483,29.6618012,0.523333,,18.2265,0.0643,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.069124,0.003315519,0.01556693,t8_f5_c3,ZTF18aaxukwq
ztf,58320.41685190005,566416856115015015,1,566416856115,20.8655,1,566,0.448356,17.9715,18.0545,0.137683,0.0428,297.322551,29.6617199,0.46,,18.0295,0.0475,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.049343,0.018070046,0.023443233,t8_f5_c3,ZTF18aaxukwq
ztf,58321.349768499844,567349764815015002,2,567349764815,20.4558,1,567,0.605389,16.3997,16.5848,0.048396,0.0253,297.3225341,29.6618686,0.386667,,16.617,0.0276,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.422673,100.0,0.00311888,t8_f5_c3,ZTF18aaxukwq
ztf,58321.37980319979,567379804815015014,1,567379804815,20.8735,1,567,0.355176,18.1248,18.5015,0.141585,0.0589,297.3225919,29.6617648,0.446667,,18.5089,0.0689,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.103598,0.017367966,0.022005752,t8_f5_c3,ZTF18aaxukwq
ztf,58322.38961810013,568389614815015005,2,568389614815,20.1106,1,568,0.668544,15.8537,15.8452,0.112464,0.0145,297.3224866,29.6618056,0.306667,,15.8402,0.0156,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.377885,100.0,0.011499734,t8_f5_c3,ZTF18aaxukwq
ztf,58322.39008100005,568390086115015003,2,568390086115,20.2359,1,568,0.304468,15.7297,15.7283,0.122065,0.0134,297.3226037,29.6618058,0.356667,,15.7026,0.014,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.286149,100.0,0.012857917,t8_f5_c3,ZTF18aaxukwq
ztf,58323.26928240014,569269286115015002,2,569269286115,19.5868,1,569,0.205074,15.7406,15.6662,0.173616,0.0151,297.3226305,29.661783,0.336667,,15.6332,0.0166,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.287292,0.008283409,0.018124523,t8_f5_c3,ZTF18aaxukwq
ztf,58323.269745400175,569269744815015003,2,569269744815,19.5566,1,569,0.343528,15.9507,15.7571,0.208136,0.0161,297.3227319,29.6616842,0.403333,,15.7262,0.0178,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.387415,0.014177002,0.019635115,t8_f5_c3,ZTF18aaxukwq
ztf,58323.40203699982,569402036115015007,1,569402036115,20.1526,1,569,0.571703,17.8023,17.9135,0.101896,0.054,297.3225057,29.6617353,0.576667,,17.8595,0.063,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.018606,0.013330121,0.019709699,t8_f5_c3,ZTF18aaxukwq
ztf,58324.23467590008,570234676115015008,2,570234676115,19.2823,1,570,0.266919,15.6254,15.5653,0.081738,0.0156,297.3227227,29.6616901,0.523333,,15.5258,0.0175,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.274678,100.0,0.009378542,t8_f5_c3,ZTF18aaxukwq
ztf,58324.40071759978,570400714815015006,1,570400714815,19.7451,1,570,0.458159,17.9707,18.3054,0.139734,0.1077,297.3225582,29.6617588,0.446667,,18.4487,0.1544,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.078163,0.020581007,0.024450498,t8_f5_c3,ZTF18aaxukwq
ztf,58324.42031250009,570420316115015012,1,570420316115,19.7684,1,570,0.459946,17.65,17.7242,0.090803,0.0621,297.3225481,29.6617117,0.706667,,17.6901,0.0751,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,15.9874325,0.013659854,0.019636925,t8_f5_c3,ZTF18aaxukwq
ztf,58325.189722199924,571189724815015003,1,571189724815,19.4535,1,571,0.147197,17.8166,17.7368,0.113943,0.0832,297.322675,29.6617319,0.68,,17.6105,0.0938,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.049572,0.018319173,0.022380823,t8_f5_c3,ZTF18aaxukwq
ztf,58325.28708329983,571287086115015010,2,571287086115,19.4574,1,571,0.213536,15.5367,15.4912,0.093797,0.014,297.3226707,29.6617056,0.51,,15.4701,0.0159,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.264125,100.0,0.011565349,t8_f5_c3,ZTF18aaxukwq
ztf,58325.28802079987,571288024815015004,2,571288024815,19.8075,1,571,0.184326,15.5665,15.5403,0.058582,0.0126,297.3226462,29.6617926,0.533333,,15.5268,0.0138,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.344778,100.0,0.007569644,t8_f5_c3,ZTF18aaxukwq
ztf,58325.41124999989,571411246115015002,1,571411246115,19.6058,1,571,0.411344,17.6445,17.6333,0.108523,0.0632,297.3225758,29.6617046,0.603333,,17.6183,0.0782,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,15.986241,0.018883908,0.023562318,t8_f5_c3,ZTF18aaxukwq
ztf,58326.337534700055,572337536115015030,2,572337536115,19.6343,1,572,0.375826,15.4473,15.3684,0.136243,0.012,297.3226235,29.6616731,0.39,,15.3209,0.0131,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.252695,0.009053017,0.018049799,t8_f5_c3,ZTF18aaxukwq
ztf,58326.35185190011,572351854815015003,2,572351854815,19.7258,1,572,0.3427,15.3719,15.4925,0.127872,0.0124,297.3226074,29.6617171,0.353333,,15.4709,0.0136,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.317582,0.014468736,0.019277396,t8_f5_c3,ZTF18aaxukwq
ztf,58326.4301041998,572430106115025005,1,572430106115,19.303,1,572,0.532711,17.5874,17.5468,0.103963,0.0743,297.3225324,29.6616983,0.653333,,17.5303,0.0928,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,15.973586,0.018946521,0.023515437,t8_f5_c3,ZTF18aaxukwq
ztf,58327.33549770014,573335496115015007,2,573335496115,19.5134,1,573,0.401624,15.1952,15.1634,0.015115,0.0108,297.3225656,29.6617208,0.47,,15.143,0.0121,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.215737,100.0,0.00244131,t8_f5_c3,ZTF18aaxukwq
ztf,58327.33549770014,573335496115015008,2,573335496115,19.5134,1,573,0.417191,15.1907,15.5844,0.086157,0.0144,297.3226065,29.6616663,0.426667,,15.5205,0.0162,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.215009,100.0,0.013964142,t8_f5_c3,ZTF18aaxukwq
ztf,58327.34864579979,573348644815015002,2,573348644815,19.5947,1,573,0.165565,15.4436,15.435,0.103133,0.0125,297.3226659,29.66174,0.49,,15.4212,0.014,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.328093,0.0071078795,0.014695853,t8_f5_c3,ZTF18aaxukwq
ztf,58327.45711810002,573457114815015006,1,573457114815,18.0768,1,573,1.18116,17.4529,17.1543,0.144247,0.1122,297.322349,29.6618807,0.49,,16.9176,0.1154,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,15.967865,0.034746643,0.036736082,t8_f5_c3,ZTF18aaxukwq
ztf,58328.255092599895,574255094815015010,1,574255094815,19.1488,1,574,0.861723,18.2158,17.9147,0.124084,0.1011,297.3224883,29.6619061,0.57,,18.0431,0.1443,,False,True,True,bulk_1.0.0,0.0,5.89318714815015e+17,16.11725,0.011631365,0.017959569,t8_f5_c3,ZTF18aaxukwq
ztf,58329.338680599816,575338686115015005,2,575338686115,19.9459,1,575,0.101451,15.4785,15.4685,0.017939,0.0119,297.3227027,29.6617363,0.326667,,15.4394,0.0127,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.256778,100.0,0.0023179771,t8_f5_c3,ZTF18aaxukwq
ztf,58329.338680599816,575338686115015006,2,575338686115,19.9459,1,575,0.186523,15.4695,15.5656,0.063212,0.0124,297.3227105,29.6617134,0.31,,15.5432,0.0136,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.25561,100.0,0.008227045,t8_f5_c3,ZTF18aaxukwq
ztf,58329.33915509982,575339154815015008,2,575339154815,20.0707,1,575,0.249074,15.5185,15.4856,0.128367,0.0112,297.3226219,29.6617596,0.416667,,15.4577,0.0118,,False,True,False,bulk_1.0.0,0.0,5.89318714815015e+17,13.338455,0.0113332905,0.017235951,t8_f5_c3,ZTF18aaxukwq
