tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,oid
ztf,59302.52542820014,1548525420815015001,2,1548525420815,18.8708,1,1548,5.90498,18.915,18.598,0.17059,0.3068,338.1927893,23.9436449,0.748571,t17_f5_c3,18.6607,0.4171,False,False,False,correction_0.0.1,0.0,,,ZTF21aarakan
ztf,59302.52778939996,1548527780815015004,2,1548527780815,18.7427,1,1548,5.72616,18.7508,18.6714,0.177634,0.3547,338.1927825,23.9437352,0.778571,t17_f5_c3,18.8334,0.5283,False,False,False,correction_0.0.1,0.0,,,ZTF21aarakan
ztf,59303.52336810017,1549523360815015005,2,1549523360815,18.8308,1,1549,5.45132,18.9862,18.6362,0.255123,0.3021,338.1927406,23.9438023,0.627143,t17_f5_c3,18.7411,0.4266,False,False,False,correction_0.0.1,0.0,,,ZTF21aarakan
ztf,59303.52581019979,1549525810815015001,2,1549525810815,18.7365,1,1549,5.62079,19.0748,18.9099,0.254034,0.4051,338.1927347,23.9437462,0.714286,t17_f5_c3,18.6727,0.4178,False,False,False,correction_0.0.1,0.0,,,ZTF21aarakan
ztf,59303.52824069979,1549528240815015000,2,1549528240815,18.701675,1,1549,5.5213165,18.644276,18.415,0.15137094,0.2896,338.1928473,23.9438349,0.79571426,t17_f5_c3,18.5183,0.4086,True,False,False,correction_0.0.1,0.0,0.99997437,645120208.0,ZTF21aarakan
ztf,59305.52260420006,1551522600815015001,2,1551522600815,18.97912,1,1551,5.2633567,18.897747,19.2655,0.17468743,0.4109,338.1926751,23.9438312,0.7342857,t17_f5_c3,19.477,0.64,True,False,False,correction_0.0.1,0.0,0.9999893,645120208.0,ZTF21aarakan
ztf,59306.5222800998,1552522280815015002,2,1552522280815,19.3513,1,1552,5.7160473,19.036114,19.6588,0.15811045,0.5426,338.1927878,23.9437396,0.8642857,t17_f5_c3,19.6564,0.6943,True,False,False,correction_0.0.1,0.0,0.9999981,645120208.0,ZTF21aarakan
ztf,59306.52465280006,1552524650815015002,2,1552524650815,19.226273,1,1552,5.680874,19.204533,18.9241,0.21584874,0.3171,338.1927951,23.9437561,0.68857145,t17_f5_c3,18.9149,0.4035,True,False,False,correction_0.0.1,0.0,0.9983575,645120208.0,ZTF21aarakan
ztf,59306.527013900224,1552527010815015002,2,1552527010815,19.00363,1,1552,5.919776,19.11213,19.1091,0.1953148,0.4582,338.1928123,23.9436883,0.71,t17_f5_c3,19.2939,0.6972,True,False,False,correction_0.0.1,0.0,0.9998279,645120208.0,ZTF21aarakan
ztf,59307.5247105998,1553524710815015001,2,1553524710815,19.0074,1,1553,5.90437,19.1787,19.1855,0.238157,0.4683,338.192815,23.9436968,0.742857,t17_f5_c3,19.0595,0.535,False,False,False,correction_0.0.1,0.0,,,ZTF21aarakan
