tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,rbversion,oid
ztf,58316.39989579981,562399893215015002,1,562399893215,20.788141,1,562,13.17777,18.325071,18.3766,0.085464746,0.044,311.7973643,27.7155752,0.51666665,0.0,18.3129,0.0518,641120132.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,,ZTF18abhpzlh
ztf,58672.34035879979,918340354515015008,1,918340354515,20.937689,1,918,0.8763556,17.13962,17.1332,0.036776274,0.0151,311.79736,27.7155645,0.9442857,0.99999774,17.1183,0.0176,642120145.0,False,True,True,bulk_1.0.0,0.0,9.39344453215015e+17,17.134905,0.036590345,0.036616933,t17_f5_c3,ZTF18abhpzlh
ztf,58672.47890050011,918478904515015004,2,918478904515,20.690626,1,918,7.084587,17.24394,17.2739,0.053555746,0.0202,311.797359,27.7155754,0.93142855,0.9999851,17.2711,0.0246,642120245.0,False,False,False,bulk_1.0.0,0.0,9.39344453215015e+17,,,,t17_f5_c3,ZTF18abhpzlh
ztf,58674.4302662001,920430263215015013,1,920430263215,20.9644,1,920,13.176173,17.341097,17.3521,0.060859505,0.0175,311.797358,27.7155678,0.9342857,0.9999993,17.3489,0.0208,641120132.0,False,False,False,bulk_1.0.0,0.0,9.39344453215015e+17,,,,t17_f5_c3,ZTF18abhpzlh
ztf,58675.46255790023,921462554515015014,2,921462554515,20.731413,1,921,7.113377,17.447582,17.4733,0.044635095,0.0231,311.7973468,27.7155706,0.9514286,0.9999975,17.455,0.0279,642120245.0,False,False,False,bulk_1.0.0,0.0,9.39344453215015e+17,,,,t17_f5_c3,ZTF18abhpzlh
ztf,58677.309479199816,923309473215015016,2,923309473215,20.381952,1,923,12.261594,17.660946,17.7208,0.059016105,0.0382,311.7973509,27.7155666,0.91714287,0.99999714,17.7578,0.0497,641120232.0,False,False,False,bulk_1.0.0,0.0,9.39344453215015e+17,,,,t17_f5_c3,ZTF18abhpzlh
ztf,58678.42627310008,924426274515015009,1,924426274515,20.21338,1,924,0.85576165,17.409338,17.3753,0.05827505,0.0312,311.7973652,27.7155711,0.91714287,0.999996,17.3449,0.0382,642120145.0,False,True,True,bulk_1.0.0,0.0,9.39344453215015e+17,17.403297,0.057924215,0.057951756,t17_f5_c3,ZTF18abhpzlh
ztf,58678.42672450002,924426723215015006,1,924426723215,20.3736,1,924,13.1191435,17.377035,17.2995,0.047167007,0.0263,311.7973489,27.7155821,0.93857145,0.9999983,17.2904,0.0325,641120132.0,False,False,False,bulk_1.0.0,0.0,9.39344453215015e+17,,,,t17_f5_c3,ZTF18abhpzlh
ztf,58678.463078700006,924463073215015008,2,924463073215,20.87078,1,924,12.265082,17.739994,17.7541,0.04916021,0.0258,311.7973633,27.7155696,0.94857144,0.99999696,17.7404,0.0313,641120232.0,False,False,False,bulk_1.0.0,0.0,9.39344453215015e+17,,,,t17_f5_c3,ZTF18abhpzlh
ztf,58678.46354170004,924463544515015008,2,924463544515,20.598204,1,924,7.0570326,17.76923,17.8094,0.050605584,0.0325,311.7973675,27.7155759,0.9457143,0.9999999,17.8037,0.0403,642120245.0,False,False,False,bulk_1.0.0,0.0,9.39344453215015e+17,,,,t17_f5_c3,ZTF18abhpzlh
