tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,oid
ztf,59248.565555599984,1494565554215015015,2,1494565554215,19.4674,1,1494,0.683026,17.1932,15.342155,17.3707,0.095483,100.0,0.017358355,0.0571,295.0913402,19.3549102,0.708571,t17_f5_c3,17.4184,0.0755,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59248.56793980021,1494567934215015016,2,1494567934215,19.5612,1,1494,0.68418,17.1409,15.3324585,17.1982,0.093713,100.0,0.017718352,0.0451,295.0913524,19.3549209,0.865714,t17_f5_c3,17.2077,0.0575,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59248.57032410009,1494570324215015019,2,1494570324215,19.5705,1,1494,0.69321,17.256,15.353306,17.3073,0.089815,100.0,0.015569365,0.0508,295.0913724,19.354942,0.731429,t17_f5_c3,17.3398,0.0654,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59248.57271989994,1494572714215015011,2,1494572714215,18.9823,1,1494,0.375938,17.1225,15.328956,17.2706,0.100938,100.0,0.019348044,0.0697,295.0912992,19.3549967,0.82,t17_f5_c3,17.2939,0.0908,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59249.56434029993,1495564344215015014,2,1495564344215,19.1872,1,1495,1.01819,17.1328,15.330922,17.1089,0.050543,100.0,0.009614135,0.0463,295.0915045,19.3550543,0.781429,t17_f5_c3,17.0831,0.0573,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59249.56434029993,1495564344215015020,2,1495564344215,19.187151,1,1495,1.0925362,17.090872,15.322821,17.1959,0.06218231,100.0,0.012202429,0.0504,295.0915267,19.3550537,0.75714284,t17_f5_c3,17.1532,0.061,True,True,False,correction_0.0.1,0.0,0.99999964,591120242.0,ZTF21aagzdnf
ztf,59249.56672450015,1495566724215015015,2,1495566724215,18.9961,1,1495,0.463314,16.9462,15.29287,17.2305,0.107613,0.010257251,0.023471069,0.0562,295.0913284,19.3549907,0.697143,t17_f5_c3,17.1895,0.0687,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59249.56910880003,1495569104215015014,2,1495569104215,19.0445,1,1495,0.777049,17.2748,15.356541,17.3424,0.099623,100.0,0.017023792,0.0687,295.0913438,19.3548734,0.791429,t17_f5_c3,17.3885,0.0912,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59249.57150459988,1495571504215015019,2,1495571504215,18.9194,1,1495,0.720521,17.2972,15.360336,17.1771,0.078243,100.0,0.013143175,0.0677,295.0913981,19.354967,0.787143,t17_f5_c3,17.1122,0.0814,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59250.5623031999,1496562304215015040,2,1496562304215,19.0665,1,1496,0.342933,17.1235,15.329147,17.2019,0.069469,100.0,0.0133060645,0.0504,295.0912718,19.3549779,0.701429,t17_f5_c3,17.1565,0.0612,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59250.56468749978,1496564684215015014,2,1496564684215,19.0579,1,1496,1.14258,17.5176,15.394371,17.2344,0.068332,100.0,0.009667915,0.0555,295.091382,19.3547749,0.651429,t17_f5_c3,17.2449,0.071,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59250.56706020003,1496567064215015021,2,1496567064215,18.9554,1,1496,0.042216,17.2378,15.350129,17.2307,0.072059,100.0,0.012665416,0.0613,295.0911964,19.3550586,0.778571,t17_f5_c3,17.1832,0.0746,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59250.56943289982,1496569434215015024,2,1496569434215,18.691,1,1496,0.786382,17.0337,15.311362,17.0848,0.095256,100.0,0.019496508,0.0632,295.0914083,19.3549441,0.632857,t17_f5_c3,17.0373,0.0772,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59250.57180560008,1496571804215015010,2,1496571804215,18.4981,1,1496,1.14651,17.1271,15.329836,17.2346,0.125521,0.009892091,0.023977876,0.09,295.0914474,19.3548238,0.477143,t17_f5_c3,17.2482,0.1166,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59251.56296300003,1497562964215015016,2,1497562964215,18.9265,1,1497,1.18736,17.2677,15.355325,17.3372,0.109153,100.0,0.018753637,0.0567,295.0914948,19.354861,0.491429,t17_f5_c3,17.2511,0.0664,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59251.56296300003,1497562964215015017,2,1497562964215,18.9265,1,1497,1.19488,17.361,15.370795,17.5455,0.063731,100.0,0.010192216,0.0687,295.0914943,19.3548565,0.482857,t17_f5_c3,17.4684,0.0809,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59251.56533560017,1497565334215015082,2,1497565334215,18.6626,1,1497,0.955108,17.1562,15.335335,17.1889,0.106434,100.0,0.019894551,0.0557,295.0913718,19.3548349,0.511429,t17_f5_c3,17.141,0.0677,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59251.56770829996,1497567704215015024,2,1497567704215,18.585,1,1497,1.51645,17.1388,,17.1417,0.101992,,,0.0618,295.0916382,19.3549384,0.548571,t17_f5_c3,17.0249,0.0706,False,False,True,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59251.570081000216,1497570084215015016,2,1497570084215,18.3807,1,1497,0.585895,17.0991,15.32443,17.2462,0.103847,100.0,0.020254722,0.0815,295.0913126,19.3549206,0.667143,t17_f5_c3,17.2347,0.103,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59252.56163189979,1498561634215015020,2,1498561634215,20.2567,1,1498,0.468755,17.5815,15.403187,17.5164,0.089066,100.0,0.011978071,0.0382,295.0912945,19.3549498,0.807143,t17_f5_c3,17.5104,0.0469,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59252.56400460005,1498564004215015027,2,1498564004215,19.9034,1,1498,0.649655,17.3528,15.369479,17.4767,0.109981,100.0,0.017700652,0.0461,295.0913747,19.3549628,0.704286,t17_f5_c3,17.4402,0.0557,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59252.56637729984,1498566374215015014,2,1498566374215,19.5309,1,1498,0.771107,17.3855,15.374676,17.3877,0.0705,100.0,0.01106266,0.0555,295.0914071,19.3549549,0.81,t17_f5_c3,17.4345,0.0732,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
ztf,59252.56876160018,1498568764215015018,2,1498568764215,19.3879,1,1498,0.465194,17.3824,15.374189,17.3798,0.073357,100.0,0.011538703,0.0624,295.0912853,19.3549454,0.851429,t17_f5_c3,17.3526,0.0774,False,True,False,correction_0.0.1,0.0,,,ZTF21aagzdnf
