tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58317.40181710012,563401815015010004,2,563401815015,19.802073,-1,563,2.5913954,17.499222,17.2619,0.20453791,0.0532,287.034151,14.4797305,0.32,0.0,17.2574,0.0615,539120250.0,True,False,True,bulk_1.0.0,0.0,0.0,,ZTF18abibsco
ztf,58363.21142360009,609211425015010050,2,609211425015,20.266233,-1,609,2.0464802,17.610352,17.2497,0.11283584,0.038,287.0343737,14.4796964,0.31666666,0.0,17.2161,0.0417,539120250.0,True,False,True,bulk_1.0.0,0.0,0.0,t8_f5_c3,ZTF18abibsco
ztf,59320.48248839984,1566482485015015009,2,1566482485015,20.0376,1,1566,3.6941,17.2381,17.5564,0.075443,0.0562,287.033869,14.4795852,0.565714,,17.5229,0.0629,,False,False,False,correction_0.0.1,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59322.47826390015,1568478265015015010,2,1568478265015,20.0008,1,1568,3.71296,17.3333,17.3995,0.054858,0.0468,287.0338706,14.4795624,0.515714,,17.4037,0.0545,,False,False,False,correction_0.0.1,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59329.44083329989,1575440835015035007,2,1575440835015,19.9244,1,1575,3.82808,17.5939,17.7542,0.086568,0.0704,287.0338485,14.4795456,0.564286,,17.6991,0.0787,,False,False,False,correction_0.0.1,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59335.463437499944,1581463435015015006,2,1581463435015,19.0587,1,1581,3.79637,17.6697,17.7892,0.076174,0.1397,287.0338677,14.4795317,0.505714,,17.6254,0.1488,,False,False,False,correction_0.0.1,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59337.46361109987,1583463615015015014,2,1583463615015,19.6622,1,1583,3.82125,17.6866,17.6625,0.100212,0.0701,287.0338757,14.4795047,0.358571,,17.6795,0.0848,,False,False,False,correction_0.0.1,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59339.45540509978,1585455405015015010,2,1585455405015,20.4205,1,1585,3.85984,17.7136,17.9501,0.056026,0.0692,287.0338147,14.4795828,0.647143,,18.0401,0.0842,,False,False,False,correction_0.0.1,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59346.422280100174,1592422285015015011,2,1592422285015,20.07918,1,1592,3.338465,17.868422,18.0311,0.1294764,0.0825,287.0339857,14.4795927,0.29714286,0.00260261,17.9684,0.0896,539120250.0,True,False,False,correction_0.0.1,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59448.23421300016,1694234215015010019,2,1694234215015,19.3592,-1,1694,3.6319,17.9467,17.9846,0.130813,0.1236,287.0338603,14.4796372,0.304286,,18.1189,0.1724,,False,False,True,correction_1.0.6,0.0,1.72321657501501e+18,t17_f5_c3,ZTF18abibsco
ztf,59460.19076390006,1706190765015010013,2,1706190765015,20.441,-1,1706,3.88885,18.3351,18.5066,0.09856,0.1083,287.03382,14.4795627,0.541429,,18.1316,0.0869,,False,False,True,correction_1.0.6,0.0,1.72321657501501e+18,t17_f5_c3,ZTF18abibsco
ztf,59462.18989579985,1708189895015010015,2,1708189895015,20.525,-1,1708,3.71567,17.9993,17.6045,0.070572,0.0471,287.0338629,14.4795898,0.454286,,17.5101,0.0482,,False,False,True,correction_1.0.6,0.0,1.72321657501501e+18,t17_f5_c3,ZTF18abibsco
ztf,59464.310705999844,1710310705015020015,2,1710310705015,20.1387,-1,1710,3.52034,17.8913,17.6118,0.139803,0.0563,287.0338777,14.4796611,0.395714,,17.6459,0.067,,False,False,True,correction_1.0.6,0.0,1.72321657501501e+18,t17_f5_c3,ZTF18abibsco
ztf,59477.216574099846,1723216575015010018,2,1723216575015,19.6274,-1,1723,3.3295085,17.835304,17.6206,0.1320069,0.0724,287.0339363,14.4796806,0.31428573,0.5301032,17.823,0.1057,539120250.0,True,False,True,correction_1.0.6,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59621.54781250004,1867547815015015019,2,1867547815015,19.367336,1,1867,3.3342557,16.404787,16.3913,0.08379491,0.0244,287.0339298,14.4796911,0.26714286,0.3950073,16.4336,0.0306,539120250.0,True,False,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59621.55040509999,1867550405015015051,2,1867550405015,19.2682,1,1867,3.36558,16.4799,16.2877,0.04323,0.0227,287.0339529,14.4796278,0.287143,,16.3056,0.028,,False,False,False,correction_1.0.6,0.0,1.868549965015015e+18,t17_f5_c3,ZTF18abibsco
ztf,59621.55300930003,1867553005015015041,2,1867553005015,19.1889,1,1867,3.59372,16.5641,16.4797,0.053503,0.028,287.0339013,14.4795857,0.477143,,16.3843,0.0308,,False,False,False,correction_1.0.6,0.0,1.868549965015015e+18,t17_f5_c3,ZTF18abibsco
ztf,59621.55560189998,1867555605015015044,2,1867555605015,19.3703,1,1867,3.39287,16.6323,16.2976,0.085029,0.022,287.033889,14.4797285,0.217143,,16.3512,0.0279,,False,False,False,correction_1.0.6,0.0,1.868549965015015e+18,t17_f5_c3,ZTF18abibsco
ztf,59621.55560189998,1867555605015015045,2,1867555605015,19.370321,1,1867,1.8947928,16.983286,17.1052,0.19970936,0.0464,287.0342466,14.4801143,0.37285715,0.13736233,17.0192,0.0514,539120250.0,True,False,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59622.54996530013,1868549965015015014,2,1868549965015,19.557905,1,1868,3.3064668,16.461323,16.5088,0.13839993,0.0248,287.0338478,14.4799939,0.43285716,0.01356876,16.479,0.0289,539120250.0,True,False,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18abibsco
ztf,59670.479629599955,1916479625015035011,2,1916479625015,20.6529,1,1916,3.82263,16.6774,16.8616,0.043793,0.0242,287.0338429,14.4795575,0.675714,,16.875,0.0267,,False,False,False,correction_1.0.6,0.0,1.942461785015015e+18,t17_f5_c3,ZTF18abibsco
ztf,59673.486446800176,1919486445015025026,2,1919486445015,19.634,1,1919,3.61456,16.5451,16.3923,0.047622,0.0223,287.0339521,14.4795131,0.337143,,16.3141,0.0245,,False,False,False,correction_1.0.6,0.0,1.942461785015015e+18,t17_f5_c3,ZTF18abibsco
ztf,59675.45693290001,1921456935015015012,2,1921456935015,20.1924,1,1921,3.85675,16.7086,16.8966,0.072457,0.0291,287.033832,14.4795543,0.531429,,16.9301,0.0341,,False,False,False,correction_1.0.6,0.0,1.942461785015015e+18,t17_f5_c3,ZTF18abibsco
ztf,59677.457048600074,1923457045015015014,2,1923457045015,19.9475,1,1923,3.77863,16.7234,16.729,0.055844,0.0273,287.0338529,14.4795626,0.635714,,16.7392,0.0319,,False,False,False,correction_1.0.6,0.0,1.942461785015015e+18,t17_f5_c3,ZTF18abibsco
