tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,parent_candid,oid
ztf,59270.501250000205,1516501250315015009,2,1516501250315,19.1173,1,1516,1.69958,16.7892,17.2311,0.1195,0.0653,255.2956393,-13.464013,0.327143,t17_f5_c3,17.1846,0.0744,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF19aadhcfj
ztf,59272.4823264,1518482320315015007,2,1518482320315,18.971,1,1518,0.513093,16.7574,16.5744,0.12097,0.0439,255.2958312,-13.4637168,0.712857,t17_f5_c3,16.5224,0.0511,False,True,True,correction_0.0.1,0.0,13.751625,100.0,0.0075922003,,,,ZTF19aadhcfj
ztf,59274.48129629996,1520481295615015001,1,1520481295615,18.6623,1,1520,0.502158,17.9868,18.7982,0.164009,0.2748,255.2958534,-13.4634365,0.565714,t17_f5_c3,18.7698,0.3407,False,True,False,correction_0.0.1,0.0,15.720272,0.017907593,0.020335592,,,,ZTF19aadhcfj
ztf,59275.48373840004,1521483735615015002,1,1521483735615,18.803535,1,1521,0.7527617,17.921303,18.2305,0.15454201,0.1417,255.2959536,-13.4637267,0.7542857,t17_f5_c3,18.2383,0.181,True,True,False,correction_0.0.1,0.0,15.711932,0.017790489,0.020197539,0.9997672,330120156.0,,ZTF19aadhcfj
ztf,59276.48178240005,1522481780315015007,2,1522481780315,19.131342,1,1522,1.3473052,16.731886,16.4972,0.10478864,0.0354,255.295871,-13.4639457,0.61,t17_f5_c3,16.4927,0.0422,True,True,True,correction_0.0.1,0.0,13.750007,100.0,0.0067229886,0.91155386,380120203.0,,ZTF19aadhcfj
ztf,59600.55487270001,1846554870315015005,2,1846554870315,18.889103,1,1846,0.9677778,16.16601,16.3152,0.09081184,0.0305,255.2959028,-13.4638355,0.7,t17_f5_c3,16.2593,0.0347,True,True,True,correction_1.0.6,0.0,13.703374,100.0,0.009399138,0.94928753,380120203.0,,ZTF19aadhcfj
ztf,59600.56248839991,1846562480315015031,2,1846562480315,19.1324,1,1846,0.6728,16.4864,16.5158,0.122473,0.0356,255.2957539,-13.4637473,0.581429,t17_f5_c3,16.5198,0.0426,False,True,True,correction_1.0.6,0.0,13.732476,100.0,0.009693277,,,1.871483480315015e+18,ZTF19aadhcfj
ztf,59600.56503470009,1846565030315015005,2,1846565030315,19.048,1,1846,0.592884,16.1735,16.3532,0.098157,0.0312,255.2959197,-13.4637145,0.778571,t17_f5_c3,16.3271,0.0363,False,True,True,correction_1.0.6,0.0,13.704146,100.0,0.010096711,,,1.871483480315015e+18,ZTF19aadhcfj
ztf,59625.4834838002,1871483480315015005,2,1871483480315,18.72525,1,1871,0.977233,16.869953,16.6652,0.13676457,0.0481,255.2959108,-13.463836,0.45142856,t17_f5_c3,16.6367,0.0572,True,True,True,correction_1.0.6,0.0,13.758356,100.0,0.007786367,0.9707974,380120203.0,,ZTF19aadhcfj
ztf,59676.46197920013,1922461970315015012,1,1922461970315,19.4767,1,1922,0.978668,18.4521,19.2876,0.181518,0.2022,255.2959959,-13.4638027,0.461429,t17_f5_c3,19.4109,0.2762,False,True,False,correction_1.0.6,0.0,15.745327,100.0,0.015004105,,,1.928372510315015e+18,ZTF19aadhcfj
