tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58277.40074069984,523400744815010006,2,523400744815,20.3649,-1,523,4.12182,20.0434,19.4113,0.270213,0.2167,326.8720041,51.0297578,0.243333,19.2435,0.2161,False,False,True,bulk_1.0.0,0.0,5.4741986481501e+17,,,,,,,ZTF18aazfjki
ztf,58278.447465300094,524447464815010008,2,524447464815,20.559486,-1,524,4.0925508,19.25141,19.5003,0.10507602,0.2129,326.8720229,51.0297384,0.43333334,19.7942,0.3187,False,False,True,bulk_1.0.0,0.0,5.4741986481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58281.450104199816,527450104815010011,2,527450104815,20.432182,-1,527,4.1333117,18.838362,18.9403,0.08757323,0.1333,326.8720241,51.0297028,0.41666666,18.7614,0.1315,False,False,True,bulk_1.0.0,0.0,5.4741986481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58283.39030090021,529390304815010014,2,529390304815,20.542465,-1,529,4.231172,19.125591,19.6428,0.08555309,0.244,326.8719986,51.0296666,0.44,19.4042,0.2251,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58286.47849539993,532478494815010004,2,532478494815,20.00501,-1,532,3.8694596,18.954983,18.9089,0.114316046,0.1571,326.8721511,51.0296924,0.44333333,18.8106,0.1738,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58289.45255789999,535452554815010008,2,535452554815,20.516033,-1,535,3.9323456,19.055511,18.8923,0.13989879,0.1211,326.8720984,51.0297458,0.38,18.8854,0.1391,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58290.3833912001,536383394815010012,2,536383394815,20.508,-1,536,4.17423,19.1074,18.6584,0.101955,0.0989,326.8719973,51.0297208,0.37,18.6977,0.1176,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,,,,,,,ZTF18aazfjki
ztf,58291.47564810002,537475644815010006,2,537475644815,20.531315,-1,537,4.1678886,19.319983,19.6757,0.12980762,0.2559,326.8720219,51.0296728,0.42333335,19.6395,0.2857,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58292.468576400075,538468574815010008,2,538468574815,20.754356,-1,538,4.082713,19.067324,18.8802,0.108134754,0.1124,326.8720159,51.0297657,0.37666667,18.9446,0.1337,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58293.476666700095,539476664815010006,2,539476664815,20.528,-1,539,4.1708574,19.173359,19.2452,0.12171922,0.1719,326.8719958,51.0297185,0.41333333,19.5504,0.2618,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58294.46828699997,540468284815010008,2,540468284815,20.732958,-1,540,4.1930723,19.015759,18.9779,0.11650335,0.124,326.8719882,51.029715,0.37,19.0612,0.1506,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58297.41707180021,543417074815010005,2,543417074815,20.01917,-1,543,4.2094097,19.176134,19.171,0.14952695,0.2218,326.8720047,51.0296717,0.36666667,18.7421,0.1817,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58300.432384300046,546432384815010004,2,546432384815,20.0894,-1,546,4.03504,19.3963,20.2354,0.24422,0.5576,326.872076,51.0296902,0.32,19.8376,0.4652,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,,,,,,,ZTF18aazfjki
ztf,58301.41986110015,547419864815010006,2,547419864815,20.206402,-1,547,4.138236,19.283302,19.7499,0.17456149,0.325,326.8720124,51.029715,0.33333334,19.8024,0.406,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58303.36851850012,549368514815010003,2,549368514815,20.35759,-1,549,4.102117,19.255367,19.5463,0.11907665,0.2476,326.8720119,51.0297472,0.42333335,19.7341,0.3439,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,0.0,769120248.0,,,,,ZTF18aazfjki
ztf,58304.38479170017,550384794815010009,2,550384794815,20.368,-1,550,3.82911,19.0968,18.6295,0.170805,0.1046,326.8721391,51.0297619,0.356667,18.6754,0.127,False,False,True,bulk_1.0.0,0.0,5.5840335481501e+17,,,,,,,ZTF18aazfjki
