tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,60693.57642359985,2939576420715010072,2,2939576420715,18.079569,-1,2939,0.31887534,18.310886,17.473776,18.2058,0.20837887,0.089180455,0.096384935,0.3009,280.964798,4.6337471,0.63714284,t17_f5_c3,0.99999535,18.0259,0.3276,1533120207,True,True,False,26.0.1,0.0,ZTF20abaynhf
ztf,61057.577395800035,3303577390715015149,2,3303577390715,17.10454,1,3303,0.17354603,15.729671,15.450334,15.8937,0.045297094,0.03455935,0.035021577,0.0713,280.964838,4.6337375,0.49857143,t17_f5_c3,0.9994692,15.9554,0.0968,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61057.57839119993,3303578390715015090,2,3303578390715,16.737686,1,3303,0.5729792,15.755795,15.470476,15.8638,0.066149,0.05053312,0.050862305,0.0905,280.9650049,4.6336166,0.45142856,t17_f5_c3,0.99994564,15.7666,0.1064,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61058.57462960016,3304574620715015032,2,3304574620715,18.95656,1,3304,0.12580852,15.82138,15.52055,15.8526,0.035417926,0.026156118,0.026846707,0.0233,280.9649199,4.6337162,0.8157143,t17_f5_c3,1.0,15.8518,0.0295,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61058.57759260014,3304577590715015024,2,3304577590715,18.553324,1,3304,0.12511192,15.812635,15.513915,15.8723,0.029709965,0.021747883,0.022563888,0.0324,280.9649158,4.6337074,0.82857144,t17_f5_c3,1.0,15.8996,0.0425,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61058.58300929982,3304583000715015093,2,3304583000715,17.893032,1,3304,0.1623378,15.807919,15.51033,15.969,0.029663505,0.021741144,0.022552116,0.0645,280.9649295,4.6337125,0.74142855,t17_f5_c3,1.0,15.984,0.0839,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61059.57328699995,3305573280715015028,2,3305573280715,18.969715,1,3305,0.123778164,15.847152,15.540029,15.8793,0.031163828,0.02266346,0.023485586,0.0218,280.9649106,4.6337013,0.8428571,t17_f5_c3,1.0,15.8948,0.0281,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61059.5777431,3305577740715015032,2,3305577740715,18.289057,1,3305,0.11962204,15.785133,15.492965,15.9001,0.035301454,0.026319934,0.026972739,0.0337,280.9649193,4.6337284,0.70285714,t17_f5_c3,0.99999857,15.9087,0.0434,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61059.583171300124,3305583170715015089,2,3305583170715,17.882147,1,3305,0.16679585,15.88343,15.567255,15.8446,0.030419437,0.021839317,0.02273428,0.0557,280.9649325,4.63372,0.7228571,t17_f5_c3,1.0,15.7625,0.0663,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61065.568101900164,3311568100715015053,2,3311568100715,18.9636,1,3311,0.11104079,16.081406,15.711705,16.0918,0.035360053,0.024098666,0.025155485,0.0203,280.9648958,4.6336955,0.66,t17_f5_c3,0.9999999,16.0554,0.0248,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61065.57148149982,3311571480715015141,2,3311571480715,18.448133,1,3311,0.12362765,16.078094,15.709349,16.0686,0.027609961,0.018293705,0.01965927,0.0306,280.9648902,4.6336912,0.5871429,t17_f5_c3,0.99999964,16.0247,0.0374,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
ztf,61065.57699069986,3311576990715015025,2,3311576990715,18.105558,1,3311,0.21696278,16.113312,15.734306,16.1741,0.031126613,0.020682082,0.02195482,0.0456,280.964936,4.6336909,0.66714287,t17_f5_c3,1.0,16.1502,0.0572,1533120207,True,True,False,27.5.7a32.dev1,0.0,ZTF20abaynhf
