tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,60016.42141199997,2262421413815015013,2,2262421413815,19.562881,1,2262,3.0315871,17.273712,17.3863,0.049168196,0.058,196.3748084,-9.6283012,0.94,t17_f5_c3,0.9999455,17.4938,0.0813,372120238,True,False,False,1.1.6,0.0,,,,ZTF23aadbwtw
ztf,60021.38166669989,2267381663815015012,2,2267381663815,19.99174,1,2267,2.9862292,17.273672,17.3676,0.051359136,0.0354,196.3748062,-9.6283182,0.81857145,t17_f5_c3,0.99983287,17.4004,0.0458,372120238,True,False,False,1.1.6,0.0,,,,ZTF23aadbwtw
ztf,60031.290428199805,2277290423815015011,1,2277290423815,19.829477,1,2277,1.4571722,17.846613,18.0444,0.062188238,0.0718,196.3748121,-9.6282963,0.95285714,t17_f5_c3,0.99994564,18.0983,0.0956,372120138,True,False,False,1.1.6,0.0,,,,ZTF23aadbwtw
ztf,60031.3346644002,2277334663815015021,2,2277334663815,18.726831,1,2277,3.0011728,17.295055,17.3109,0.08174115,0.1072,196.3748052,-9.6283138,0.9128571,t17_f5_c3,0.99998856,17.2885,0.134,372120238,True,False,False,1.1.6,0.0,,,,ZTF23aadbwtw
ztf,60044.27329860022,2290273293815015025,2,2290273293815,19.865795,1,2290,2.9977245,17.509962,17.6425,0.0500547,0.0496,196.3748123,-9.6283136,0.91714287,t17_f5_c3,0.99979943,17.6521,0.0633,372120238,True,False,False,1.1.6,0.0,,,,ZTF23aadbwtw
ztf,60046.27327550016,2292273273815015030,1,2292273273815,20.42388,1,2292,1.4080927,18.090176,18.1855,0.05840111,0.0525,196.3748078,-9.6283048,0.8971428,t17_f5_c3,0.99788594,18.3491,0.0762,372120138,True,False,False,1.1.6,0.0,,,,ZTF23aadbwtw
ztf,60046.31688660011,2292316883815015030,2,2292316883815,20.44151,1,2292,3.0003319,17.550823,17.6624,0.04111777,0.0372,196.3748108,-9.6283131,0.87714285,t17_f5_c3,0.9998915,17.7926,0.0521,372120238,True,False,False,1.1.6,0.0,,,,ZTF23aadbwtw
ztf,60050.340694400016,2296340693815015017,1,2296340693815,20.221886,1,2296,1.4139504,18.134981,18.2648,0.07004547,0.0666,196.374807,-9.6283032,0.93714285,t17_f5_c3,0.9976743,18.4158,0.0962,372120138,True,False,False,1.1.6,0.0,,,,ZTF23aadbwtw
ztf,60052.257337999996,2298257333815015034,1,2298257333815,20.413351,1,2298,1.3930185,18.143824,18.2535,0.0620488,0.0576,196.3748217,-9.6283099,0.94142854,t17_f5_c3,0.9908909,18.338,0.0777,372120138,True,True,True,1.1.6,0.0,17.717611,0.020823086,0.041903302,ZTF23aadbwtw
ztf,60054.32964120014,2300329643815015019,2,2300329643815,20.18072,1,2300,3.0280788,17.658997,17.8515,0.061247963,0.0514,196.3748097,-9.628309,0.93142855,t17_f5_c3,0.9999933,17.9282,0.0692,372120238,True,False,False,1.1.6,0.0,,,,ZTF23aadbwtw
