tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,61074.56388889998,3320563881915015120,2,3320563881915,18.771502,1,3320,0.16416608,16.500164,14.551669,16.4304,0.049381685,100.0,0.008206686,0.037,264.3513917,-15.1342157,0.5814286,t17_f5_c3,0.9997959,16.3662,0.0439,1374120219,True,True,False,27.5.7a32.dev1,0.0,ZTF25acahpvt
ztf,61075.56292819977,3321562921915015220,2,3321562921915,18.982517,1,3321,0.36575285,16.377163,14.530237,16.3711,0.05428482,100.0,0.009906225,0.0299,264.3514733,-15.1341623,0.5642857,t17_f5_c3,0.9997455,16.3588,0.0369,1374120219,True,True,False,27.5.7a32.dev1,0.0,ZTF25acahpvt
ztf,61077.5602545999,3323560251915015025,2,3323560251915,19.399754,1,3323,0.67030865,16.737198,14.587647,16.8499,0.10821888,100.0,0.01494455,0.0405,264.3515033,-15.1343115,0.57714283,t17_f5_c3,0.99357146,16.8391,0.0496,1374120219,True,True,False,27.5.7a32.dev1,0.0,ZTF25acahpvt
ztf,61080.55879630009,3326558791915015034,2,3326558791915,19.611275,1,3326,0.633926,17.052828,14.626145,17.2947,0.09889474,100.0,0.0105803525,0.0522,264.3515479,-15.134122,0.64857143,t17_f5_c3,0.40131882,17.2389,0.0609,1374120219,True,True,False,27.5.7a32.dev1,0.0,ZTF25acahpvt
ztf,61093.566701400094,3339566701915010044,2,3339566701915,19.12755,-1,3339,0.10685484,16.403475,15.015811,16.6366,0.049697783,100.0,0.013844315,0.0397,264.3513386,-15.1341831,0.74,t17_f5_c3,0.9993357,16.6367,0.0502,1374120219,True,True,False,27.5.7a32.dev1,0.0,ZTF25acahpvt
ztf,61096.54421300022,3342544211915010047,2,3342544211915,19.359234,-1,3342,0.32393715,16.721903,14.94153,16.8256,0.060629867,100.0,0.01176353,0.0434,264.3512736,-15.1341689,0.7714286,t17_f5_c3,0.9988942,16.8307,0.0539,1374120219,True,True,False,27.5.7a32.dev1,0.0,ZTF25acahpvt
ztf,61099.54115739977,3345541151915010045,2,3345541151915,20.176098,-1,3345,0.49931046,17.21747,14.866954,17.3728,0.11231244,100.0,0.012889062,0.0388,264.3512229,-15.1341726,0.56142855,t17_f5_c3,0.93836033,17.2809,0.0427,1374120219,True,True,False,27.5.7a32.dev1,0.0,ZTF25acahpvt
