tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,rbversion,oid
ztf,59341.44637730019,1587446370715015041,2,1587446370715,20.1306,1,1587,0.732196,16.3901,16.2746,0.033916,0.0199,290.5810019,15.4577605,0.585714,,16.2359,0.0205,,False,True,True,correction_0.0.1,0.0,,13.353649,100.0,0.0020693035,t17_f5_c3,ZTF18aaxypqy
ztf,59341.44637730019,1587446370715015042,2,1587446370715,20.1306,1,1587,1.24772,16.5449,16.4673,0.109986,0.0204,290.5810896,15.4576266,0.298571,,16.3505,0.0218,,False,True,True,correction_0.0.1,0.0,,13.362488,100.0,0.0058664056,t17_f5_c3,ZTF18aaxypqy
ztf,59341.46606480004,1587466065715015001,1,1587466065715,20.5207,1,1587,0.557497,18.1315,17.9753,0.10502,0.0462,290.5806339,15.4577811,0.782857,,17.9739,0.0515,,False,True,False,correction_0.0.1,0.0,,15.093735,100.0,0.00639979,t17_f5_c3,ZTF18aaxypqy
ztf,59344.4208217999,1590420820715015036,2,1590420820715,20.5989,1,1590,1.15713,17.3556,16.9278,0.183361,0.0328,290.5809501,15.4575563,0.29,,16.8042,0.0322,,False,True,True,correction_0.0.1,0.0,,13.393388,100.0,0.004768941,t17_f5_c3,ZTF18aaxypqy
ztf,59346.423692100216,1592423690715015027,2,1592423690715,20.627249,1,1592,0.7969662,16.579268,16.3115,0.14322603,0.0188,290.5809099,15.457648,0.41285715,0.88549817,16.2907,0.02,590120207.0,True,True,True,correction_0.0.1,0.0,,13.364293,100.0,0.007413654,t17_f5_c3,ZTF18aaxypqy
ztf,59670.47770830011,1916477700715035060,2,1916477700715,20.6171,1,1916,0.582037,15.7714,15.6637,0.185525,0.0111,290.5808385,15.4576906,0.327143,,15.5853,0.011,,False,True,True,correction_1.0.6,0.0,1.946424005715015e+18,13.303931,0.011529983,0.019116772,t17_f5_c3,ZTF18aaxypqy
ztf,59670.49909720011,1916499095715025004,1,1916499095715,20.7939,1,1916,0.446379,17.6427,17.5762,0.111766,0.0335,290.580888,15.4577948,0.778571,,17.5931,0.0376,,False,True,False,correction_1.0.6,0.0,1.946424005715015e+18,15.056749,100.0,0.010325934,t17_f5_c3,ZTF18aaxypqy
ztf,59673.4869328998,1919486935715015001,2,1919486935715,19.892605,1,1919,0.9077482,16.298906,16.3691,0.10301152,0.024,290.5808481,15.4576167,0.40857142,0.15380377,16.3312,0.0251,540120257.0,True,True,True,correction_1.0.6,0.0,,13.354397,100.0,0.006840409,t17_f5_c3,ZTF18aaxypqy
ztf,59673.4869328998,1919486935715025001,2,1919486935715,19.9124,1,1919,0.882068,16.2771,16.3363,0.116015,0.0231,290.5808511,15.4576248,0.417143,,16.298,0.0242,,False,True,True,correction_1.0.6,0.0,1.946424005715015e+18,13.352935,100.0,0.007849616,t17_f5_c3,ZTF18aaxypqy
ztf,59673.48740739981,1919487400715015233,2,1919487400715,20.0953,1,1919,1.21965,16.5704,16.4765,0.115232,0.0231,290.5811035,15.4576581,0.358571,,16.4721,0.0258,,False,True,True,correction_1.0.6,0.0,1.921455985715015e+18,13.363832,100.0,0.0060109906,t17_f5_c3,ZTF18aaxypqy
