tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58432.09253469994,678092532615015107,2,678092532615,19.857153,1,678,2.0219998,17.951471,17.962,0.08463838,0.0629,296.2029297,31.6677542,0.49333334,0.0,17.9238,0.0757,686120226.0,False,False,False,bulk_1.0.0,0.0,6.781527626150152e+17,t8_f5_c3,ZTF18aayhtxj
ztf,58432.15276619978,678152762615015109,1,678152762615,19.89907,1,678,2.3868675,18.41669,18.4771,0.09051043,0.0871,296.2030247,31.6678294,0.6766667,0.0,18.4875,0.1111,686120126.0,False,False,False,bulk_1.0.0,0.0,6.79091222615015e+17,t8_f5_c3,ZTF18aayhtxj
ztf,58433.0912269,679091222615015063,2,679091222615,19.942787,1,679,2.041423,18.61317,18.5843,0.10336476,0.1225,296.2029118,31.6677784,0.54333335,0.0,18.4582,0.1365,686120226.0,True,False,False,bulk_1.0.0,0.0,0.0,t8_f5_c3,ZTF18aayhtxj
ztf,58586.4622105998,832462212615015028,1,832462212615,20.567543,1,832,2.1552742,18.817644,18.8559,0.107077315,0.0817,296.2029758,31.6677775,0.31285715,0.0,18.8343,0.0991,686120126.0,False,False,False,bulk_1.0.0,0.0,8.54451312615015e+17,t15_f5_c3,ZTF18aayhtxj
ztf,58586.49799769977,832497992615015021,2,832497992615,20.53957,1,832,2.2747507,18.55288,18.6843,0.09356626,0.0905,296.2029854,31.6677994,0.2857143,0.0,18.7243,0.1145,686120226.0,False,False,False,bulk_1.0.0,0.0,8.54451312615015e+17,t15_f5_c3,ZTF18aayhtxj
ztf,58597.45451389998,843454512615015040,2,843454512615,20.17671,1,843,2.21629,18.389309,18.5552,0.10480559,0.1026,296.2029637,31.6678017,0.32428572,0.0,18.556,0.1278,686120226.0,False,False,False,bulk_1.0.0,0.0,8.54451312615015e+17,t15_f5_c3,ZTF18aayhtxj
ztf,58608.45131940022,854451312615015023,1,854451312615,20.749262,1,854,2.3560028,18.94792,19.0701,0.14129266,0.0894,296.2030318,31.6678076,0.27142859,0.0,18.9483,0.0977,686120126.0,False,False,False,bulk_1.0.0,0.0,8.54475302615015e+17,t15_f5_c3,ZTF18aayhtxj
ztf,58608.47530090017,854475302615015022,2,854475302615,20.497292,1,854,2.1695678,18.487728,18.6862,0.14794259,0.0936,296.2029503,31.6677952,0.23571429,0.0,18.6587,0.1111,686120226.0,True,False,False,bulk_1.0.0,0.0,0.0,t15_f5_c3,ZTF18aayhtxj
ztf,58676.279328700155,922279322615015013,2,922279322615,20.248394,1,922,2.453391,18.766783,18.7435,0.17325926,0.1172,296.2030085,31.6678511,0.4457143,0.0,18.4542,0.1116,686120226.0,False,False,False,bulk_1.0.0,0.0,9.26324902615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58677.28618060006,923286182615015014,2,923286182615,20.279268,1,923,2.4140737,17.765148,17.6864,0.062176473,0.0445,296.203029,31.6678187,0.8,0.00746325,17.5126,0.0468,686120226.0,False,False,False,bulk_1.0.0,0.0,9.26324902615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58678.235046300106,924235042615015012,2,924235042615,20.358133,1,924,2.3156805,17.683384,17.688,0.1042284,0.0425,296.2029808,31.6678305,0.64285713,0.0,17.5176,0.0448,686120226.0,False,False,False,bulk_1.0.0,0.0,9.26324902615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58679.23231479991,925232312615015023,2,925232312615,19.983683,1,925,2.3103216,17.484385,17.4455,0.08042416,0.0441,296.2029933,31.6678124,0.61,6.822e-05,17.3069,0.0486,686120226.0,False,False,False,bulk_1.0.0,0.0,9.26324902615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58679.3427893999,925342782615015018,1,925342782615,20.150034,1,925,2.3029356,17.540403,17.4286,0.06025333,0.0331,296.2030172,31.6677999,0.8257143,0.999999,17.3134,0.0371,686120126.0,False,False,False,bulk_1.0.0,0.0,9.26324902615015e+17,t17_f5_c3,ZTF18aayhtxj
ztf,58680.32490740018,926324902615015023,2,926324902615,19.870657,1,926,2.4005475,17.538818,17.5132,0.05720418,0.0509,296.2030312,31.6678116,0.8214286,0.37592927,17.3929,0.0573,686120226.0,False,False,False,bulk_1.0.0,0.0,9.29289152615015e+17,t17_f5_c3,ZTF18aayhtxj
