tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59623.32201390015,1869322011015015001,1,1869322011015,19.79712,1,1869,1.6673291,18.880108,18.5465,0.11489891,0.1288,207.8634051,37.6057235,0.9114286,t17_f5_c3,0.9999386,18.5421,0.1635,718120110,True,False,False,correction_1.0.6,0.0,,,,ZTF18aacdblq
ztf,59623.39190969989,1869391901015015000,2,1869391901015,20.03009,1,1869,1.2715201,18.920958,18.8762,0.12003919,0.1442,207.8634885,37.6057447,0.9685714,t17_f5_c3,0.99998343,18.9566,0.1959,718120210,True,True,False,correction_1.0.6,0.0,17.423931,100.0,0.030235194,ZTF18aacdblq
ztf,59625.39545139996,1871395451015015000,1,1871395451015,19.551313,1,1871,1.436636,18.845594,18.7657,0.12339774,0.1757,207.8634864,37.6057412,0.9671429,t17_f5_c3,0.9999544,18.8431,0.241,718120110,True,False,False,correction_1.0.6,0.0,,,,ZTF18aacdblq
ztf,59625.42592590023,1871425921015015000,2,1871425921015,19.907557,1,1871,1.3340666,19.01446,19.0191,0.13743772,0.1875,207.8634515,37.6057691,0.97,t17_f5_c3,0.9999479,19.0375,0.2419,718120210,True,True,False,correction_1.0.6,0.0,17.446735,100.0,0.032435168,ZTF18aacdblq
ztf,59628.36689809989,1874366891015015000,1,1874366891015,19.43178,1,1874,1.1540288,19.004934,18.7093,0.17166996,0.191,207.8635722,37.6057826,0.7871429,t17_f5_c3,0.99998367,18.6798,0.2377,718120110,True,True,True,correction_1.0.6,0.0,17.858059,0.042672686,0.059695847,ZTF18aacdblq
ztf,59628.450972199906,1874450971015015001,2,1874450971015,19.495747,1,1874,1.2388473,19.060234,18.9536,0.1330905,0.2191,207.8634929,37.6057557,0.98,t17_f5_c3,0.9999895,18.8323,0.2496,718120210,True,True,False,correction_1.0.6,0.0,17.457365,100.0,0.030408813,ZTF18aacdblq
ztf,59630.3682407001,1876368241015015002,2,1876368241015,20.134626,1,1876,1.3440204,19.14551,19.0911,0.12235919,0.1808,207.8634684,37.6057347,0.96,t17_f5_c3,0.9910868,19.3538,0.2905,718120210,True,True,False,correction_1.0.6,0.0,17.476267,100.0,0.02629902,ZTF18aacdblq
ztf,59630.40833330015,1876408331015015000,1,1876408331015,20.006453,1,1876,1.4720957,19.211369,19.1338,0.1489595,0.184,207.8634799,37.6057305,0.9342857,t17_f5_c3,0.9999914,19.431,0.3078,718120110,True,False,False,correction_1.0.6,0.0,,,,ZTF18aacdblq
ztf,59637.38795140013,1883387951015015001,1,1883387951015,20.516117,1,1883,1.2471579,19.579952,19.4978,0.16618964,0.1401,207.8635159,37.605815,0.9514286,t17_f5_c3,0.99991584,19.4634,0.1691,718120110,True,True,True,correction_1.0.6,0.0,18.025578,100.0,0.039705828,ZTF18aacdblq
ztf,59637.41210650001,1883412101015015002,2,1883412101015,20.204187,1,1883,1.300503,19.067741,19.0854,0.10108716,0.1275,207.8634762,37.6057433,0.95285714,t17_f5_c3,0.9999838,18.9773,0.1434,718120210,True,True,False,correction_1.0.6,0.0,17.459076,100.0,0.022973638,ZTF18aacdblq
ztf,59639.30322920019,1885303221015015001,2,1885303221015,19.900745,1,1885,1.200697,19.169127,19.139,0.12643671,0.1451,207.8634754,37.6058244,0.88857144,t17_f5_c3,0.9998517,19.2642,0.2031,718120210,True,True,False,correction_1.0.6,0.0,17.4813,100.0,0.026714226,ZTF18aacdblq
ztf,59639.39234950021,1885392341015015001,1,1885392341015,20.295818,1,1885,1.0992559,19.686962,19.553,0.17969546,0.1467,207.8635699,37.6058203,0.60571426,t17_f5_c3,0.954226,19.4348,0.1641,718120110,True,True,True,correction_1.0.6,0.0,18.050201,100.0,0.039795425,ZTF18aacdblq
ztf,59641.38981480012,1887389811015015001,1,1887389811015,20.849798,1,1887,1.4265517,19.683336,19.4632,0.11883299,0.12,207.8634885,37.6057442,0.9257143,t17_f5_c3,0.9999999,19.389,0.138,718120110,True,False,False,correction_1.0.6,0.0,,,,ZTF18aacdblq
ztf,59641.408391200006,1887408391015015000,2,1887408391015,20.662275,1,1887,1.1830626,19.269377,19.1932,0.12233709,0.1234,207.8635159,37.6057613,0.9628571,t17_f5_c3,0.9999443,19.1855,0.1503,718120210,True,True,False,correction_1.0.6,0.0,17.501724,100.0,0.024015797,ZTF18aacdblq
ztf,59672.32903939998,1918329031015015002,1,1918329031015,20.790049,1,1918,0.5919161,20.481876,20.1294,0.20986667,0.2222,207.8638113,37.605805,0.87,t17_f5_c3,0.9924644,20.0362,0.2518,718120110,True,True,True,correction_1.0.6,0.0,18.182802,100.0,0.025253028,ZTF18aacdblq
