tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,oid
ztf,59229.56039350014,1475560391315015012,2,1475560391315,18.8822,1,1475,0.352262,14.9274,12.442873,15.0773,0.038578,100.0,0.003913174,0.0102,267.6493419,9.1971779,0.597143,t17_f5_c3,14.987,0.0102,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59229.565277799964,1475565271315015010,2,1475565271315,18.8404,1,1475,0.434746,15.0107,12.451037,15.0735,0.043375,100.0,0.004105579,0.0104,267.6492419,9.1969799,0.648571,t17_f5_c3,14.9771,0.0104,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59229.57017360022,1475570171315015018,2,1475570171315,18.9202,1,1475,0.582531,14.7485,12.423323,14.8946,0.032879,100.0,0.003862316,0.0094,267.6493675,9.1969377,0.588571,t17_f5_c3,14.8446,0.0098,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59230.55995369982,1476559951315015007,2,1476559951315,19.7284,1,1476,0.73446,14.9885,12.448916,14.9952,0.015205,100.0,0.001466065,0.01,267.6494686,9.1969659,0.555714,t17_f5_c3,14.9853,0.0105,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59230.5623031999,1476562301315015007,2,1476562301315,19.7319,1,1476,0.818812,14.999,12.449924,14.9757,0.015292,100.0,0.0014616194,0.0098,267.6495103,9.1969867,0.58,t17_f5_c3,14.9697,0.0104,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59230.56697920011,1476566971315015015,2,1476566971315,19.5201,1,1476,0.664402,14.821,12.431593,14.9987,0.077034,100.0,0.008529421,0.0101,267.6494467,9.1969689,0.664286,t17_f5_c3,14.9804,0.0106,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59231.560057899915,1477560051315015011,2,1477560051315,19.8098,1,1477,0.510423,14.9738,12.447491,14.8996,0.077946,100.0,0.007607994,0.0091,267.6492996,9.1969478,0.687143,t17_f5_c3,14.8895,0.0095,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59231.56740739988,1477567401315015013,2,1477567401315,19.6718,1,1477,0.776559,14.8595,12.435789,14.9616,0.114967,100.0,0.012333572,0.0096,267.6494803,9.1969603,0.558571,t17_f5_c3,14.9471,0.0101,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59232.559803199954,1478559801315015006,2,1478559801315,19.8596,1,1478,0.750747,14.9967,12.449704,14.9444,0.015208,100.0,0.0014563771,0.0096,267.6493863,9.1968943,0.514286,t17_f5_c3,14.9338,0.01,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59251.5083217998,1497508321315015008,2,1497508321315,19.6246,1,1497,0.741512,13.9463,12.2921095,14.1154,0.088171,0.008555933,0.01921541,0.0048,267.6494938,9.1970034,0.601429,t17_f5_c3,14.1031,0.005,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59253.544722199906,1499544721315015014,1,1499544721315,20.3083,1,1499,0.629072,16.024,13.865132,15.9931,0.043668,100.0,0.0059788316,0.013,267.6494695,9.1969907,0.821429,t17_f5_c3,15.9815,0.0138,False,True,False,correction_0.0.1,0.0,,,ZTF20actwvij
ztf,59256.52913190005,1502529131315015007,1,1502529131315,20.350548,1,1502,0.6146014,15.684375,13.811867,15.7481,0.06174248,0.004884913,0.011004766,0.0106,267.6492611,9.1972342,0.79,t17_f5_c3,15.739,0.0113,True,True,False,correction_0.0.1,0.0,0.58225125,537120113.0,ZTF20actwvij
ztf,61099.52923610015,3345529231315010057,1,3345529231315,20.37883,-1,3345,1.063178,17.127155,14.089215,16.9325,0.1327271,100.0,0.008086929,0.0288,267.6490869,9.1972726,0.43285716,t17_f5_c3,16.9267,0.0315,True,True,False,27.5.7a32.dev1,0.0,0.08935202,537120113.0,ZTF20actwvij
