tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,60351.56424769992,2597564243715015002,2,2597564243715,18.668055,1,2597,0.56859946,15.957101,14.709272,15.663,0.09298767,0.024481194,0.02946415,0.0184,286.5028554,-4.4816162,0.42,t17_f5_c3,0.99286187,15.5747,0.0208,1430120237,True,True,False,23.12.x,0.0,ZTF22abcafef
ztf,60351.564722199924,2597564723715015001,2,2597564723715,18.696215,1,2597,0.6928016,15.778362,14.64939,15.662,0.08244693,0.024673533,0.02914646,0.0193,286.502886,-4.4816363,0.6157143,t17_f5_c3,0.96782696,15.5952,0.0224,1430120237,True,True,False,23.12.x,0.0,ZTF22abcafef
ztf,60351.565196800046,2597565193715015026,2,2597565193715,18.59483,1,2597,0.70505893,15.475239,14.532322,15.5171,0.050368518,0.015894422,0.02113452,0.0181,286.5028936,-4.4816335,0.48857144,t17_f5_c3,0.5826302,15.4693,0.0215,1430120237,True,True,False,23.12.x,0.0,ZTF22abcafef
ztf,60352.5634606001,2598563463715015005,2,2598563463715,18.48093,1,2598,0.6133601,15.638411,14.597829,15.4788,0.030506859,100.0,0.0116994325,0.0166,286.5028749,-4.4816156,0.45142856,t17_f5_c3,0.9424922,15.4022,0.0191,1430120237,True,True,False,23.12.x,0.0,ZTF22abcafef
ztf,60353.56079859985,2599560793715015001,2,2599560793715,19.343006,1,2599,0.16258079,15.696634,14.61979,15.7812,0.05531154,0.013889555,0.020515312,0.0173,286.5027933,-4.4815105,0.7542857,t17_f5_c3,0.9810859,15.7725,0.021,1430120237,True,True,False,23.12.x,0.0,ZTF22abcafef
ztf,60353.561273099855,2599561273715015002,2,2599561273715,19.24771,1,2599,0.261223,15.8147,14.662098,15.8177,0.0728831,0.019726837,0.025210766,0.0187,286.5028243,-4.481515,0.63,t17_f5_c3,0.99446,15.8012,0.0226,1430120237,True,True,False,23.12.x,0.0,ZTF22abcafef
ztf,60353.56173609989,2599561733715015000,2,2599561733715,19.281652,1,2599,0.23408563,15.799614,14.656856,15.8094,0.06562429,0.016752549,0.022906642,0.0186,286.502812,-4.4815205,0.69714284,t17_f5_c3,0.9600215,15.8088,0.0229,1430120237,True,True,False,23.12.x,0.0,ZTF22abcafef
ztf,61083.5612269002,3329561223715015001,2,3329561223715,19.309456,1,3329,0.50137967,16.599697,14.874974,16.4376,0.05667469,100.0,0.011574435,0.0301,286.5028802,-4.4814279,0.72571427,t17_f5_c3,0.8733045,16.3513,0.0341,1430120237,True,True,False,27.5.7a32.dev1,0.0,ZTF22abcafef
ztf,61083.565798600204,3329565793715015002,2,3329565793715,19.137678,1,3329,0.49946973,16.641579,14.883397,16.5322,0.05035227,100.0,0.009971174,0.037,286.5028561,-4.4813922,0.7057143,t17_f5_c3,0.6343848,16.4792,0.0437,1430120237,True,True,False,27.5.7a32.dev1,0.0,ZTF22abcafef
