tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58300.39872690011,546398720715015011,2,546398720715,19.631252,1,546,1.7333369,17.518215,17.619,0.09548845,0.0594,314.4372647,44.5593088,0.48,0.0,17.5321,0.0683,768120207.0,False,False,False,bulk_1.0.0,0.0,5.584053207150151e+17,,,,,ZTF18abdjxej
ztf,58301.404999999795,547404990715015019,2,547404990715,20.270533,1,547,1.9093782,17.495771,17.5549,0.10365837,0.0432,314.4372009,44.559279,0.40666667,0.0,17.5664,0.0529,768120207.0,False,False,False,bulk_1.0.0,0.0,5.584053207150151e+17,,,,,ZTF18abdjxej
ztf,58303.36803240003,549368030715015045,2,549368030715,20.531914,1,549,1.8205463,17.392887,17.4323,0.04235501,0.0348,314.4372389,44.5592675,0.58666664,0.0,17.4429,0.0418,768120207.0,False,False,False,bulk_1.0.0,0.0,5.584053207150151e+17,,,,,ZTF18abdjxej
ztf,58304.38571760012,550385710715015058,2,550385710715,20.741873,1,550,1.8523773,17.452778,17.5206,0.06533573,0.0347,314.4372258,44.559275,0.55333334,0.0,17.5073,0.0404,768120207.0,False,False,False,bulk_1.0.0,0.0,5.584053207150151e+17,,,,,ZTF18abdjxej
ztf,58305.39468749985,551394680715015042,2,551394680715,19.974566,1,551,1.8120917,17.384789,17.3644,0.05872983,0.0394,314.4372329,44.5593047,0.5833333,0.0,17.3207,0.0461,768120207.0,False,False,False,bulk_1.0.0,0.0,5.584053207150151e+17,,,,,ZTF18abdjxej
ztf,58307.39175930014,553391750715015031,2,553391750715,20.840721,1,553,1.8809139,17.315573,17.3853,0.07173969,0.0279,314.4372177,44.5592436,0.5133333,0.0,17.4062,0.0326,768120207.0,False,False,False,bulk_1.0.0,0.0,5.584053207150151e+17,,,,,ZTF18abdjxej
ztf,58312.40532410005,558405320715015097,2,558405320715,20.578386,1,558,1.7847799,17.035406,17.007,0.062467467,0.0231,314.4372553,44.5592563,0.44,0.0,16.9894,0.0264,768120207.0,False,False,False,bulk_1.0.0,0.0,5.6840196071501504e+17,,,,,ZTF18abdjxej
ztf,58313.39181709988,559391810715015072,2,559391810715,20.695616,1,559,1.9057927,17.061296,17.1549,0.05537604,0.0242,314.4372051,44.5592628,0.44666666,0.0,17.1684,0.0282,768120207.0,False,False,False,bulk_1.0.0,0.0,5.6840196071501504e+17,,,,,ZTF18abdjxej
ztf,58314.42598380009,560425980715015053,2,560425980715,20.776243,1,560,1.9508643,17.11325,17.1708,0.06237115,0.0238,314.4371919,44.5592499,0.46666667,0.0,17.1498,0.0268,768120207.0,False,False,False,bulk_1.0.0,0.0,5.6840196071501504e+17,,,,,ZTF18abdjxej
ztf,58315.36163190007,561361630715015010,2,561361630715,20.69136,1,561,1.8608749,16.963938,17.0128,0.07476914,0.0217,314.4372203,44.5592781,0.5,0.0,16.996,0.0245,768120207.0,False,False,False,bulk_1.0.0,0.0,5.6840196071501504e+17,,,,,ZTF18abdjxej
ztf,58316.34752310021,562347520715015011,2,562347520715,20.776703,1,562,1.8629565,16.882734,16.9355,0.054752804,0.0196,314.4372246,44.5592613,0.49666667,0.0,16.929,0.0222,768120207.0,False,False,False,bulk_1.0.0,0.0,5.6840196071501504e+17,,,,,ZTF18abdjxej
ztf,58318.36568289995,564365680715015005,2,564365680715,20.841486,1,564,1.8943636,16.865711,16.9237,0.057727568,0.0195,314.4372103,44.5592686,0.55,0.0,16.9149,0.0224,768120207.0,False,False,False,bulk_1.0.0,0.0,5.6840196071501504e+17,t8_f5_c3,,,,ZTF18abdjxej
ztf,58320.3920948999,566392090715015046,2,566392090715,20.154045,1,566,1.7755154,16.682775,16.6164,0.06665058,0.0216,314.4372546,44.5592847,0.51,0.0,16.5891,0.0251,768120207.0,False,False,False,bulk_1.0.0,0.0,5.6840196071501504e+17,t8_f5_c3,,,,ZTF18abdjxej
ztf,58322.40196759999,568401960715015024,2,568401960715,20.612549,1,568,1.8334203,16.693089,16.6715,0.04850026,0.0169,314.4372379,44.5592508,0.5466667,0.0,16.6592,0.0195,768120207.0,False,False,False,bulk_1.0.0,0.0,5.97411300715015e+17,t8_f5_c3,,,,ZTF18abdjxej
