tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion,oid
ztf,58307.37740739994,553377402015015025,2,553377402015,20.6267,1,553,0.530019,20.802,20.613434,20.9023,0.348547,0.28891423,0.29297775,0.5485,282.3643358,3.7356149,0.303333,20.8567,0.675,False,True,False,bulk_1.0.0,0.0,5.6133565201501504e+17,,,,ZTF18abhegoe
ztf,58310.384120400064,556384122015015007,2,556384122015,20.1839,1,556,0.551458,20.4786,20.335564,20.1424,0.349451,0.30399558,0.30631778,0.3315,282.3643648,3.7355996,0.22,19.9806,0.3666,False,True,False,bulk_1.0.0,0.0,5.6133565201501504e+17,,,,ZTF18abhegoe
ztf,58311.37693289993,557376932015015014,2,557376932015,20.3018,1,557,0.408697,20.2599,20.141592,20.5297,0.279146,0.24833947,0.25032768,0.4971,282.3642808,3.7357069,0.356667,20.3795,0.556,False,True,False,bulk_1.0.0,0.0,5.6133565201501504e+17,,,,ZTF18abhegoe
ztf,58313.20655089989,559206552015015046,2,559206552015,20.3555,1,559,0.506774,20.2383,20.122204,19.6259,0.194121,0.17167106,0.17443515,0.2061,282.3643821,3.7356153,0.26,19.8148,0.3141,False,True,False,bulk_1.0.0,0.0,5.6133565201501504e+17,,,,ZTF18abhegoe
ztf,58315.33565969998,561335652015015028,2,561335652015,20.63721,1,561,0.24568628,20.131916,20.026146,20.0009,0.16167942,0.14391346,0.14667176,0.2394,282.3643352,3.7357075,0.37333333,19.7895,0.2526,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,,ZTF18abhegoe
ztf,58318.33812499978,564338122015015018,2,564338122015,20.584974,1,564,0.20202453,19.828749,19.747814,19.8323,0.13583876,0.12416285,0.12608102,0.1933,282.3643458,3.7357103,0.50666666,19.9365,0.2726,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58319.272361100186,565272362015015021,2,565272362015,20.334682,1,565,0.319979,19.82403,19.743433,20.0853,0.170343,0.15664342,0.15815598,0.3069,282.3643116,3.7356965,0.38333333,20.1405,0.4143,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58320.345925900154,566345922015015025,2,566345922015,20.640858,1,566,0.36392823,19.72119,19.647636,19.5911,0.13577063,0.12529466,0.1268774,0.1592,282.3643141,3.7356807,0.47666666,19.7694,0.2399,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58321.34699069988,567346992015015025,2,567346992015,20.32607,1,567,0.55472314,19.584919,19.519787,19.5703,0.14845408,0.13867779,0.13981025,0.2139,282.3642553,3.7356631,0.45,19.6171,0.2862,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58326.313819400035,572313812015015010,2,572313812015,19.2647,1,572,0.481206,19.3171,19.265877,18.7228,0.243258,0.23162162,0.23204769,0.2634,282.3643039,3.735642,0.196667,18.7872,0.3589,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,,,t8_f5_c3,ZTF18abhegoe
ztf,58327.313750000205,573313752015015005,2,573313752015,19.1099,1,573,0.402404,19.4041,19.34871,19.3528,0.329628,0.31286559,0.31323314,0.5331,282.364274,3.7357326,0.22,19.8939,1.1269,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,,,t8_f5_c3,ZTF18abhegoe
ztf,58329.31476850016,575314762015015010,2,575314762015,19.596321,1,575,0.30472785,19.372974,19.31911,19.2433,0.17776568,0.16851652,0.16916184,0.2842,282.3643238,3.735694,0.33333334,19.1844,0.3458,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58330.33453699993,576334532015015014,2,576334532015,19.88317,1,576,0.38496387,19.138304,19.094704,19.025,0.13207832,0.12631014,0.12687941,0.1875,282.3643407,3.7356501,0.41333333,18.9562,0.2259,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58332.2906944002,578290692015015062,2,578290692015,19.871098,1,578,0.31070682,18.882189,18.847605,19.1089,0.10654752,0.102763325,0.10320722,0.2151,282.3643252,3.7356891,0.46666667,18.8984,0.2273,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58334.34197920002,580341972015015025,2,580341972015,20.260445,1,580,0.3349656,19.045355,19.005266,19.3248,0.109869964,0.1053084,0.1058872,0.1685,282.364312,3.735697,0.55333334,19.3153,0.214,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58336.227083299775,582227082015015037,2,582227082015,20.711359,1,582,0.2684843,19.051167,19.010866,19.0616,0.10819818,0.10366171,0.10425573,0.0905,282.3643339,3.7356992,0.58666664,19.0854,0.1176,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58337.32777780015,583327772015015040,2,583327772015,20.627338,1,583,0.29106015,18.96223,18.925047,18.8924,0.113650136,0.10934262,0.109823756,0.0877,282.3643305,3.7356865,0.6066667,18.8693,0.1092,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58338.207881900016,584207882015015056,2,584207882015,20.707884,1,584,0.2228956,18.958845,18.921774,19.0516,0.098782256,0.09491591,0.09546645,0.0951,282.3643423,3.7357035,0.63,19.1715,0.135,False,True,False,bulk_1.0.0,0.0,5.86301492015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58340.30149309989,586301492015015015,2,586301492015,20.026579,1,586,0.28909302,18.889776,18.854954,18.8029,0.11044274,0.106522694,0.10695681,0.1231,282.3643359,3.7356882,0.67333335,18.6731,0.1397,False,True,False,bulk_1.0.0,0.0,6.15166132015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58343.32192130014,589321922015015021,2,589321922015,20.42261,1,589,0.25357568,18.903257,18.868008,18.885,0.10288396,0.09911961,0.09959733,0.0959,282.3643343,3.7357041,0.6933333,18.8386,0.1171,False,True,False,bulk_1.0.0,0.0,6.17166582015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58344.171122699976,590171122015015046,2,590171122015,20.489027,1,590,0.30580682,18.812456,18.779993,18.9433,0.11751729,0.1137011,0.11405552,0.0988,282.3643233,3.7356937,0.6533333,18.9606,0.1278,False,True,False,bulk_1.0.0,0.0,6.17166582015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58345.32164350012,591321642015015014,2,591321642015,20.327383,1,591,0.3416036,18.90562,18.870295,18.8878,0.09011023,0.086677395,0.087225586,0.1,282.3643252,3.7356782,0.80333334,19.069,0.1504,False,True,False,bulk_1.0.0,0.0,6.17166582015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58348.21359949978,594213592015015030,2,594213592015,20.377003,1,594,0.35587555,18.777138,18.745699,18.5966,0.07543191,0.07276005,0.07327896,0.083,282.3643127,3.735685,0.73,18.5607,0.1023,False,True,False,bulk_1.0.0,0.0,6.17166582015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
ztf,58349.250717599876,595250712015015024,2,595250712015,20.293287,1,595,0.32684535,18.721075,18.691196,18.5169,0.09381134,0.09088861,0.091264896,0.0867,282.3643288,3.7356764,0.68,18.5297,0.1119,False,True,False,bulk_1.0.0,0.0,6.17166582015015e+17,0.0,487120220.0,t8_f5_c3,ZTF18abhegoe
