tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59268.5558449002,1514555843015015006,2,1514555843015,19.6555,1,1514,2.61394,18.8293,18.352,0.204929,0.1231,302.7275738,10.5585172,0.187143,t17_f5_c3,18.4028,0.1614,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF21aanffck
ztf,59269.55236109998,1515552363015015003,2,1515552363015,19.6769,1,1515,2.93257,19.2595,18.4576,0.218663,0.1336,302.7277623,10.5586259,0.257143,t17_f5_c3,18.4599,0.1673,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF21aanffck
ztf,59269.554791700095,1515554793015015003,2,1515554793015,19.52529,1,1515,2.454069,18.499174,18.1659,0.17070436,0.1169,302.7274917,10.5585018,0.24285714,t17_f5_c3,18.241,0.1576,True,False,False,correction_0.0.1,0.0,0.0359886,542120230.0,,,,,ZTF21aanffck
ztf,59640.543877299875,1886543873015015005,2,1886543873015,19.9501,1,1886,1.63567,18.5281,18.2261,0.179369,0.0884,302.7271314,10.5585684,0.394286,t17_f5_c3,18.2409,0.1104,False,False,False,correction_1.0.6,0.0,,,1.886546353015015e+18,,,,ZTF21aanffck
ztf,59640.546354200225,1886546353015015006,2,1886546353015,19.827139,1,1886,1.8363218,18.283834,18.3544,0.13049208,0.1053,302.7272695,10.5585602,0.4757143,t17_f5_c3,18.3233,0.1268,True,False,False,correction_1.0.6,0.0,0.41627392,542120230.0,,,,,ZTF21aanffck
ztf,59640.55129629979,1886551293015015003,2,1886551293015,19.3748,1,1886,1.9543,18.7061,18.2603,0.205793,0.1291,302.7273162,10.5585482,0.47,t17_f5_c3,18.1548,0.1477,False,False,False,correction_1.0.6,0.0,,,1.887553683015015e+18,,,,ZTF21aanffck
ztf,59641.54408559995,1887544083015015004,2,1887544083015,19.9417,1,1887,1.34568,18.3687,17.9054,0.211599,0.0653,302.727294,10.5587461,0.328571,t17_f5_c3,17.9371,0.0827,False,True,True,correction_1.0.6,0.0,,,1.887553683015015e+18,15.442111,100.0,0.014284924,ZTF21aanffck
ztf,59641.55368060013,1887553683015015002,2,1887553683015,19.359356,1,1887,2.1049407,18.095926,17.869,0.11900592,0.0928,302.7274603,10.5586095,0.38428572,t17_f5_c3,17.7807,0.1081,True,False,False,correction_1.0.6,0.0,0.46828458,542120230.0,,,,,ZTF21aanffck
ztf,59641.55368060013,1887553683015015003,2,1887553683015,19.359356,1,1887,1.4364082,18.01825,17.9585,0.115225084,0.1014,302.7272742,10.5586967,0.6457143,t17_f5_c3,17.9834,0.1306,True,False,False,correction_1.0.6,0.0,0.42769065,542120230.0,,,,,ZTF21aanffck
ztf,59673.47230320005,1919472303015025003,1,1919472303015,19.7022,1,1919,1.05498,18.6616,18.7243,0.173173,0.1095,302.7271119,10.5587308,0.772857,t17_f5_c3,18.7128,0.1346,False,True,False,correction_1.0.6,0.0,,,1.948430763015015e+18,16.497898,0.007274016,0.02360474,ZTF21aanffck
ztf,59682.419699099846,1928419693015015001,1,1928419693015,18.9213,1,1928,0.832278,18.8145,18.3795,0.233621,0.1764,302.7271978,10.5588572,0.661429,t17_f5_c3,18.2462,0.1993,False,True,False,correction_1.0.6,0.0,,,1.948430763015015e+18,16.517515,0.016445886,0.02816549,ZTF21aanffck
ztf,59684.482199099846,1930482193015015007,1,1930482193015,19.4524,1,1930,0.577396,19.0575,18.77,0.134397,0.1863,302.7270609,10.558861,0.878571,t17_f5_c3,18.5994,0.2029,False,True,False,correction_1.0.6,0.0,,,1.948430763015015e+18,16.544086,100.0,0.01327467,ZTF21aanffck
ztf,59700.43369209999,1946433693015015002,2,1946433693015,20.0681,1,1946,2.8829608,18.929247,18.5653,0.18705519,0.1011,302.7275316,10.5583785,0.23,t17_f5_c3,18.5026,0.1164,True,False,False,correction_1.0.6,0.0,0.24521437,542120230.0,,,,,ZTF21aanffck
ztf,59702.430763899814,1948430763015015005,2,1948430763015,20.154993,1,1948,1.1825811,18.094212,17.7849,0.18764715,0.0478,302.7272947,10.5588208,0.48142856,t17_f5_c3,17.756,0.0565,True,True,True,correction_1.0.6,0.0,0.8859112,542120230.0,,15.421229,100.0,0.016001074,ZTF21aanffck
ztf,59702.472314800136,1948472313015015001,1,1948472313015,20.5324,1,1948,0.664963,18.9185,18.8592,0.115146,0.0876,302.7270686,10.5588349,0.872857,t17_f5_c3,18.9483,0.1155,False,True,False,correction_1.0.6,0.0,,,1.969459293015015e+18,16.529537,100.0,0.012754499,ZTF21aanffck
ztf,59711.462812500075,1957462813015015002,2,1957462813015,20.1125,1,1957,1.65145,18.4862,17.9813,0.172744,0.0566,302.7273528,10.558684,0.355714,t17_f5_c3,17.9466,0.0666,False,False,False,correction_1.0.6,0.0,,,1.969459293015015e+18,,,,ZTF21aanffck
ztf,59713.40185189992,1959401853015015002,2,1959401853015,19.8169,1,1959,1.517,18.1467,17.807,0.282703,0.0727,302.7273526,10.5587376,0.281429,t17_f5_c3,17.8637,0.0951,False,False,False,correction_1.0.6,0.0,,,1.969459293015015e+18,,,,ZTF21aanffck
ztf,59721.431863400154,1967431863015015001,2,1967431863015,20.5543,1,1967,2.05034,18.5298,18.1108,0.10763,0.0566,302.7273563,10.5585405,0.301429,t17_f5_c3,18.1576,0.0695,False,False,False,correction_1.0.6,0.0,,,1.969459293015015e+18,,,,ZTF21aanffck
ztf,59721.44792820001,1967447923015015008,2,1967447923015,20.5959,1,1967,1.94812,18.383,18.029,0.379595,0.0517,302.7274323,10.558645,0.244286,t17_f5_c3,18.0632,0.0626,False,False,False,correction_1.0.6,0.0,,,1.969459293015015e+18,,,,ZTF21aanffck
