tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,rbversion,oid
ztf,58259.44645830011,505446451615010009,2,505446451615,20.2588,-1,505,1.47706,17.0598,17.1161,0.028343,0.0442,302.0174848,32.8571218,0.28,16.7512,0.0368,False,False,True,bulk_1.0.0,0.0,5.2445762161501e+17,,,,,,,ZTF18aawtdbi
ztf,58262.38619210012,508386192915010116,2,508386192915,20.0182,-1,508,0.646524,16.3654,16.5111,0.015965,0.0188,302.0177199,32.856574,0.27,16.8597,0.0306,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.387826,100.0,0.002583088,,,,ZTF18aawtdbi
ztf,58268.44182869978,514441821615010009,2,514441821615,19.8527,-1,514,0.137026,16.7005,16.8809,0.021668,0.0327,302.0176619,32.8566999,0.516667,16.9548,0.042,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.335468,100.0,0.0024536133,,,,ZTF18aawtdbi
ztf,58270.37797449995,516377971615010016,2,516377971615,19.576809,-1,516,0.24557516,16.543139,16.7336,0.01963668,0.0307,302.0176778,32.8566735,0.54333335,16.9349,0.0445,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.3548155,100.0,0.0026166083,0.0,686120216.0,,ZTF18aawtdbi
ztf,58273.42157409992,519421572915010005,2,519421572915,20.333727,-1,519,0.093388565,17.08485,17.3655,0.028217247,0.0407,302.0176231,32.8567093,0.41,17.5039,0.0529,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.305883,100.0,0.0021823666,0.0,687120229.0,,ZTF18aawtdbi
ztf,58274.337835600134,520337832915010011,2,520337832915,20.333292,-1,520,0.3948707,16.847029,17.1066,0.022633348,0.0321,302.0174811,32.8567804,0.44333333,17.0316,0.0344,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.326644,100.0,0.0022212365,0.0,687120229.0,,ZTF18aawtdbi
ztf,58275.40392359998,521403922915010019,2,521403922915,20.453884,-1,521,0.19353044,16.828741,17.0393,0.021587033,0.0286,302.0175305,32.8567308,0.43333334,16.9618,0.0305,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.328455,100.0,0.002158135,0.0,687120229.0,,ZTF18aawtdbi
ztf,58275.404398099985,521404391615010011,2,521404391615,20.566778,-1,521,0.1890889,16.807787,16.9014,0.020601774,0.0245,302.0176563,32.8566774,0.51,16.9925,0.0299,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.323962,100.0,0.0020910993,0.0,686120216.0,,ZTF18aawtdbi
ztf,58276.425717600156,522425711615010018,2,522425711615,20.496847,-1,522,0.327756,16.70341,16.8073,0.01899597,0.0225,302.0177217,32.8566788,0.5833333,16.8094,0.0253,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.33514,100.0,0.0021446366,0.0,686120216.0,,ZTF18aawtdbi
ztf,58276.42618060019,522426182915010009,2,522426182915,20.469143,-1,522,0.2973286,17.150694,17.3065,0.02946733,0.0362,302.0174947,32.8567332,0.50333333,17.4026,0.0448,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.300953,100.0,0.002135229,0.0,687120229.0,,ZTF18aawtdbi
ztf,58277.370729200076,523370721615010004,1,523370721615,20.77674,-1,523,0.16655657,20.331097,20.5409,0.18537977,0.3329,302.0176841,32.8567288,0.56333333,19.7741,0.2131,False,True,False,bulk_1.0.0,0.0,5.2445762161501e+17,18.014494,100.0,0.021949342,0.0,686120116.0,,ZTF18aawtdbi
ztf,58277.39262730023,523392621615010008,2,523392621615,20.777084,-1,523,0.06714229,16.794437,16.9224,0.02001066,0.0243,302.0176433,32.8567105,0.32333332,16.9756,0.0281,False,True,True,bulk_1.0.0,0.0,5.2445762161501e+17,14.325326,100.0,0.002058813,0.0,686120216.0,,ZTF18aawtdbi
ztf,58278.45762730017,524457621615010008,2,524457621615,20.715384,-1,524,0.33414027,16.769503,17.0225,0.01977762,0.0248,302.0176804,32.8566401,0.45333335,16.99,0.0265,False,True,True,bulk_1.0.0,0.0,5.3932048161501e+17,14.327925,100.0,0.0020870976,0.0,686120216.0,,ZTF18aawtdbi
