tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,60317.18418980017,2563184185715015004,2,2563184185715,19.843122,1,2563,2.08698,19.409199,19.4888,0.13896906,0.2305,94.3872286,22.6080862,0.6628571,t17_f5_c3,0.9999195,19.5801,0.3211,563120257,True,False,False,23.12.x,0.0,ZTF24aaautws
ztf,60317.18513889983,2563185135715015010,2,2563185135715,19.804773,1,2563,2.352844,19.351831,19.3564,0.13019669,0.2085,94.3870265,22.6080833,0.5928571,t17_f5_c3,0.9999842,19.4153,0.2818,563120257,True,False,False,23.12.x,0.0,ZTF24aaautws
ztf,60317.185601899866,2563185605715015008,2,2563185605715,19.763569,1,2563,2.0862234,19.455198,19.6148,0.15131508,0.2679,94.3869198,22.608103,0.6028572,t17_f5_c3,0.9999573,19.677,0.3638,563120257,True,False,False,23.12.x,0.0,ZTF24aaautws
