tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58307.41255789995,553412554115015005,2,553412554115,20.696949,1,553,5.9035277,19.400175,19.7111,0.10223486,0.2266,323.3195304,63.7884988,0.43666667,0.0,19.4596,0.2162,830120241.0,False,False,False,bulk_1.0.0,0.0,5.58430004115015e+17,,ZTF18abfkxrz
ztf,58307.44811340002,553448114115015004,1,553448114115,20.7191,1,553,5.75974,19.9692,19.5638,0.16392,0.1635,323.3194333,63.788565,0.436667,,19.2913,0.1579,,False,False,False,bulk_1.0.0,0.0,5.58430004115015e+17,,ZTF18abfkxrz
ztf,58310.36899309978,556368994115015004,1,556368994115,20.815958,1,556,5.766495,19.835707,19.6363,0.12589808,0.1583,323.3194613,63.7884804,0.52666664,0.0,19.5869,0.1866,830120141.0,False,False,False,bulk_1.0.0,0.0,5.58430004115015e+17,,ZTF18abfkxrz
ztf,58310.40491899988,556404914115015001,2,556404914115,20.3461,1,556,4.79929,18.9884,19.0366,0.163836,0.1241,323.3188221,63.7884967,0.193333,,18.97,0.1494,,False,False,False,bulk_1.0.0,0.0,5.58430004115015e+17,,ZTF18abfkxrz
ztf,58311.36417819979,557364174115015003,1,557364174115,20.816677,1,557,5.7952237,19.722511,19.5218,0.12765138,0.1476,323.3194715,63.7885153,0.48,0.0,19.4924,0.1759,830120141.0,False,False,False,bulk_1.0.0,0.0,5.58430004115015e+17,,ZTF18abfkxrz
ztf,58312.373148099985,558373144115015013,1,558373144115,20.804525,1,558,5.744034,19.868717,19.5652,0.13598628,0.1554,323.3194347,63.7885359,0.47666666,0.0,19.3685,0.1591,830120141.0,False,False,False,bulk_1.0.0,0.0,5.58430004115015e+17,,ZTF18abfkxrz
ztf,58312.43000000017,558430004115015001,2,558430004115,20.624722,1,558,5.867229,19.366756,19.5891,0.13711226,0.2093,323.3194841,63.7885693,0.45,0.0,19.4459,0.2197,830120241.0,True,False,False,bulk_1.0.0,0.0,0.0,,ZTF18abfkxrz
ztf,58469.10042819986,715100424115015004,2,715100424115,20.206543,1,715,5.7754817,19.052885,19.0789,0.12500507,0.1629,323.3194512,63.7884957,0.35666665,0.0,19.0305,0.1925,830120241.0,False,False,False,bulk_1.0.0,0.0,7.15132444115015e+17,t8_f5_c3,ZTF18abfkxrz
ztf,58469.13244209997,715132444115015010,1,715132444115,19.957012,1,715,5.769485,19.723295,19.8624,0.19893685,0.3612,323.3194603,63.7884972,0.56,0.0,20.0313,0.5361,830120141.0,False,False,False,bulk_1.0.0,0.0,7.17135264115015e+17,t8_f5_c3,ZTF18abfkxrz
ztf,58471.135266200174,717135264115015016,2,717135264115,19.336403,1,717,5.8366957,19.198902,19.3844,0.15877444,0.3486,323.3194656,63.7885797,0.43,0.0,19.7893,0.6433,830120241.0,False,False,False,bulk_1.0.0,0.0,7.18101234115015e+17,t8_f5_c3,ZTF18abfkxrz
ztf,58472.10123840021,718101234115015005,2,718101234115,19.791208,1,718,5.890129,19.33518,19.3497,0.16524802,0.2553,323.3195174,63.7885347,0.41666666,0.0,19.5605,0.39,830120241.0,True,False,False,bulk_1.0.0,0.0,0.0,t8_f5_c3,ZTF18abfkxrz
ztf,58617.47289349977,863472894115015003,1,863472894115,20.670053,1,863,5.821409,19.960052,19.855,0.17827962,0.2061,323.3194978,63.7884881,0.24285714,0.0,19.7218,0.2273,830120141.0,False,False,False,bulk_1.0.0,0.0,8.64363834115015e+17,t15_f5_c3,ZTF18abfkxrz
ztf,58618.36383099994,864363834115015001,2,864363834115,20.03162,1,864,5.8925385,19.091093,19.1612,0.14468294,0.2121,323.3195204,63.7885353,0.2657143,0.0,19.2252,0.2797,830120241.0,True,False,False,bulk_1.0.0,0.0,0.0,t15_f5_c3,ZTF18abfkxrz
ztf,58677.27870369982,923278704115015001,2,923278704115,20.236681,1,923,5.7537804,19.257889,19.1788,0.1415011,0.1824,323.3194283,63.788526,0.76428574,0.705582,19.3369,0.2602,830120241.0,False,False,False,bulk_1.0.0,0.0,9.23453854115015e+17,t17_f5_c3,ZTF18abfkxrz
ztf,58677.453854199965,923453854115015002,1,923453854115,20.74773,1,923,5.86967,19.757126,20.2287,0.117026135,0.285,323.3195238,63.7885058,0.7385714,0.99694365,20.1543,0.3311,830120141.0,True,False,False,bulk_1.0.0,0.0,0.0,t17_f5_c3,ZTF18abfkxrz
ztf,58680.318726900034,926318724115015002,2,926318724115,19.9734,1,926,5.91234,19.8047,19.2964,0.224727,0.2362,323.3195006,63.7885908,0.364286,,19.6025,0.3945,,False,False,False,bulk_1.0.0,0.0,9.54490674115015e+17,t17_f5_c3,ZTF18abfkxrz
ztf,58708.44829860004,954448294115015003,1,954448294115,19.933859,1,954,5.8150964,19.77334,20.0667,0.19184655,0.4428,323.3194092,63.7886752,0.7385714,0.9974053,19.5493,0.3503,830120141.0,False,False,False,bulk_1.0.0,0.0,9.54490674115015e+17,t17_f5_c3,ZTF18abfkxrz
ztf,58708.49067129986,954490674115015001,2,954490674115,20.321129,1,954,5.82766,19.313969,19.4134,0.11461925,0.1848,323.3194724,63.7885358,0.5257143,0.34562966,19.5116,0.2535,830120241.0,False,False,False,bulk_1.0.0,0.0,9.57259574115015e+17,t17_f5_c3,ZTF18abfkxrz
ztf,58711.25957180001,957259574115015003,1,957259574115,19.811857,1,957,5.8572183,19.770473,20.0397,0.21058199,0.5475,323.3195093,63.7885223,0.57857144,0.81565297,19.5642,0.4514,830120141.0,False,False,False,bulk_1.0.0,0.0,9.57376554115015e+17,t17_f5_c3,ZTF18abfkxrz
ztf,58711.37655089982,957376554115015002,2,957376554115,19.814905,1,957,5.4878607,19.343899,19.2564,0.18216845,0.245,323.3192592,63.7885093,0.6571429,0.91601545,19.1442,0.2784,830120241.0,True,False,False,bulk_1.0.0,0.0,0.0,t17_f5_c3,ZTF18abfkxrz
ztf,58751.19008099986,997190084115015004,1,997190084115,20.467,1,997,6.0599,20.6585,21.0671,0.277207,0.7136,323.3196519,63.788478,0.447143,,20.7927,0.706,,False,False,False,bulk_1.0.0,0.0,1.000161264115015e+18,t17_f5_c3,ZTF18abfkxrz
