tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,60351.55709489994,2597557094115015007,2,2597557094115,19.724234,1,2597,0.3812568,18.286224,18.066294,18.269,0.08414909,0.06732888,0.068719044,0.0898,288.8033867,16.9717165,0.8528572,t17_f5_c3,0.99967396,18.0397,0.0947,1586120241,True,True,False,23.12.x,0.0,ZTF20abwajyj
ztf,60351.55755789997,2597557554115015008,2,2597557554115,19.68731,1,2597,0.25713247,18.242102,18.030128,18.3306,0.07887327,0.0635063,0.06488443,0.0975,288.8033845,16.9717509,0.8857143,t17_f5_c3,0.99999964,18.7795,0.1914,1586120241,True,True,False,23.12.x,0.0,ZTF20abwajyj
ztf,60351.558032399975,2597558034115015006,2,2597558034115,19.752884,1,2597,0.26557913,18.378838,18.141323,18.3357,0.09179265,0.07226964,0.07375677,0.0965,288.803353,16.9717464,0.83428574,t17_f5_c3,0.9999999,18.3581,0.1279,1586120241,True,True,False,23.12.x,0.0,ZTF20abwajyj
ztf,60352.555370400194,2598555374115015005,2,2598555374115,19.125608,1,2598,0.27922735,18.414967,18.170258,18.5618,0.16774927,0.1330408,0.13389887,0.119,288.8033099,16.9717509,0.46857142,t17_f5_c3,0.98738134,18.6743,0.1704,1586120241,True,True,False,23.12.x,0.0,ZTF20abwajyj
ztf,60352.55583330011,2598555834115015005,2,2598555834115,19.215588,1,2598,0.55917937,18.308163,18.084175,18.4238,0.14181785,0.11453134,0.115381494,0.1112,288.803434,16.9716821,0.60571426,t17_f5_c3,0.9991214,18.559,0.1625,1586120241,True,True,False,23.12.x,0.0,ZTF20abwajyj
ztf,60353.553391200025,2599553394115015011,2,2599553394115,20.219122,1,2599,0.26716623,18.321955,18.095383,18.2517,0.09125708,0.07270982,0.07406928,0.0676,288.8033707,16.9717453,0.87142855,t17_f5_c3,0.99998,18.2372,0.0876,1586120241,True,True,False,23.12.x,0.0,ZTF20abwajyj
ztf,60353.55386570003,2599553864115015009,2,2599553864115,20.08587,1,2599,0.33683398,18.329948,18.101868,18.1817,0.08278361,0.0655763,0.06709836,0.0689,288.8033841,16.9717304,0.8428571,t17_f5_c3,0.99999857,18.1085,0.0841,1586120241,True,True,False,23.12.x,0.0,ZTF20abwajyj
ztf,60353.55432870006,2599554324115015008,2,2599554324115,20.185493,1,2599,0.27268815,18.316532,18.09098,18.299,0.0718741,0.056671605,0.05839177,0.072,288.8033668,16.9717435,0.91,t17_f5_c3,0.9999999,18.4154,0.1049,1586120241,True,True,False,23.12.x,0.0,ZTF20abwajyj
ztf,60706.560057899915,2952560054115015009,2,2952560054115,19.623838,1,2952,0.29376212,17.821775,17.673445,17.8046,0.07335287,0.06326518,0.06398598,0.0639,288.8033857,16.9717433,0.8685714,t17_f5_c3,0.9999991,17.7709,0.0803,1586120241,True,True,False,26.0.1,0.0,ZTF20abwajyj
ztf,60706.5641667,2952564164115015008,2,2952564164115,19.398363,1,2952,0.30074915,17.864925,17.710989,17.7529,0.08535805,0.073408194,0.07407465,0.0696,288.8033719,16.971736,0.70714283,t17_f5_c3,1.0,17.9377,0.1066,1586120241,True,True,False,26.0.1,0.0,ZTF20abwajyj
