tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,parent_candid,oid
ztf,59354.418553200085,1600418556015015048,2,1600418556015,19.6107,1,1600,1.43965,17.8021,17.3267,0.103197,0.0417,267.5866688,-14.0694987,0.202857,t17_f5_c3,17.2613,0.0485,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF20abdsbtu
ztf,59358.3558565001,1604355856015015031,2,1604355856015,19.514027,1,1604,0.3406549,17.949944,17.7005,0.109507635,0.0764,267.587068,-14.0695004,0.5942857,t17_f5_c3,17.7118,0.0971,True,True,True,correction_0.0.1,0.0,16.751554,0.034022417,0.0363152,0.9825926,332120260.0,,ZTF20abdsbtu
ztf,59366.3787153,1612378716015015041,2,1612378716015,19.88827,1,1612,0.17975205,18.126036,18.3562,0.09894889,0.1025,267.5870477,-14.0694478,0.8,t17_f5_c3,18.3862,0.1306,True,True,True,correction_0.0.1,0.0,16.806845,0.026141234,0.029358538,0.9976765,332120260.0,,ZTF20abdsbtu
ztf,59370.37495370023,1616374956015015037,2,1616374956015,20.42921,1,1616,0.11733579,18.278814,18.3929,0.097384974,0.0793,267.5870373,-14.069417,0.72571427,t17_f5_c3,18.2704,0.0844,True,True,True,correction_0.0.1,0.0,16.849976,0.022110548,0.026118984,0.9998194,332120260.0,,ZTF20abdsbtu
ztf,59374.42150459997,1620421506015015048,2,1620421506015,18.679335,1,1620,0.19480363,18.121447,18.1231,0.17278078,0.2402,267.5870231,-14.0694248,0.72,t17_f5_c3,18.186,0.3225,True,True,True,correction_0.0.1,0.0,16.805481,0.04965506,0.051417284,0.999117,332120260.0,,ZTF20abdsbtu
ztf,59376.30907410011,1622309076015015039,2,1622309076015,20.349089,1,1622,0.7994017,18.029272,17.6698,0.110837206,0.0435,267.5868743,-14.0695193,0.27857143,t17_f5_c3,17.604,0.0487,True,True,True,correction_0.0.1,0.0,16.777224,0.032477442,0.034983743,0.04745504,332120260.0,,ZTF20abdsbtu
ztf,59378.31415509991,1624314156015015073,2,1624314156015,20.514105,1,1624,0.11927137,18.232674,18.2647,0.09939096,0.0681,267.5870527,-14.0694309,0.66571426,t17_f5_c3,18.3695,0.0892,True,True,True,correction_0.0.1,0.0,16.837406,0.023812324,0.027494129,0.9997672,332120260.0,,ZTF20abdsbtu
ztf,59487.12936339993,1733129366015015040,2,1733129366015,19.973476,1,1733,0.6793356,17.67502,17.3941,0.0898773,0.0397,267.5869387,-14.0695462,0.39571428,t17_f5_c3,17.2109,0.0419,True,True,True,correction_1.0.6,0.0,16.652464,0.03307259,0.0350451,0.33817077,332120260.0,,ZTF20abdsbtu
ztf,59774.29307870008,2020293076015015025,2,2020293076015,19.270618,1,2020,0.2489919,17.363556,17.2275,0.08635989,0.0629,267.5870449,-14.0694732,0.7271429,t17_f5_c3,17.1208,0.072,True,True,False,dev,0.0,16.520199,0.03836766,0.039716322,0.9998468,332120260.0,,ZTF20abdsbtu
ztf,59774.39342590002,2020393426015015028,2,2020393426015,18.663334,1,2020,0.2106999,17.32205,17.0294,0.083283044,0.0852,267.5870188,-14.0694281,0.7114286,t17_f5_c3,16.8612,0.093,True,True,False,dev,0.0,16.500914,0.03777099,0.03909324,0.9947679,332120260.0,,ZTF20abdsbtu
