tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,rbversion,oid
ztf,59251.56818290008,1497568184515015002,2,1497568184515,18.7681,1,1497,0.253122,16.5134,16.5434,0.07007,0.0332,288.5272361,13.5144488,0.698571,16.4933,0.0393,False,True,True,correction_0.0.1,0.0,,14.428007,100.0,0.010265384,,,t17_f5_c3,ZTF18aawtbst
ztf,59251.57055559987,1497570554515015002,2,1497570554515,18.3518,1,1497,0.680444,16.661,16.7076,0.107227,0.0475,288.5273329,13.5145777,0.562857,16.6336,0.0558,False,True,True,correction_0.0.1,0.0,,14.448416,100.0,0.013972391,,,t17_f5_c3,ZTF18aawtbst
ztf,59252.56446760008,1498564464515015009,2,1498564464515,19.9021,1,1498,0.502179,16.6311,16.5697,0.032308,0.0234,288.5272702,13.5143769,0.572857,16.5761,0.0278,False,True,True,correction_0.0.1,0.0,,14.444472,100.0,0.0043118065,,,t17_f5_c3,ZTF18aawtbst
ztf,59252.56446760008,1498564464515015010,2,1498564464515,19.9021,1,1498,0.941642,16.4921,16.7058,0.104569,0.0258,288.5273165,13.514255,0.578571,16.6638,0.0297,False,True,True,correction_0.0.1,0.0,,14.42486,100.0,0.015577837,,,t17_f5_c3,ZTF18aawtbst
ztf,59252.5692245001,1498569224515015004,2,1498569224515,19.2048,1,1498,0.632356,16.6969,16.6704,0.107669,0.0389,288.5272295,13.5143067,0.574286,16.6649,0.0482,False,True,True,correction_0.0.1,0.0,,14.453027,100.0,0.013631441,,,t17_f5_c3,ZTF18aawtbst
ztf,59253.56332179997,1499563324515015009,2,1499563324515,19.8457,1,1499,0.828695,16.5087,16.6285,0.15715,0.0247,288.5273173,13.5142938,0.608571,16.5851,0.0283,False,True,True,correction_0.0.1,0.0,,14.427317,0.016472328,0.023107952,,,t17_f5_c3,ZTF18aawtbst
ztf,59253.568171299994,1499568174515015006,2,1499568174515,19.1617,1,1499,0.498595,16.5855,16.5211,0.111606,0.0314,288.5272823,13.5143867,0.682857,16.515,0.0385,False,True,True,correction_0.0.1,0.0,,14.438275,100.0,0.015445335,,,t17_f5_c3,ZTF18aawtbst
ztf,59253.57060190011,1499570604515015005,2,1499570604515,19.0335,1,1499,1.33968,16.7076,16.7397,0.084231,0.0453,288.5274167,13.5141843,0.37,16.6458,0.0522,False,True,True,correction_0.0.1,0.0,,14.454376,100.0,0.010572616,,,t17_f5_c3,ZTF18aawtbst
ztf,59253.57060190011,1499570604515015006,2,1499570604515,19.0335,1,1499,0.54566,16.7088,16.6363,0.050302,0.0415,288.5273111,13.5144053,0.714286,16.6164,0.0509,False,True,True,correction_0.0.1,0.0,,14.454527,100.0,0.0063077733,,,t17_f5_c3,ZTF18aawtbst
ztf,59254.562604200095,1500562604515015005,2,1500562604515,17.9155,1,1500,0.292542,16.3645,16.328,0.09386,0.0595,288.5272434,13.5145102,0.68,16.2676,0.0703,False,True,True,correction_0.0.1,0.0,,14.404875,100.0,0.015439397,,,t17_f5_c3,ZTF18aawtbst
ztf,59254.56503470009,1500565034515015037,2,1500565034515,18.2428,1,1500,0.339465,17.2983,17.6015,0.13687,0.1732,288.5272649,13.5144622,0.424286,17.385,0.179,False,True,True,correction_0.0.1,0.0,,14.513122,100.0,0.010525362,,,t17_f5_c3,ZTF18aawtbst
ztf,59254.56988430023,1500569884515015103,2,1500569884515,17.4689,1,1500,0.10076,15.8271,15.8325,0.050836,0.0642,288.5271945,13.5144843,0.541429,15.7963,0.0791,False,True,True,correction_0.0.1,0.0,,14.296126,100.0,0.012410294,,,t17_f5_c3,ZTF18aawtbst
ztf,59255.55203700019,1501552033215015005,2,1501552033215,19.9363,1,1501,0.800476,16.5237,16.9287,0.078297,0.0271,288.5272961,13.5142642,0.372857,16.7888,0.0287,False,True,True,correction_0.0.1,0.0,,14.484818,100.0,0.011972706,,,t17_f5_c3,ZTF18aawtbst
ztf,59255.55203700019,1501552033215015007,2,1501552033215,19.9363,1,1501,0.611972,16.5683,16.4781,0.02806,0.0193,288.5273266,13.514362,0.771429,16.4536,0.022,False,True,True,correction_0.0.1,0.0,,14.491521,100.0,0.0041435827,,,t17_f5_c3,ZTF18aawtbst
ztf,59255.5612269002,1501561223215015004,2,1501561223215,20.0067,1,1501,0.636326,16.6311,17.0262,0.07323,0.03,288.5273293,13.5143592,0.725714,16.7072,0.0274,False,True,True,correction_0.0.1,0.0,,14.500569,100.0,0.010291455,,,t17_f5_c3,ZTF18aawtbst
