tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59977.481909700204,2223481902515015000,1,2223481902515,19.908875,1,2223,1.4448255,17.329672,17.2185,0.043388482,0.0312,179.9776041,26.0689228,0.94142854,t17_f5_c3,0.9651617,17.194,0.0384,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,59980.409374999814,2226409372515015000,1,2226409372515,19.557,1,2226,1.5208938,17.049635,17.0235,0.045968127,0.0425,179.9775821,26.0689132,0.93857145,t17_f5_c3,0.38594508,17.0372,0.0549,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,59984.41674769996,2230416742515015000,1,2230416742515,19.47759,1,2230,1.3927602,16.808762,16.7413,0.039112337,0.0276,179.9776173,26.0689313,0.92714286,t17_f5_c3,0.9951285,16.7368,0.0348,624120125,True,True,True,1.1.6,0.0,16.746487,0.036410064,0.036932077,ZTF23aabplmy
ztf,59994.41079859994,2240410792515015000,1,2240410792515,20.545015,1,2240,1.4400368,16.82115,16.7181,0.030465553,0.0132,179.9776196,26.0689088,0.7757143,t17_f5_c3,0.9267625,16.7147,0.0157,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,60020.22040509991,2266220402515015000,1,2266220402515,20.435822,1,2266,1.4453088,17.371721,17.3099,0.036570266,0.0219,179.9776212,26.0689051,0.9242857,t17_f5_c3,1.0,17.2894,0.0264,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,60030.457812500186,2276457812515015000,1,2276457812515,20.198849,1,2276,1.4154826,17.576267,17.5032,0.045341387,0.0309,179.9776127,26.0689263,0.95714283,t17_f5_c3,0.98472667,17.469,0.0374,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,60036.33677079994,2282336772515015000,1,2282336772515,19.617348,1,2282,1.4923979,17.689999,17.6352,0.05572829,0.0625,179.9775816,26.0689267,0.9514286,t17_f5_c3,0.9853686,17.637,0.0798,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,60043.32706019981,2289327062515015000,1,2289327062515,19.780977,1,2289,1.4959764,17.744894,17.8383,0.042406093,0.0673,179.9775935,26.0689118,0.9628571,t17_f5_c3,0.9422967,17.9658,0.0962,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,60051.31949070003,2297319492515015000,1,2297319492515,20.830395,1,2297,1.4011687,17.912638,17.791,0.049515992,0.0276,179.9776221,26.0689227,0.9285714,t17_f5_c3,1.0,17.7819,0.0334,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,60053.29548610002,2299295482515015000,1,2299295482515,20.238453,1,2299,1.4220469,17.92221,17.836,0.059307523,0.0334,179.9776296,26.0689079,0.81285715,t17_f5_c3,0.99652684,17.7858,0.0396,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,60055.32057869993,2301320572515015000,1,2301320572515,20.512508,1,2301,1.4600459,17.987871,17.8895,0.0527703,0.0366,179.9775993,26.0689214,0.95,t17_f5_c3,0.9894633,17.8789,0.0451,624120125,True,False,False,1.1.6,0.0,,,,ZTF23aabplmy
ztf,60073.25789349992,2319257892515015000,1,2319257892515,20.470943,1,2319,1.4249017,18.20402,18.0133,0.057393003,0.0426,179.9776234,26.0689114,0.89285713,t17_f5_c3,0.9343991,17.9911,0.0522,624120125,True,False,False,1.2.0,0.0,,,,ZTF23aabplmy
ztf,60077.25587960007,2323255872515015000,1,2323255872515,20.694475,1,2323,1.41407,18.221521,18.1262,0.0539795,0.0421,179.9776256,26.0689138,0.95285714,t17_f5_c3,0.999935,18.0747,0.0499,624120125,True,False,False,1.2.0,0.0,,,,ZTF23aabplmy
ztf,60086.2423843001,2332242380215015017,1,2332242380215,20.63161,1,2332,1.646932,18.29074,18.286,0.041434985,0.0517,179.9776551,26.0689293,0.95714283,t17_f5_c3,0.99999976,18.2856,0.0643,1001668130102,True,False,False,1.2.0,0.0,,,,ZTF23aabplmy
ztf,60103.187673599925,2349187672515015000,1,2349187672515,20.603453,1,2349,1.4039739,18.367643,18.2242,0.051224798,0.0497,179.9776199,26.0689238,0.9514286,t17_f5_c3,0.9999981,18.1839,0.06,624120125,True,False,False,1.2.0,0.0,,,,ZTF23aabplmy
ztf,60105.22135420004,2351221352515015000,1,2351221352515,20.70856,1,2351,1.4011226,18.374811,18.2156,0.058215033,0.0455,179.977618,26.068927,0.95428574,t17_f5_c3,0.9999999,18.2308,0.0574,624120125,True,False,False,1.2.0,0.0,,,,ZTF23aabplmy
