tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,drb,rfid,oid
ztf,58292.315497700125,538315494015015059,2,538315494015,20.2286,1,538,0.280371,20.5214,19.088472,20.936,0.309078,0.078964174,0.08258412,0.789,276.5912574,-1.3519065,0.47,20.923,1.0007,False,True,False,bulk_1.0.0,0.0,5.533583140150151e+17,,,,ZTF18abfajmx
ztf,58303.33473380003,549334734015015093,2,549334734015,20.3511,1,549,0.23972,20.2732,19.016407,20.0443,0.220783,0.06558813,0.06938227,0.3022,276.5912559,-1.3518635,0.543333,20.1176,0.4144,False,True,False,bulk_1.0.0,0.0,5.7633362401501504e+17,t8_f5_c3,,,ZTF18abfajmx
ztf,58305.3562384001,551356234015015064,2,551356234015,20.0322,1,551,0.286396,20.008,18.925886,19.8425,0.305363,0.110772766,0.11271226,0.2568,276.5911075,-1.3518646,0.46,19.8052,0.3178,False,True,False,bulk_1.0.0,0.0,5.7633362401501504e+17,t8_f5_c3,,,ZTF18abfajmx
ztf,58306.35622690013,552356224015015059,2,552356224015,20.34285,1,552,0.09643303,19.61626,18.764393,20.0066,0.17562965,0.07810603,0.0801403,0.2989,276.5911636,-1.351882,0.64666665,19.9056,0.3491,False,True,False,bulk_1.0.0,0.0,5.7633362401501504e+17,,0.0,435120240.0,ZTF18abfajmx
ztf,58307.35831019981,553358314015015086,2,553358314015,20.55781,1,553,0.05398297,19.991554,18.919786,19.9907,0.20747799,0.0744919,0.077315256,0.2602,276.5912009,-1.35187,0.56666666,20.0762,0.3599,False,True,False,bulk_1.0.0,0.0,5.7633362401501504e+17,,0.0,435120240.0,ZTF18abfajmx
ztf,58318.33766200021,564337664015015114,2,564337664015,20.61693,1,564,0.037590183,19.552332,18.734755,19.7836,0.10825289,0.047898382,0.05098104,0.1912,276.5911806,-1.3518749,0.7133333,19.6217,0.2107,False,True,False,bulk_1.0.0,0.0,5.7633362401501504e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58319.27189810015,565271894015015087,2,565271894015,20.403908,1,565,0.054467954,19.573166,18.744516,19.6409,0.18324699,0.08358724,0.08542346,0.2058,276.5911752,-1.3518643,0.63666666,19.7465,0.2903,False,True,False,bulk_1.0.0,0.0,5.7633362401501504e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58320.27284719981,566272844015015054,2,566272844015,20.34674,1,566,0.09558449,19.46265,18.691595,19.8038,0.113677,0.05330082,0.055879284,0.2667,276.5911648,-1.3518783,0.74333334,19.7512,0.326,False,True,False,bulk_1.0.0,0.0,5.7633362401501504e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58321.274120400194,567274124015015063,2,567274124015,20.162262,1,567,0.22099516,19.327229,18.622917,19.262,0.117992446,0.059633043,0.061677888,0.1972,276.5911511,-1.3519179,0.68666667,19.3061,0.263,False,True,False,bulk_1.0.0,0.0,5.7633362401501504e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58330.33362270007,576333624015015024,2,576333624015,19.656406,1,576,0.18408728,19.156336,18.530243,18.8127,0.14588678,0.08066962,0.0819556,0.1757,276.5911448,-1.3518927,0.5966667,18.8811,0.24,False,True,False,bulk_1.0.0,0.0,5.91322104015015e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58334.33968750015,580339684015015049,2,580339684015,20.267962,1,580,0.08246486,18.923853,18.393578,18.941,0.1011274,0.060728155,0.062052373,0.1226,276.5911678,-1.3518804,0.77666664,18.8589,0.1452,False,True,False,bulk_1.0.0,0.0,6.081682940150152e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58336.227534700185,582227534015015149,2,582227534015,20.672703,1,582,0.012440436,18.885813,18.370077,18.9175,0.08459383,0.051105868,0.05260713,0.0842,276.5911848,-1.3518693,0.79,18.899,0.1053,False,True,False,bulk_1.0.0,0.0,6.111706240150152e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58338.19127310021,584191274015015035,2,584191274015,20.648685,1,584,0.040750664,18.776705,18.300947,18.9084,0.079531066,0.04996017,0.05131376,0.0829,276.5911855,-1.3518559,0.88,18.8669,0.1015,False,True,False,bulk_1.0.0,0.0,6.111706240150152e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58340.17365740007,586173654015015050,2,586173654015,20.289894,1,586,0.11532623,18.649837,18.217415,18.6352,0.07427707,0.048682816,0.04987534,0.0914,276.5912053,-1.3518946,0.8833333,18.4989,0.1028,False,True,False,bulk_1.0.0,0.0,6.111706240150152e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58343.32145830011,589321454015015055,2,589321454015,20.327183,1,589,0.13018923,18.536585,18.140081,18.6183,0.07580241,0.051633857,0.052611627,0.0829,276.5911687,-1.3518972,0.81666666,18.5882,0.1027,False,True,False,bulk_1.0.0,0.0,6.111706240150152e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58344.17065969994,590170654015015057,2,590170654015,20.680868,1,590,0.1301364,18.366526,18.019281,18.4054,0.079967186,0.057371553,0.05807829,0.0527,276.5912137,-1.3518934,0.82666665,18.3354,0.0624,False,True,False,bulk_1.0.0,0.0,6.111706240150152e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58345.322106500156,591322104015015079,2,591322104015,20.223576,1,591,0.08138868,18.35703,18.012377,18.3404,0.084253326,0.060677134,0.061337397,0.0676,276.5912087,-1.3518738,0.86333334,18.3392,0.0858,False,True,False,bulk_1.0.0,0.0,6.111706240150152e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
ztf,58353.30636569997,599306364015015021,2,599306364015,19.553522,1,599,0.11019002,17.73019,17.523462,17.6388,0.06271511,0.051525246,0.051841922,0.0712,276.5911709,-1.3518941,0.88,17.566,0.0852,False,True,False,bulk_1.0.0,0.0,6.111706240150152e+17,t8_f5_c3,0.0,435120240.0,ZTF18abfajmx
