tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion,oid
ztf,58305.30903939996,551309032915015088,1,551309032915,20.7172,1,551,3.22137,21.1026,21.1173,0.363186,0.4838,263.8092257,54.2468224,0.256667,21.3279,0.7516,False,False,False,bulk_1.0.0,0.0,560196062915015017,,,,ZTF18abfhaji
ztf,58308.22045140015,554220452915015073,1,554220452915,20.862045,1,554,3.2910223,20.142004,19.7677,0.1623489,0.1421,263.8092357,54.2468766,0.31,19.7238,0.1734,False,False,False,bulk_1.0.0,0.0,584196182915015071,0.0,797120129.0,,ZTF18abfhaji
ztf,58311.220335599966,557220331615015025,2,557220331615,19.991207,1,557,2.1554415,19.847404,19.7499,0.20310625,0.2264,263.8092775,54.2468072,0.27333334,19.7332,0.2852,False,False,False,bulk_1.0.0,0.0,573202431615015019,0.0,796120216.0,,ZTF18abfhaji
ztf,58311.390474500135,557390472915015023,2,557390472915,20.325705,1,557,2.4079735,19.58626,20.0,0.20408788,0.3098,263.8092871,54.2469049,0.44666666,19.9969,0.3955,False,False,False,bulk_1.0.0,0.0,584196182915015071,0.0,797120229.0,,ZTF18abfhaji
ztf,58314.196064800024,560196062915015017,2,560196062915,20.372393,1,560,2.5244834,19.259567,19.1949,0.14414112,0.1327,263.8092562,54.24693,0.5566667,19.2566,0.179,False,False,False,bulk_1.0.0,0.0,584196182915015071,0.0,797120229.0,,ZTF18abfhaji
ztf,58314.198379599955,560198371615015026,2,560198371615,20.460611,1,560,2.5470083,19.189812,19.2546,0.09524087,0.1315,263.8092309,54.2469248,0.56333333,19.2063,0.1603,False,False,False,bulk_1.0.0,0.0,573202431615015019,0.0,796120216.0,,ZTF18abfhaji
ztf,58314.32268519979,560322681615015053,1,560322681615,20.669397,1,560,2.8778021,19.072178,19.1531,0.12254913,0.0946,263.8093004,54.2469036,0.47666666,19.1785,0.1225,False,False,False,bulk_1.0.0,0.0,573202431615015019,0.0,796120116.0,,ZTF18abfhaji
ztf,58317.366793999914,563366792915015079,1,563366792915,20.53428,1,563,3.238524,18.751083,18.7173,0.09320124,0.0759,263.8093065,54.2469135,0.5733333,18.7033,0.0947,False,False,False,bulk_1.0.0,0.0,584196182915015071,0.0,797120129.0,,ZTF18abfhaji
ztf,58318.38910879986,564389101615015036,1,564389101615,20.598797,1,564,2.8910756,18.73894,18.6965,0.11634706,0.0612,263.8092528,54.2468859,0.34,18.6876,0.0765,False,False,False,bulk_1.0.0,0.0,573202431615015019,0.0,796120116.0,t8_f5_c3,ZTF18abfhaji
ztf,58320.20296300016,566202962915015075,1,566202962915,20.46726,1,566,3.3461838,18.753384,18.6515,0.07820961,0.0771,263.8092629,54.2469312,0.44,18.6719,0.0997,False,False,False,bulk_1.0.0,0.0,584196182915015071,0.0,797120129.0,t8_f5_c3,ZTF18abfhaji
ztf,58321.24619209999,567246191615015018,2,567246191615,20.266344,1,567,2.5438478,18.827623,18.687,0.1041624,0.0949,263.8092728,54.24692,0.44,18.618,0.1137,False,False,False,bulk_1.0.0,0.0,573202431615015019,0.0,796120216.0,t8_f5_c3,ZTF18abfhaji
ztf,58321.39013889991,567390131615015072,1,567390131615,20.678116,1,567,2.8905702,18.713724,18.6818,0.08901409,0.0623,263.8093165,54.2469156,0.52,18.6392,0.0755,False,False,False,bulk_1.0.0,0.0,573202431615015019,0.0,796120116.0,t8_f5_c3,ZTF18abfhaji
ztf,58323.39281249978,569392812915015019,1,569392812915,19.972446,1,569,3.2493408,18.710464,18.7253,0.10865376,0.1244,263.8092977,54.2469136,0.5133333,18.7814,0.1674,False,False,False,bulk_1.0.0,0.0,584196182915015071,0.0,797120129.0,t8_f5_c3,ZTF18abfhaji
ztf,58326.182175899856,572182172915025023,1,572182172915,19.7819,1,572,3.26341,18.8981,18.8624,0.118282,0.1771,263.8093012,54.2469196,0.456667,19.0446,0.2683,False,False,False,bulk_1.0.0,0.0,584196182915015071,,,t8_f5_c3,ZTF18abfhaji
ztf,58326.28528939979,572285282915015014,2,572285282915,19.80283,1,572,2.4389818,18.98993,19.0165,0.12983058,0.2067,263.8092505,54.2468987,0.49,19.118,0.2907,False,False,False,bulk_1.0.0,0.0,584196182915015071,0.0,797120229.0,t8_f5_c3,ZTF18abfhaji
ztf,58327.202430599835,573202431615015019,1,573202431615,19.64107,1,573,2.9640021,18.870228,19.0469,0.15482208,0.2388,263.8092605,54.2469172,0.33,19.1696,0.3428,False,False,False,bulk_1.0.0,0.0,579176071615015068,0.0,796120116.0,t8_f5_c3,ZTF18abfhaji
ztf,58327.30559029989,573305591615015011,2,573305591615,19.461483,1,573,2.4977775,18.94995,18.6846,0.10962108,0.1822,263.8092188,54.246914,0.34666666,18.6444,0.2253,False,False,False,bulk_1.0.0,0.0,579176071615015068,0.0,796120216.0,t8_f5_c3,ZTF18abfhaji
ztf,58329.183854199946,575183852915015031,1,575183852915,20.42921,1,575,3.3208075,19.057503,19.0785,0.10624764,0.1121,263.8092623,54.2469187,0.6066667,19.2753,0.1707,False,False,False,bulk_1.0.0,0.0,584196182915015071,0.0,797120129.0,t8_f5_c3,ZTF18abfhaji
ztf,58330.17750000022,576177491615015053,1,576177491615,20.642313,1,576,3.0021408,19.119259,19.1554,0.1423238,0.0955,263.8092312,54.2469209,0.44,19.3107,0.1394,False,False,False,bulk_1.0.0,0.0,579176071615015068,0.0,796120116.0,t8_f5_c3,ZTF18abfhaji
ztf,58330.36909720022,576369091615015008,2,576369091615,19.767052,1,576,2.5028067,19.04991,19.5955,0.1031428,0.335,263.8093289,54.2469006,0.54,19.6491,0.4514,False,False,False,bulk_1.0.0,0.0,579176071615015068,0.0,796120216.0,t8_f5_c3,ZTF18abfhaji
ztf,58332.20362270018,578203622915015095,1,578203622915,20.893831,1,578,3.2491553,19.30823,19.2512,0.11007162,0.0879,263.8092825,54.2468988,0.44,19.2267,0.1088,False,False,False,bulk_1.0.0,0.0,584196182915015071,0.0,797120129.0,t8_f5_c3,ZTF18abfhaji
ztf,58333.176076400094,579176071615015068,1,579176071615,20.670889,1,579,2.9701152,19.278566,19.3164,0.12737319,0.1037,263.8092277,54.2469028,0.44333333,19.3523,0.1359,False,False,False,bulk_1.0.0,0.0,582216341615015043,0.0,796120116.0,t8_f5_c3,ZTF18abfhaji
ztf,58333.32783559989,579327831615015015,2,579327831615,20.100977,1,579,2.4561832,19.224476,19.1861,0.10090731,0.1597,263.8092497,54.2468975,0.45333335,19.0519,0.1806,False,False,False,bulk_1.0.0,0.0,582216341615015043,0.0,796120216.0,t8_f5_c3,ZTF18abfhaji
ztf,58336.21634260006,582216341615015043,2,582216341615,20.738855,1,582,2.4839683,19.488384,19.4059,0.11114451,0.1199,263.8092609,54.2469058,0.47333333,19.2938,0.1377,False,False,False,bulk_1.0.0,0.0,611138091615015054,0.0,796120216.0,t8_f5_c3,ZTF18abfhaji
ztf,58338.19618060021,584196182915015071,2,584196182915,20.710331,1,584,2.4466057,19.515865,19.524,0.11959388,0.1443,263.8092831,54.2469208,0.53,19.7437,0.2247,False,False,False,bulk_1.0.0,0.0,589177002915015081,0.0,797120229.0,t8_f5_c3,ZTF18abfhaji
ztf,58340.17862269981,586178621615015026,2,586178621615,20.188366,1,586,2.3859081,19.631407,19.5989,0.13994281,0.2275,263.8093066,54.2468698,0.58666664,19.8195,0.3564,False,False,False,bulk_1.0.0,0.0,611138091615015054,0.0,796120216.0,t8_f5_c3,ZTF18abfhaji
ztf,58340.32894679997,586328941615015051,1,586328941615,19.8335,1,586,2.61825,19.8956,19.8155,0.347434,0.3581,263.8093157,54.2468128,0.47,19.807,0.455,False,False,False,bulk_1.0.0,0.0,611138091615015054,,,t12_f5_c3,ZTF18abfhaji
ztf,58343.15725689987,589157251615015066,2,589157251615,20.586376,1,589,2.5241475,19.582062,19.8498,0.118011445,0.2156,263.8092411,54.2469169,0.46666667,19.7389,0.249,False,False,False,bulk_1.0.0,0.0,611138091615015054,0.0,796120216.0,t8_f5_c3,ZTF18abfhaji
ztf,58343.17700230004,589177002915015081,1,589177002915,20.81919,1,589,3.246059,20.322912,20.338,0.21338233,0.2359,263.8092897,54.2469031,0.55,20.1998,0.2654,False,False,False,bulk_1.0.0,0.0,589329792915015031,0.0,797120129.0,t8_f5_c3,ZTF18abfhaji
ztf,58343.17791670002,589177911615015060,1,589177911615,20.7528,1,589,2.8662,20.2394,20.5022,0.22537,0.2823,263.8091925,54.2468428,0.563333,20.8901,0.5144,False,False,False,bulk_1.0.0,0.0,611138091615015054,,,t12_f5_c3,ZTF18abfhaji
