tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,60878.496157399844,3124496151515015014,2,3124496151515,18.891617,1,3124,0.5217522,13.792799,12.331598,14.0076,0.048063513,0.00950554,0.012512246,0.0055,70.0409799,11.7211504,0.57,t17_f5_c3,0.44602224,14.0013,0.0062,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60878.50065970002,3124500651515015024,2,3124500651515,18.365416,1,3124,0.40485406,13.76932,12.325437,13.9554,0.037204187,0.005602786,0.00984099,0.0067,70.041024,11.7211533,0.54285717,t17_f5_c3,0.8501276,13.9575,0.008,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60879.48285879986,3125482851515015011,2,3125482851515,19.366339,1,3125,0.74013805,13.924823,12.364452,14.0733,0.03470229,100.0,0.008245367,0.0049,70.0409473,11.7210941,0.64285713,t17_f5_c3,0.8076967,14.0673,0.0052,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60879.4847916998,3125484795615015005,2,3125484795615,19.300894,1,3125,0.9058228,13.983197,12.343138,14.0289,0.04148011,100.0,0.009158327,0.0047,70.0409967,11.7210279,0.58,t17_f5_c3,0.8982158,14.0162,0.005,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60879.4852661998,3125485265615015012,2,3125485265615,19.31835,1,3125,0.56106657,13.963349,12.338724,14.0478,0.037402064,100.0,0.008376172,0.0047,70.0410032,11.7211433,0.6642857,t17_f5_c3,0.8628503,14.0333,0.005,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60879.4871991002,3125487191515015007,2,3125487191515,19.134455,1,3125,0.63052887,13.974321,12.376011,14.0244,0.05184893,0.008347435,0.011896399,0.0048,70.0410233,11.7210799,0.4557143,t17_f5_c3,0.8185993,14.0137,0.0051,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60879.489143500105,3125489145615015009,2,3125489145615,19.141935,1,3125,0.73377997,14.006674,12.348278,14.0482,0.030821612,100.0,0.0066910908,0.0049,70.0409505,11.7211293,0.67,t17_f5_c3,0.7355895,14.0326,0.0053,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60879.49107640004,3125491071515015002,2,3125491071515,19.074615,1,3125,0.6672759,13.882835,12.354328,13.9697,0.034813587,0.001878141,0.00851816,0.0049,70.0409313,11.7211478,0.57,t17_f5_c3,0.9462862,13.9621,0.0053,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60880.482523099985,3126482525615015004,2,3126482525615,19.840786,1,3126,0.68810666,13.924932,12.330002,14.0273,0.063844964,0.009087404,0.014694499,0.0045,70.0409386,11.7211746,0.60571426,t17_f5_c3,0.3385034,14.023,0.0047,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60880.48446760001,3126484461515015014,2,3126484461515,19.781128,1,3126,0.52990437,13.83165,12.341579,14.0099,0.07318588,0.016636122,0.018552357,0.0045,70.041027,11.7211098,0.5657143,t17_f5_c3,0.63424057,14.0083,0.0048,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60880.48640049994,3126486405615015003,2,3126486405615,19.670366,1,3126,0.7100145,13.963414,12.338738,14.0086,0.05281296,0.0020891035,0.011826886,0.0045,70.0410199,11.7210783,0.61714286,t17_f5_c3,0.9615836,14.0011,0.0047,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60880.488344899844,3126488341515015003,2,3126488341515,19.58386,1,3126,0.5866513,13.86511,12.349964,14.0593,0.050298348,0.009314309,0.012459347,0.0049,70.0409702,11.7211306,0.5328571,t17_f5_c3,0.35164085,14.0541,0.0052,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60880.49027779978,3126490275615015002,2,3126490275615,19.444221,1,3126,0.77198654,13.960676,12.338125,14.0587,0.06429343,0.008529476,0.014426008,0.0049,70.0409901,11.7210768,0.61285716,t17_f5_c3,0.9143238,14.0545,0.0053,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60880.49221060006,3126492211515015011,2,3126492211515,19.427267,1,3126,0.6520289,13.889631,12.355987,14.0711,0.05349834,0.010024452,0.013028144,0.0051,70.0409837,11.7210959,0.5,t17_f5_c3,0.37576747,14.0716,0.0056,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60881.482476899866,3127482475615015002,2,3127482475615,19.929829,1,3127,0.77288526,14.001925,12.347245,14.0756,0.06709043,0.00871419,0.014614651,0.0046,70.0409054,11.7211951,0.6028572,t17_f5_c3,0.6631211,14.0705,0.0048,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60881.48440970015,3127484401515015008,2,3127484401515,19.754566,1,3127,0.594635,13.950484,12.370495,14.057,0.03839716,0.0030268,0.008959904,0.0047,70.0410218,11.7210915,0.5914286,t17_f5_c3,0.7220218,14.0532,0.0049,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60881.48635420017,3127486355615015003,2,3127486355615,19.831781,1,3127,0.71708477,13.935342,12.332389,14.069,0.08864129,0.016618785,0.020251395,0.0046,70.0409539,11.721133,0.5328571,t17_f5_c3,0.45649534,14.0624,0.0048,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60881.488286999986,3127488281515015016,2,3127488281515,19.626148,1,3127,0.6223028,13.879568,12.353528,14.111,0.055613544,0.010820205,0.013638431,0.005,70.0410504,11.7210728,0.49714285,t17_f5_c3,0.34281313,14.1062,0.0053,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60881.49023150001,3127490235615015001,2,3127490235615,19.637829,1,3127,0.63222736,14.012263,12.349488,14.0887,0.072321415,0.010310136,0.015637131,0.0048,70.0409911,11.7211269,0.5642857,t17_f5_c3,0.6115925,14.0841,0.0052,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60881.49217589991,3127492171515015010,2,3127492171515,19.463043,1,3127,0.66334164,13.950422,12.370481,14.1473,0.051879045,0.008686116,0.0121064065,0.0054,70.0409921,11.7210886,0.5871429,t17_f5_c3,0.23487818,14.1391,0.0058,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60884.48283560015,3130482835615015004,2,3130482835615,19.781185,1,3130,0.9056841,14.267318,12.399784,14.3811,0.085960716,0.00923394,0.015391703,0.0058,70.0409603,11.7210511,0.53,t17_f5_c3,0.20049617,14.3765,0.0061,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60884.484768500086,3130484761515015013,2,3130484761515,19.828644,1,3130,0.9007563,14.399974,12.459969,14.4794,0.0732397,0.008162253,0.012267171,0.0064,70.0408754,11.7211112,0.55714285,t17_f5_c3,0.04107806,14.4806,0.0067,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60884.486226900015,3130486225615015001,2,3130486225615,20.02416,1,3130,0.79986477,14.341355,12.412676,14.4782,0.062440444,100.0,0.010568031,0.0061,70.0409273,11.7211278,0.41857144,t17_f5_c3,0.48763627,14.4719,0.0064,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60884.48815969983,3130488151515015012,2,3130488151515,19.909954,1,3130,0.59159875,14.097843,12.403135,14.4835,0.10040202,0.019204626,0.02107945,0.0065,70.0409932,11.7211102,0.39142856,t17_f5_c3,0.10317534,14.483,0.0068,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60884.48960650014,3130489605615015004,2,3130489605615,19.964191,1,3130,0.7855246,14.318093,12.408703,14.5149,0.06588564,100.0,0.011351016,0.0064,70.0409513,11.7211053,0.40714285,t17_f5_c3,0.4584493,14.5119,0.0067,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60884.49248840008,3130492481515015005,2,3130492481515,19.77632,1,3130,0.6790024,14.313714,12.445034,14.673,0.08120682,0.011375167,0.01452515,0.0076,70.0409692,11.7210976,0.42571428,t17_f5_c3,0.16870314,14.6782,0.0082,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60885.483923600055,3131483921515015005,2,3131483921515,19.801987,1,3131,1.2514006,14.496294,12.475517,14.6172,0.10124754,0.012709393,0.015742505,0.0072,70.0408245,11.7210124,0.39142856,t17_f5_c3,0.01852983,14.6147,0.0075,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60885.48783560004,3131487831515015018,2,3131487831515,19.970873,1,3131,0.64575434,14.630801,12.495368,14.6814,0.010609666,100.0,0.0014843232,0.0075,70.04098,11.7211011,0.46285716,t17_f5_c3,0.00784945,14.68,0.0079,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60885.491782399826,3131491781515015018,2,3131491781515,19.709454,1,3131,0.53414977,14.324244,12.44691,14.6963,0.083732374,0.011785242,0.014857991,0.0077,70.0409994,11.7211268,0.49,t17_f5_c3,0.11604464,14.6927,0.0082,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60888.48943290021,3134489431515015025,2,3134489431515,20.013832,1,3134,0.6596342,14.731947,12.508965,14.812,0.011317742,100.0,0.0014607193,0.0082,70.0409542,11.7211188,0.4642857,t17_f5_c3,0.06879825,14.8127,0.0086,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
