tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,oid
ztf,58632.4214583002,878421452615015001,1,878421452615,20.69473,1,878,1.3188254,18.54525,18.5463,0.07728858,0.0651,269.3917433,10.7091854,0.6514286,t17_f5_c3,18.5351,0.0773,True,True,True,bulk_1.0.0,0.0,0.0,16.351557,100.0,0.010247977,0.0,537120126.0,ZTF19aadyxsh
ztf,58888.518344900105,1134518342615015000,2,1134518342615,18.429478,1,1134,0.88787687,14.949601,15.0318,0.024114078,0.0108,269.3916084,10.709076,0.6742857,t17_f5_c3,14.9789,0.0126,False,True,False,bulk_1.0.0,0.0,1.158486202615015e+18,13.465533,100.0,0.006146723,0.8476237,537120226.0,ZTF19aadyxsh
ztf,58895.50956019992,1141509562615015001,2,1141509562615,19.5389,1,1141,0.700339,15.1946,15.3044,0.06778,0.0099,269.3915276,10.7090421,0.617143,t17_f5_c3,15.2599,0.0111,False,True,False,bulk_1.0.0,0.0,1.158486202615015e+18,13.52293,0.0033688445,0.014535624,,,ZTF19aadyxsh
ztf,58895.50956019992,1141509562615015002,2,1141509562615,19.5389,1,1141,0.461734,15.0532,15.0935,0.010857,0.0087,269.3915006,10.709141,0.858571,t17_f5_c3,15.0829,0.0099,False,True,False,bulk_1.0.0,0.0,1.158486202615015e+18,13.491017,100.0,0.002575353,,,ZTF19aadyxsh
ztf,58900.50401620008,1146504012615015000,2,1146504012615,18.8898,1,1146,0.936018,15.2681,15.255,0.076991,0.0174,269.3915945,10.709018,0.59,t17_f5_c3,15.234,0.0205,False,True,False,bulk_1.0.0,0.0,1.158486202615015e+18,13.538279,0.0062650377,0.0156499,,,ZTF19aadyxsh
ztf,58900.50401620008,1146504012615015001,2,1146504012615,18.8898,1,1146,0.551803,15.1112,15.146,0.018824,0.0163,269.3915101,10.7090901,0.702857,t17_f5_c3,15.1219,0.0189,False,True,False,bulk_1.0.0,0.0,1.158486202615015e+18,13.504498,100.0,0.004285789,,,ZTF19aadyxsh
ztf,58900.55069439998,1146550692615015001,1,1146550692615,18.5355,1,1146,0.515038,17.5597,17.3788,0.175885,0.137,269.3915086,10.7091412,0.767143,t17_f5_c3,17.5293,0.2,False,True,True,bulk_1.0.0,0.0,1.158486202615015e+18,16.157171,0.045360483,0.048330072,,,ZTF19aadyxsh
ztf,58905.52511569997,1151525112615015000,1,1151525112615,19.5219,1,1151,0.627291,17.4021,17.5347,0.095651,0.0311,269.3915283,10.7090909,0.471429,t17_f5_c3,17.4617,0.0356,False,True,True,bulk_1.0.0,0.0,1.158486202615015e+18,16.111538,0.024356754,0.029138334,,,ZTF19aadyxsh
ztf,58912.48620369984,1158486202615015002,2,1158486202615,20.094604,1,1158,0.9514667,15.413475,15.6172,0.012420694,0.0106,269.3916403,10.7091287,0.67142856,t17_f5_c3,15.6022,0.0116,True,True,False,bulk_1.0.0,0.0,0.0,13.566295,100.0,0.002266072,0.92232215,537120226.0,ZTF19aadyxsh
ztf,59621.51608800003,1867516082615015000,1,1867516082615,19.449205,1,1867,2.4436343,18.731756,18.7414,0.2145062,0.1151,269.3920643,10.7091241,0.35142857,t17_f5_c3,18.5739,0.1235,True,False,False,correction_1.0.6,0.0,,,,,0.36138523,537120126.0,ZTF19aadyxsh
