tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58290.40098380018,536400983015015026,1,536400983015,20.9743,1,536,4.46885,20.474,20.61,0.22996,0.2716,281.6701668,9.9429201,0.403333,20.8062,0.4135,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,,,,,,,ZTF18abdksyc
ztf,58301.317013899796,547317013015015036,1,547317013015,20.305998,1,547,4.4070673,19.834105,19.5303,0.21161991,0.19,281.6701834,9.9429097,0.29666665,19.2131,0.1818,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58303.40332179982,549403323015015051,1,549403323015,20.556507,1,549,4.533137,19.468521,19.7999,0.15036935,0.1955,281.6701432,9.9429041,0.40666667,20.0985,0.3276,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58304.29606480012,550296063015015032,1,550296063015,20.995304,1,550,4.5131674,19.44248,19.3527,0.14524408,0.0867,281.6701567,9.9429109,0.47666666,19.3757,0.1114,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58305.33355320012,551333553015015015,1,551333553015,20.387747,1,551,4.5242543,19.445675,19.7037,0.13944495,0.1832,281.6701394,9.9428711,0.49333334,19.9232,0.2862,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58306.33652780019,552336523015015013,1,552336523015,20.383623,1,552,4.408813,19.437632,19.3533,0.13182715,0.1308,281.6701796,9.9428886,0.53333336,19.2628,0.1533,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58307.35193290003,553351933015015025,1,553351933015,20.828238,1,553,4.389039,19.170416,19.1751,0.13798471,0.0837,281.6701761,9.9428563,0.50666666,19.2293,0.1106,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58311.33557870006,557335573015015027,1,557335573015,20.5164,1,557,4.419582,18.647446,18.6792,0.10140316,0.0697,281.6701761,9.9428907,0.61333334,18.6507,0.0856,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58312.3351619998,558335163015015016,1,558335163015,20.59342,1,558,4.499118,18.548857,18.5741,0.11385692,0.0595,281.6701426,9.9428585,0.54,18.504,0.0703,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58313.33592589991,559335923015015031,1,559335923015,20.90496,1,559,4.4463573,18.437057,18.4467,0.09969214,0.0435,281.6701701,9.9429009,0.56666666,18.4538,0.0542,False,False,False,bulk_1.0.0,0.0,5.6033465301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58314.33465280011,560334653015015014,1,560334653015,20.561373,1,560,4.469864,18.355087,18.3985,0.09664216,0.0514,281.6701602,9.9428768,0.59,18.3631,0.0625,False,False,False,bulk_1.0.0,0.0,5.6939608301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58315.378275500145,561378273015015030,1,561378273015,20.639887,1,561,4.3845596,18.24477,18.2555,0.08749551,0.0445,281.6701782,9.9428717,0.6,18.2291,0.054,False,False,False,bulk_1.0.0,0.0,5.6939608301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58317.33590279985,563335903015015042,1,563335903015,20.955458,1,563,4.486895,18.02938,18.1227,0.07833577,0.0316,281.6701561,9.9428845,0.56,18.1399,0.0392,False,False,False,bulk_1.0.0,0.0,5.6939608301501504e+17,0.0,539120130.0,,,,,ZTF18abdksyc
ztf,58319.37444439996,565374443015015028,1,565374443015,20.139433,1,565,4.4370275,17.864262,17.8902,0.06599088,0.0377,281.6701632,9.9428653,0.55,17.864,0.0461,False,False,False,bulk_1.0.0,0.0,5.6939608301501504e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58320.39998839982,566399983015015035,1,566399983015,20.4302,1,566,4.5564227,17.68881,17.7488,0.07030218,0.035,281.6701367,9.9428895,0.63,17.7665,0.0441,False,False,False,bulk_1.0.0,0.0,5.6939608301501504e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58322.212164400145,568212163015015034,1,568212163015,20.162457,1,568,4.4548416,17.555803,17.5129,0.06383758,0.0345,281.6701593,9.9428836,0.55333334,17.4419,0.0408,False,False,False,bulk_1.0.0,0.0,5.6939608301501504e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58322.3567476999,568356743015015018,2,568356743015,20.2501,1,568,0.353874,15.5598,15.7235,0.434775,0.0079,281.6701874,9.9428601,0.226667,15.7041,0.0092,False,True,False,bulk_1.0.0,0.0,5.6939608301501504e+17,,,t8_f5_c3,15.472064,0.401021,0.40102372,ZTF18abdksyc
ztf,58323.39608799992,569396083015015026,1,569396083015,19.895369,1,569,4.462138,17.472792,17.4827,0.06365929,0.0415,281.6701652,9.9428855,0.6066667,17.4007,0.0488,False,False,False,bulk_1.0.0,0.0,5.83362533015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58326.420289400034,572420283015025010,1,572420283015,18.0606,1,572,4.39753,17.4485,17.5472,0.16167,0.1422,281.6701962,9.9429282,0.363333,17.3978,0.1591,False,False,False,bulk_1.0.0,0.0,5.83362533015015e+17,,,t8_f5_c3,,,,ZTF18abdksyc
ztf,58327.29246529983,573292463015015007,2,573292463015,19.4603,1,573,0.675711,15.3552,15.7547,0.71922,0.0144,281.6702393,9.9427789,0.24,15.7354,0.0178,False,True,False,bulk_1.0.0,0.0,5.83362533015015e+17,,,t8_f5_c3,15.282037,0.6723508,0.67235196,ZTF18abdksyc
ztf,58327.45803239988,573458033015015038,1,573458033015,16.9707,1,573,4.08773,17.3098,17.0245,0.261933,0.2604,281.6702651,9.9428549,0.38,17.0555,0.344,False,False,False,bulk_1.0.0,0.0,5.83362533015015e+17,,,t8_f5_c3,,,,ZTF18abdksyc
ztf,58328.25738430023,574257383015015017,1,574257383015,19.526953,1,574,4.5373363,17.231724,17.2444,0.050179865,0.0478,281.6701501,9.9429207,0.63666666,17.1936,0.0582,False,False,False,bulk_1.0.0,0.0,5.83362533015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58336.2532060002,582253203015015035,1,582253203015,20.943483,1,582,4.4386234,17.214321,17.2418,0.04445892,0.0155,281.6701638,9.9428762,0.56,17.2394,0.0183,False,False,False,bulk_1.0.0,0.0,5.83362533015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58337.36253469996,583362533015015010,1,583362533015,20.509829,1,583,4.4984465,17.183666,17.2267,0.06041593,0.0201,281.6701495,9.9428649,0.77,17.1938,0.0238,False,False,False,bulk_1.0.0,0.0,5.95212783015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58345.18731479999,591187313015015028,1,591187313015,20.672436,1,591,4.4973855,17.37355,17.4489,0.05590476,0.0214,281.6701519,9.942883,0.84,17.4381,0.0259,False,False,False,bulk_1.0.0,0.0,6.17190233015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58346.33361109998,592333613015015042,1,592333613015,20.798954,1,592,4.5251546,17.397686,17.4125,0.06124053,0.0203,281.6701453,9.9428788,0.78,17.3873,0.0238,False,False,False,bulk_1.0.0,0.0,6.17190233015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58348.33924769983,594339243015015016,1,594339243015,20.093616,1,594,4.4636607,17.45837,17.4335,0.07700818,0.0289,281.6701513,9.9428415,0.59,17.4223,0.0357,False,False,False,bulk_1.0.0,0.0,6.17190233015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58349.212789400015,595212783015015044,1,595212783015,20.53721,1,595,4.462357,17.51675,17.5181,0.06668327,0.0267,281.6701591,9.9428756,0.72,17.4956,0.0324,False,False,False,bulk_1.0.0,0.0,6.17190233015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58349.29688660009,595296883015015014,2,595296883015,20.4117,1,595,0.730079,15.5502,15.9907,0.792016,0.0088,281.6702456,9.9427637,0.203333,15.9793,0.0102,False,True,False,bulk_1.0.0,0.0,6.17190233015015e+17,,,t12_f5_c3,15.463206,0.73103046,0.73103195,ZTF18abdksyc
ztf,58350.32462960016,596324623015015017,1,596324623015,20.495243,1,596,4.5497274,17.479868,17.5723,0.059627973,0.0291,281.6701397,9.9428949,0.77,17.5871,0.0366,False,False,False,bulk_1.0.0,0.0,6.17190233015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58351.22711810004,597227113015015024,2,597227113015,20.2675,1,597,0.51339,15.5047,15.7509,0.498875,0.008,281.670231,9.942839,0.23,15.7285,0.0093,False,True,False,bulk_1.0.0,0.0,6.17190233015015e+17,,,t12_f5_c3,15.421143,0.46191993,0.46192208,ZTF18abdksyc
ztf,58351.23126159981,597231263015015024,1,597231263015,20.085596,1,597,4.4531007,17.513353,17.5887,0.06558274,0.0398,281.6701649,9.9428873,0.8,17.617,0.0516,False,False,False,bulk_1.0.0,0.0,6.17190233015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58352.2750694002,598275063015015018,2,598275063015,20.0562,1,598,0.294789,15.5572,15.7633,0.381158,0.0092,281.6701452,9.9428418,0.233333,15.7468,0.011,False,True,False,bulk_1.0.0,0.0,6.28188073015015e+17,,,t12_f5_c3,15.469666,0.35163116,0.35163426,ZTF18abdksyc
ztf,58353.29166670004,599291663015015010,2,599291663015,20.0767,1,599,1.04564,15.6601,16.1562,0.875452,0.0123,281.670358,9.9427704,0.256667,16.1187,0.0146,False,True,False,bulk_1.0.0,0.0,6.28188073015015e+17,,,t12_f5_c3,15.564237,0.8014682,0.8014698,ZTF18abdksyc
ztf,58354.23041669978,600230413015015009,2,600230413015,20.2755,1,600,0.550843,15.6255,15.8975,0.511479,0.0089,281.6702357,9.9428338,0.226667,15.8868,0.0106,False,True,False,bulk_1.0.0,0.0,6.28188073015015e+17,,,t12_f5_c3,15.532518,0.4694971,0.4694997,ZTF18abdksyc
ztf,58356.18960649986,602189603015015019,2,602189603015,20.0298,1,602,0.440798,15.622,15.7656,0.354533,0.0092,281.6701958,9.9428347,0.25,15.7511,0.0111,False,True,False,bulk_1.0.0,0.0,6.28188073015015e+17,,,t12_f5_c3,15.529305,0.32551718,0.3255209,ZTF18abdksyc
ztf,58361.18949070014,607189493015015040,1,607189493015,20.959242,1,607,4.480471,17.792114,17.843,0.08170197,0.0248,281.6701576,9.9428845,0.75,17.8559,0.0304,False,False,False,bulk_1.0.0,0.0,6.28188073015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58362.22780090012,608227803015015080,1,608227803015,19.778784,1,608,4.4317036,17.912718,17.8794,0.08542198,0.0602,281.6701661,9.9428714,0.67,17.8871,0.0767,False,False,False,bulk_1.0.0,0.0,6.28188073015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58363.18759260001,609187593015015017,1,609187593015,20.278728,1,609,4.4811807,17.92005,17.9869,0.07702001,0.0387,281.6701509,9.9428594,0.66333336,17.9778,0.0482,False,False,False,bulk_1.0.0,0.0,6.28188073015015e+17,0.0,539120130.0,t8_f5_c3,,,,ZTF18abdksyc
ztf,58363.21142360009,609211423015015023,2,609211423015,20.3105,1,609,0.404636,15.7719,15.9616,0.309092,0.0088,281.670188,9.9428448,0.253333,15.9502,0.0103,False,True,False,bulk_1.0.0,0.0,6.28188073015015e+17,,,t12_f5_c3,15.666131,0.2803958,0.28040135,ZTF18abdksyc
