tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59248.55061340006,1494550615715015010,2,1494550615715,19.7749,1,1494,2.73006,16.4582,16.315,0.220696,0.0267,268.5213991,0.5671623,0.178571,t17_f5_c3,16.3236,0.0343,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF19abejegt
ztf,59248.562673599925,1494562675715015015,2,1494562675715,19.761604,1,1494,2.0445461,16.321777,16.0307,0.04859191,0.0191,268.5215912,0.5674763,0.36857143,t17_f5_c3,16.1476,0.0288,True,False,False,correction_0.0.1,0.0,0.00041085,434120257.0,,,,,ZTF19abejegt
ztf,59311.498622700106,1557498625715015012,2,1557498625715,20.6032,1,1557,2.23217,16.5515,16.9975,0.368325,0.0378,268.5215225,0.5673634,0.21,t17_f5_c3,17.2117,0.0638,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF19abejegt
ztf,59316.48324069986,1562483245715015012,2,1562483245715,20.645744,1,1562,3.2227006,16.51378,16.7319,0.20984969,0.0275,268.5216211,0.5670998,0.16571428,t17_f5_c3,18.0539,0.137,True,False,False,correction_0.0.1,0.0,5.3e-06,434120257.0,,,,,ZTF19abejegt
ztf,59628.51008100016,1874510085715015023,1,1874510085715,18.81154,1,1874,1.6628261,16.534561,16.8152,0.1054473,0.0446,268.5216728,0.5677906,0.47714287,t17_f5_c3,16.8342,0.0558,True,False,False,correction_1.0.6,0.0,0.06446245,434120157.0,,,,,ZTF19abejegt
ztf,60461.399733799975,2707399735715015015,2,2707399735715,20.3479,1,2707,1.09496,14.6096,15.5629,0.081711,0.0111,268.5212173,0.567603,0.341429,t17_f5_c3,15.1927,0.0097,False,True,True,24.5.1,0.0,,,12.390403,100.0,0.010582829,2.721314795715015e+18,ZTF19abejegt
ztf,60463.37925929995,2709379255715015032,2,2709379255715,20.5873,1,2709,1.11295,14.665,15.3202,0.050108,0.0089,268.521298,0.5676072,0.38,t17_f5_c3,14.9093,0.0076,False,True,True,24.5.1,0.0,,,12.397421,100.0,0.00620691,2.721314795715015e+18,ZTF19abejegt
ztf,60470.354050899856,2716354055715015024,2,2716354055715,20.3501,1,2716,1.16682,15.1885,16.0537,0.070897,0.0141,268.5211842,0.5675806,0.341429,t17_f5_c3,15.362,0.0117,False,True,True,24.5.1,0.0,,,12.4501295,100.0,0.005692193,2.721314795715015e+18,ZTF19abejegt
ztf,60475.31479169987,2721314795715015039,2,2721314795715,20.031706,1,2721,2.4441526,16.506256,16.8404,0.11088773,0.0277,268.5213521,0.5672348,0.13142857,t17_f5_c3,16.2894,0.0271,True,False,False,24.5.1,0.0,0.00102493,434120257.0,,,,,ZTF19abejegt
ztf,60518.321898099966,2764321895715015020,2,2764321895715,20.2046,1,2764,0.941182,14.7532,15.262,0.056727,0.0099,268.5211981,0.5676435,0.364286,t17_f5_c3,14.9769,0.0092,False,True,True,24.5.1,0.0,,,12.407966,100.0,0.006541783,2.791235125715015e+18,ZTF19abejegt
ztf,60520.25366900023,2766253665715015017,2,2766253665715,20.312,1,2766,0.830398,14.549,14.9737,0.059469,0.0073,268.5212389,0.5676765,0.417143,t17_f5_c3,14.58,0.0065,False,True,True,24.5.1,0.0,,,12.382361,100.0,0.008084166,2.791235125715015e+18,ZTF19abejegt
