tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,60319.45467589982,2565454670115015023,2,2565454670115,20.327143,1,2565,12.262243,20.075293,20.1529,0.1657098,0.3244,153.2430941,1.845411,0.7757143,t17_f5_c3,0.999833,20.3747,0.51,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.45513889985,2565455130115015018,2,2565455130115,20.412874,1,2565,12.3025255,19.830873,19.8485,0.16587466,0.2374,153.2430784,1.8454499,0.7557143,t17_f5_c3,0.99942464,19.8941,0.317,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.455613399856,2565455610115015017,2,2565455610115,20.360592,1,2565,12.399787,19.988043,20.0005,0.19490857,0.2799,153.2430513,1.8454459,0.74285716,t17_f5_c3,0.99992037,19.8698,0.3185,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.45655089989,2565456550115015016,2,2565456550115,20.394186,1,2565,12.6334,19.891577,20.1473,0.20015605,0.3158,153.2429854,1.8454463,0.71428573,t17_f5_c3,0.9999696,20.1719,0.4141,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.457025500014,2565457020115015015,2,2565457020115,20.379698,1,2565,12.66857,20.009176,20.1883,0.18334752,0.3305,153.2429754,1.845448,0.7385714,t17_f5_c3,0.99992776,20.1657,0.4153,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.45748839993,2565457480115015013,2,2565457480115,20.369852,1,2565,12.807316,20.04705,20.1033,0.19120038,0.3083,153.2429328,1.8454836,0.6757143,t17_f5_c3,0.9999032,20.1714,0.4205,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.45796300005,2565457960115015017,2,2565457960115,20.289444,1,2565,12.848106,19.979362,20.3215,0.1526333,0.3882,153.2429289,1.8454044,0.78,t17_f5_c3,0.9999753,20.2629,0.4718,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.458437500056,2565458430115015022,2,2565458430115,20.382778,1,2565,13.05271,19.972584,19.981,0.14715773,0.2739,153.2428708,1.8454067,0.7828571,t17_f5_c3,0.9997085,19.8143,0.3012,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.45890050009,2565458900115015021,2,2565458900115,20.375467,1,2565,13.189298,19.998428,19.8809,0.17373078,0.2518,153.242832,1.8454089,0.5814286,t17_f5_c3,0.99995553,19.6111,0.252,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.4598495001,2565459840115015013,2,2565459840115,20.354645,1,2565,13.580695,20.190023,20.0389,0.20797636,0.2935,153.2427175,1.8454496,0.68857145,t17_f5_c3,0.99785775,20.2971,0.4771,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
ztf,60319.460787000135,2565460780115015019,2,2565460780115,20.385576,1,2565,13.874439,20.152664,20.0353,0.19532585,0.2881,153.2426382,1.8454113,0.44428572,t17_f5_c3,0.9963666,20.3439,0.4904,468120201,True,False,True,23.12.x,0.0,ZTF24aabmcch
