tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid,oid
ztf,59381.40182870021,1627401825615015004,2,1627401825615,18.7221,1,1627,4.91909,18.9783,18.6719,0.277312,0.382,326.4587207,15.1837146,0.521429,t17_f5_c3,18.578,0.4493,False,False,False,correction_0.0.1,0.0,,,,ZTF21abhhrpj
ztf,59384.35940970015,1630359405615015062,2,1630359405615,18.01263,1,1630,4.1847606,17.808962,17.5556,0.1974503,0.238,326.4584651,15.1837123,0.5314286,t17_f5_c3,17.3911,0.2619,True,False,False,correction_0.0.1,0.0,0.5651622,545120256.0,,ZTF21abhhrpj
ztf,59386.416134300176,1632416135615015003,2,1632416135615,20.401276,1,1632,4.8536205,18.083935,18.1723,0.0529674,0.0551,326.4586834,15.1836972,0.94285715,t17_f5_c3,18.1953,0.0702,True,False,False,correction_0.0.1,0.0,0.99999976,545120256.0,,ZTF21abhhrpj
ztf,59386.442592599895,1632442595615015003,1,1632442595615,20.564636,1,1632,4.743533,18.014992,18.1037,0.0677792,0.0395,326.4586995,15.1836974,0.94142854,t17_f5_c3,18.1296,0.0504,True,False,False,correction_0.0.1,0.0,0.99999976,545120156.0,,ZTF21abhhrpj
ztf,59390.38402780006,1636384025615015002,2,1636384025615,19.7289,1,1636,4.8504734,17.91369,17.8816,0.075530656,0.08,326.4586842,15.1836935,0.93142855,t17_f5_c3,17.8112,0.0955,True,False,False,correction_0.0.1,0.0,0.9999945,545120256.0,,ZTF21abhhrpj
ztf,59390.433935199864,1636433935615015008,1,1636433935615,19.648218,1,1636,4.7428856,17.926027,18.035,0.059092037,0.0949,326.4586995,15.1836973,0.9442857,t17_f5_c3,17.9451,0.1118,True,False,False,correction_0.0.1,0.0,0.9999982,545120156.0,,ZTF21abhhrpj
ztf,59392.41983800009,1638419835615015004,2,1638419835615,19.622196,1,1638,4.8308153,17.930166,18.0301,0.062405784,0.0892,326.4586914,15.1837202,0.94285715,t17_f5_c3,18.0428,0.1149,True,False,False,correction_0.0.1,0.0,0.9999872,545120256.0,,ZTF21abhhrpj
ztf,59392.45877309982,1638458775615015001,1,1638458775615,19.53116,1,1638,4.6840725,17.969322,18.0058,0.057538096,0.0873,326.45869,15.1837103,0.94,t17_f5_c3,18.0738,0.1186,True,False,False,correction_0.0.1,0.0,0.9999987,545120156.0,,ZTF21abhhrpj
ztf,59395.41960649984,1641419605615015002,1,1641419605615,19.807837,1,1641,4.7325077,18.026037,18.0702,0.07662246,0.0824,326.4587059,15.1837124,0.94714284,t17_f5_c3,18.1437,0.1123,True,False,False,correction_0.0.1,0.0,0.99999976,545120156.0,,ZTF21abhhrpj
ztf,59397.4166203998,1643416625615015006,2,1643416625615,20.521246,1,1643,4.8654637,18.02673,18.0956,0.07168217,0.0524,326.4586948,15.1837107,0.9285714,t17_f5_c3,18.0712,0.0639,True,False,False,correction_0.0.1,0.0,0.99999833,545120256.0,,ZTF21abhhrpj
ztf,59397.43446760019,1643434465615015008,1,1643434465615,20.524675,1,1643,4.6880307,18.056768,18.0722,0.0529106,0.0459,326.4586932,15.1837125,0.94142854,t17_f5_c3,18.0339,0.0556,True,False,False,correction_0.0.1,0.0,0.9999899,545120156.0,,ZTF21abhhrpj
ztf,59400.39880790003,1646398805615015005,1,1646398805615,20.716488,1,1646,4.7911615,18.173338,18.2735,0.0483396,0.0428,326.4587184,15.1837013,0.95428574,t17_f5_c3,18.2877,0.054,True,False,False,correction_0.0.1,0.0,0.9999999,545120156.0,,ZTF21abhhrpj
ztf,59402.34009259986,1648340095615015003,1,1648340095615,20.400211,1,1648,4.8079276,18.196072,18.2617,0.06773876,0.0486,326.458714,15.1836855,0.91714287,t17_f5_c3,18.2773,0.062,True,False,False,correction_0.0.1,0.0,0.99999547,545120156.0,,ZTF21abhhrpj
ztf,59402.40993059985,1648409935615015006,2,1648409935615,20.502813,1,1648,4.907061,18.105158,18.1445,0.05573321,0.0495,326.4586929,15.1836798,0.9442857,t17_f5_c3,18.1634,0.0625,True,False,False,correction_0.0.1,0.0,0.99999845,545120256.0,,ZTF21abhhrpj
ztf,59404.38090279978,1650380905615015002,1,1650380905615,20.48179,1,1650,4.7245665,18.298008,18.3397,0.081907116,0.0551,326.4586881,15.1836907,0.9514286,t17_f5_c3,18.3656,0.0708,True,False,False,correction_0.0.1,0.0,0.99999964,545120156.0,,ZTF21abhhrpj
ztf,59404.43550929986,1650435505615015004,2,1650435505615,20.28817,1,1650,4.8572516,18.088705,18.1376,0.0748387,0.0607,326.4586892,15.1836993,0.9442857,t17_f5_c3,18.2548,0.0844,True,False,False,correction_0.0.1,0.0,0.9999762,545120256.0,,ZTF21abhhrpj
ztf,59406.45150459977,1652451505615015004,2,1652451505615,20.267096,1,1652,4.873432,18.092672,18.1492,0.06834614,0.0614,326.4586843,15.1836848,0.9457143,t17_f5_c3,18.1156,0.0745,True,False,False,correction_0.0.1,0.0,0.9999999,545120256.0,,ZTF21abhhrpj
ztf,59408.38071760023,1654380715615015001,1,1654380715615,20.599493,1,1654,4.6667204,18.459911,18.458,0.07331125,0.0646,326.4586887,15.1837176,0.87714285,t17_f5_c3,18.4841,0.0829,True,False,False,correction_0.0.1,0.0,0.99993366,545120156.0,,ZTF21abhhrpj
ztf,59408.43696760014,1654436965615015002,2,1654436965615,20.38949,1,1654,4.8864455,18.098433,18.1586,0.07435439,0.0615,326.4586946,15.183694,0.87285715,t17_f5_c3,18.2127,0.0805,True,False,False,correction_0.0.1,0.0,0.9986378,545120256.0,,ZTF21abhhrpj
ztf,59410.41208329983,1656412085615015003,2,1656412085615,20.501568,1,1656,4.9194613,18.151667,18.1848,0.071788535,0.056,326.4587085,15.1837018,0.93714285,t17_f5_c3,18.143,0.0671,True,False,False,correction_0.0.1,0.0,0.99999976,545120256.0,,ZTF21abhhrpj
ztf,59410.44649309991,1656446495615015001,1,1656446495615,20.500671,1,1656,4.8002543,18.526817,18.6017,0.07032099,0.0688,326.4587177,15.1836952,0.95285714,t17_f5_c3,18.5677,0.0838,True,False,False,correction_0.0.1,0.0,0.9999933,545120156.0,,ZTF21abhhrpj
ztf,59412.4091897998,1658409185615015004,2,1658409185615,20.610159,1,1658,4.8779416,18.138481,18.1552,0.07659883,0.0517,326.4586915,15.1836948,0.91571426,t17_f5_c3,18.2383,0.0693,True,False,False,correction_0.0.1,0.0,0.9999974,545120256.0,,ZTF21abhhrpj
ztf,59412.453576399945,1658453575615015009,1,1658453575615,20.74065,1,1658,4.6748524,18.585012,18.6628,0.054135893,0.0667,326.4586764,15.1836962,0.9557143,t17_f5_c3,18.6431,0.0819,True,False,False,correction_0.0.1,0.0,0.9999982,545120156.0,,ZTF21abhhrpj
ztf,59415.43684029998,1661436845615015003,1,1661436845615,20.729733,1,1661,4.6805305,18.68976,18.8006,0.07129916,0.0727,326.4586743,15.1836917,0.9514286,t17_f5_c3,18.8841,0.0982,True,False,False,correction_0.0.1,0.0,0.9999975,545120156.0,,ZTF21abhhrpj
ztf,59415.43684029998,1661436845615055003,1,1661436845615,20.7297,1,1661,4.68053,18.6898,18.8006,0.071299,0.0727,326.4586743,15.1836917,0.951429,t17_f5_c3,18.8841,0.0982,False,False,False,correction_1.0.6,0.0,,,1.672359255615015e+18,ZTF21abhhrpj
ztf,59415.43684029998,1661436845615065003,1,1661436845615,20.7297,1,1661,4.68053,18.6898,18.8006,0.071299,0.0727,326.4586743,15.1836917,0.951429,t17_f5_c3,18.8841,0.0982,False,False,False,correction_1.0.6,0.0,,,1.676320335615015e+18,ZTF21abhhrpj
