tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59403.42731480021,1649427314315015014,2,1649427314315,20.696,1,1649,1.67107,17.8379,18.0906,0.221188,0.0579,2.0344503,47.9946655,0.238571,t17_f5_c3,18.1191,0.0674,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF21abmkxiq
ztf,59411.44635420013,1657446354315015011,2,1657446354315,20.529612,1,1657,1.7581083,17.818981,18.0249,0.1695482,0.0594,2.0345874,47.9947097,0.25714287,t17_f5_c3,18.0671,0.0707,True,False,False,correction_0.0.1,0.0,0.38386926,736120243.0,,,,,ZTF21abmkxiq
ztf,59693.49519680021,1939495194315015014,2,1939495194315,19.4398,1,1939,0.667642,17.5486,17.8539,0.089141,0.0896,2.0342827,47.9951874,0.735714,t17_f5_c3,17.884,0.1137,False,True,True,correction_1.0.6,0.0,,,14.910883,100.0,0.007852192,1.944499024315015e+18,ZTF21abmkxiq
ztf,59693.50006939983,1939500064315015011,2,1939500064315,19.1451,1,1939,0.81772,17.4904,17.847,0.10137,0.0987,2.0343462,47.9949261,0.777143,t17_f5_c3,17.8128,0.119,False,True,True,correction_1.0.6,0.0,,,14.905629,100.0,0.00937564,1.944499024315015e+18,ZTF21abmkxiq
ztf,59698.49418980023,1944494184315015016,2,1944494184315,19.4388,1,1944,0.867029,17.3663,17.3318,0.08008,0.048,2.0343838,47.9949403,0.742857,t17_f5_c3,17.3258,0.0583,False,True,True,correction_1.0.6,0.0,,,14.8935375,100.0,0.008211427,1.944499024315015e+18,ZTF21abmkxiq
ztf,59698.499027799815,1944499024315015009,2,1944499024315,19.245667,1,1944,1.2728318,17.617592,17.4444,0.07754648,0.0656,2.0345806,47.994951,0.76428574,t17_f5_c3,17.3747,0.0766,True,True,True,correction_1.0.6,0.0,0.54653317,736120243.0,14.916787,100.0,0.006445256,,ZTF21abmkxiq
ztf,59699.49733800022,1945497334315015008,2,1945497334315,19.7239,1,1945,0.66208,17.362,17.5793,0.105249,0.0671,2.034042,47.9948792,0.324286,t17_f5_c3,17.519,0.0783,False,True,True,correction_1.0.6,0.0,,,14.893095,100.0,0.010830694,1.945499764315015e+18,ZTF21abmkxiq
ztf,59699.499768500216,1945499764315015003,2,1945499764315,19.484451,1,1945,1.1872895,17.546192,17.5798,0.14092474,0.0797,2.03456,47.9949799,0.3,t17_f5_c3,17.5038,0.093,True,True,True,correction_1.0.6,0.0,0.323959,736120243.0,14.91067,100.0,0.012438803,,ZTF21abmkxiq
ztf,59702.497928199824,1948497924315015006,2,1948497924315,19.305567,1,1948,0.882366,17.719627,18.0157,0.13152681,0.1141,2.0343922,47.9949398,0.56714284,t17_f5_c3,18.0589,0.1483,True,True,True,correction_1.0.6,0.0,0.6656808,736120243.0,14.9249115,100.0,0.010026009,,ZTF21abmkxiq
ztf,59712.471597199794,1958471594315015012,2,1958471594315,20.1255,1,1958,0.511935,17.4432,17.4487,0.052459,0.0434,2.0342407,47.994973,0.474286,t17_f5_c3,17.4269,0.0507,False,True,True,correction_1.0.6,0.0,,,14.901176,100.0,0.0050467392,1.958479494315015e+18,ZTF21abmkxiq
ztf,59712.471597199794,1958471594315015013,2,1958471594315,20.1255,1,1958,1.03351,17.413,17.6454,0.146847,0.0504,2.0344431,47.9949115,0.331429,t17_f5_c3,17.6735,0.0623,False,True,True,correction_1.0.6,0.0,,,14.898234,100.0,0.014486342,1.958479494315015e+18,ZTF21abmkxiq
ztf,59712.473564799875,1958473564315015013,2,1958473564315,20.0711,1,1958,0.480809,17.6139,17.4884,0.162296,0.0464,2.0341568,47.9949441,0.425714,t17_f5_c3,17.5009,0.0562,False,True,True,correction_1.0.6,0.0,,,14.91648,100.0,0.013531315,1.958479494315015e+18,ZTF21abmkxiq
ztf,59712.47949070018,1958479494315015011,2,1958479494315,20.043768,1,1958,0.91798615,17.573643,17.4698,0.08212851,0.0449,2.034416,47.9949505,0.77,t17_f5_c3,17.4563,0.053,True,True,True,correction_1.0.6,0.0,0.75845945,736120243.0,14.913066,100.0,0.007083749,,ZTF21abmkxiq
ztf,59714.47415510006,1960474154315015008,2,1960474154315,19.4001,1,1960,0.614293,17.3934,17.5058,0.09228,0.0688,2.0341717,47.9949052,0.761429,t17_f5_c3,17.4784,0.0837,False,True,True,correction_1.0.6,0.0,,,14.896285,100.0,0.009252551,1.966467914315015e+18,ZTF21abmkxiq
ztf,59720.46791670006,1966467914315015016,2,1966467914315,20.194054,1,1966,1.0167613,17.592852,17.8905,0.12783615,0.0607,2.0343904,47.9948766,0.36571428,t17_f5_c3,17.8725,0.0718,True,True,True,correction_1.0.6,0.0,0.5725798,736120243.0,14.914709,100.0,0.010849176,,ZTF21abmkxiq
ztf,59766.42868060013,2012428684315015022,1,2012428684315,20.8411,1,2012,0.450078,17.7381,17.8393,0.07819,0.0362,2.0342498,47.9950316,0.817143,t17_f5_c3,17.8301,0.0408,False,True,False,dev,0.0,,,15.5393305,0.0039134407,0.010319135,2.034410164315015e+18,ZTF21abmkxiq
ztf,59771.44879630022,2017448794315015015,1,2017448794315,20.8554,1,2017,0.557585,17.7709,17.8867,0.083876,0.0377,2.0342801,47.9949925,0.627143,t17_f5_c3,17.8826,0.0427,False,True,False,dev,0.0,,,15.543603,0.004936792,0.0107824765,2.034410164315015e+18,ZTF21abmkxiq
ztf,59775.41604170017,2021416044315015009,2,2021416044315,19.9479,1,2021,0.704039,16.9719,16.9802,0.066899,0.0315,2.0341647,47.9948701,0.69,t17_f5_c3,16.9605,0.0375,False,True,False,dev,0.0,,,14.845837,100.0,0.009440478,2.034410164315015e+18,ZTF21abmkxiq
ztf,59784.404432899784,2030404434315015019,1,2030404434315,20.7044,1,2030,0.544752,17.9024,17.9864,0.113836,0.045,2.0342493,47.9949655,0.74,t17_f5_c3,17.9698,0.0509,False,True,False,dev,0.0,,,15.559642,0.008858733,0.013157598,2.034410164315015e+18,ZTF21abmkxiq
ztf,59784.45111110015,2030451114315015018,2,2030451114315,20.79,1,2030,0.83345,17.3031,17.3268,0.100525,0.0284,2.0342867,47.9948834,0.521429,t17_f5_c3,17.326,0.0316,False,True,False,dev,0.0,,,14.886885,100.0,0.0108589465,2.034410164315015e+18,ZTF21abmkxiq
ztf,59788.410161999986,2034410164315015019,2,2034410164315,20.682104,1,2034,1.0286384,17.793816,17.7477,0.10843082,0.0424,2.0343786,47.99487,0.37714285,t17_f5_c3,17.7135,0.0465,True,True,False,dev,0.0,0.5170419,736120243.0,14.930392,100.0,0.0077585983,,ZTF21abmkxiq
ztf,59790.364768499974,2036364764315015020,1,2036364764315,20.5704,1,2036,0.608322,18.0881,18.0821,0.073902,0.0508,2.0342601,47.9949532,0.898571,t17_f5_c3,18.0503,0.0573,False,True,False,dev,0.0,,,15.579552,100.0,0.0073322416,2.063385564315015e+18,ZTF21abmkxiq
ztf,59794.44766200008,2040447664315015018,2,2040447664315,20.0393,1,2040,0.815158,17.3734,17.2518,0.200214,0.0425,2.034154,47.9948425,0.477143,t17_f5_c3,17.2659,0.0511,False,True,False,dev,0.0,,,14.894263,0.013545476,0.020409845,2.063385564315015e+18,ZTF21abmkxiq
