tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59276.48380789999,1522483804915015016,2,1522483804915,19.1901,1,1522,1.47622,19.5756,19.4441,0.318848,0.3958,279.409945,0.5423562,0.367143,t17_f5_c3,19.162,0.3925,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF20abaylsx
ztf,59282.51947919978,1528519474915015028,2,1528519474915,19.863205,1,1528,1.5465297,19.586084,19.5631,0.18411945,0.2634,279.4099599,0.5421792,0.77428573,t17_f5_c3,19.3102,0.2679,True,False,False,correction_0.0.1,0.0,0.9999559,435120249.0,,,,,ZTF20abaylsx
ztf,59295.49975690013,1541499754915015030,2,1541499754915,19.8652,1,1541,1.35824,19.4826,19.5518,0.224013,0.2452,279.4099924,0.5422465,0.58,t17_f5_c3,19.184,0.2245,False,True,True,correction_0.0.1,0.0,,,19.374702,0.2017119,0.20282185,,ZTF20abaylsx
ztf,59297.43662039982,1543436624915015019,2,1543436624915,19.0889,1,1543,1.63625,19.4424,19.2874,0.326793,0.3161,279.4099631,0.5421166,0.345714,t17_f5_c3,19.4144,0.4558,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF20abaylsx
ztf,59303.465127300005,1549465124915015011,2,1549465124915,19.1125,1,1549,1.76437,19.5686,19.2869,0.343427,0.3978,279.4098712,0.5422717,0.328571,t17_f5_c3,18.9991,0.3923,False,False,False,correction_0.0.1,0.0,,,,,,,ZTF20abaylsx
ztf,59306.49765049992,1552497654915015009,2,1552497654915,19.6483,1,1552,1.36535,19.6416,19.5419,0.232818,0.38,279.4099779,0.542308,0.612857,t17_f5_c3,19.4572,0.4513,False,True,True,correction_0.0.1,0.0,,,19.517624,0.20628397,0.20769528,,ZTF20abaylsx
ztf,59310.48746530013,1556487464915015022,2,1556487464915,20.3114,1,1556,1.460001,19.557142,19.7247,0.15159948,0.2131,279.4099696,0.5422136,0.81857145,t17_f5_c3,19.8044,0.2937,True,False,False,correction_0.0.1,0.0,0.9999913,435120249.0,,,,,ZTF20abaylsx
ztf,59312.414166700095,1558414164915015017,2,1558414164915,19.956041,1,1558,1.7676169,19.503971,19.4726,0.1560618,0.2201,279.4098891,0.542178,0.81714284,t17_f5_c3,19.4242,0.2699,True,False,False,correction_0.0.1,0.0,0.9999896,435120249.0,,,,,ZTF20abaylsx
ztf,59320.48106480017,1566481064915015026,2,1566481064915,20.141333,1,1566,1.4408109,19.526718,19.4325,0.19663493,0.2078,279.4099708,0.5422363,0.74285716,t17_f5_c3,19.3334,0.2429,True,False,False,correction_0.0.1,0.0,0.9999949,435120249.0,,,,,ZTF20abaylsx
ztf,59322.480138900224,1568480134915015036,2,1568480134915,20.269802,1,1568,1.3337711,19.834509,19.7135,0.1629455,0.2085,279.4099984,0.5422561,0.70714283,t17_f5_c3,19.7454,0.275,True,True,True,correction_0.0.1,0.0,0.99993,435120249.0,19.68799,0.13953887,0.1423753,,ZTF20abaylsx
