tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,59517.26420139987,1763264200915015006,1,1763264200915,20.908066,1,1763,2.1128004,18.655724,18.6446,0.062464062,0.063,37.6399061,30.871489,0.9514286,t17_f5_c3,0.9999994,18.7146,0.0847,653120109,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59517.348495400045,1763348490915015012,2,1763348490915,20.647175,1,1763,1.7392765,18.402899,18.4164,0.06921237,0.065,37.6398988,30.8714922,0.9614286,t17_f5_c3,0.9999002,18.3876,0.0803,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59521.231932899915,1767231930915015008,1,1767231930915,20.756361,1,1767,2.0990963,18.633837,18.6367,0.05575785,0.0653,37.639904,30.871485,0.95285714,t17_f5_c3,0.99999976,18.7006,0.0873,653120109,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59521.28633099981,1767286330915015015,2,1767286330915,20.80031,1,1767,1.7727466,18.370033,18.3434,0.057455722,0.0582,37.6398813,30.8715075,0.9114286,t17_f5_c3,0.99997526,18.2431,0.0673,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59523.26645829994,1769266450915015007,2,1769266450915,20.725824,1,1769,1.7393948,18.30304,18.2441,0.05469496,0.0555,37.6398783,30.8714966,0.94857144,t17_f5_c3,0.99999845,18.24,0.0699,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59523.31252310006,1769312520915015011,1,1769312520915,20.900562,1,1769,2.146759,18.620975,18.5849,0.059746463,0.0589,37.6399116,30.871496,0.95,t17_f5_c3,0.99999994,18.6043,0.0755,653120109,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59525.21760419989,1771217600915015004,1,1771217600915,20.65314,1,1771,2.0545962,18.66918,18.5753,0.05938674,0.0618,37.6399056,30.87147,0.9557143,t17_f5_c3,0.9999999,18.5773,0.0781,653120109,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59525.27467590012,1771274670915015006,2,1771274670915,20.659065,1,1771,1.7515093,18.303585,18.309,0.052196555,0.0602,37.6399069,30.8714892,0.94714284,t17_f5_c3,0.9999423,18.3334,0.078,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59527.226412000135,1773226410915015007,1,1773226410915,20.334034,1,1773,2.1255808,18.678217,18.4849,0.06710671,0.0764,37.639894,30.8714959,0.94857144,t17_f5_c3,0.9999989,18.3919,0.0891,653120109,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59527.28550929995,1773285500915015013,2,1773285500915,20.193336,1,1773,1.7065243,18.334929,18.5379,0.062084015,0.1098,37.6399019,30.8714795,0.9242857,t17_f5_c3,0.9999579,18.5896,0.1468,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59530.28410879988,1776284100915015004,1,1776284100915,20.29668,1,1776,2.0892103,18.703194,18.7435,0.08065398,0.0889,37.6399038,30.8714831,0.9442857,t17_f5_c3,1.0,18.8322,0.1227,653120109,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59530.345127299894,1776345120915015020,2,1776345120915,20.463287,1,1776,1.7102787,18.248133,18.2003,0.052500475,0.0561,37.639909,30.8714777,0.95285714,t17_f5_c3,0.9988818,18.2098,0.0714,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59532.241111100186,1778241110915015008,1,1778241110915,20.143614,1,1778,2.0997307,18.782047,18.5689,0.074411765,0.097,37.6399148,30.8714821,0.92,t17_f5_c3,0.9999931,18.5938,0.1266,653120109,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59532.34846059978,1778348460915015009,2,1778348460915,20.146944,1,1778,1.7511104,18.252329,18.2112,0.051257506,0.0745,37.6399004,30.871493,0.94714284,t17_f5_c3,0.9999999,18.1477,0.0896,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59538.21746530011,1784217460915015004,1,1784217460915,19.288654,1,1784,1.9738437,18.956812,19.1913,0.10394821,0.3576,37.6398714,30.8714595,0.94714284,t17_f5_c3,0.9999986,19.0136,0.3899,653120109,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59538.270370400045,1784270370915015003,2,1784270370915,19.703981,1,1784,1.8302087,18.379457,18.466,0.077774405,0.1578,37.6399265,30.871507,0.9071429,t17_f5_c3,0.99999017,18.8999,0.3016,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59542.17194439983,1788171940915015008,2,1788171940915,20.340513,1,1788,1.748397,18.36131,18.4581,0.05162452,0.082,37.63989,30.871497,0.95285714,t17_f5_c3,0.99999994,18.5716,0.1159,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59542.25931710005,1788259310915015005,1,1788259310915,20.049065,1,1788,2.131121,19.100975,19.3466,0.1114479,0.1999,37.6398783,30.8715033,0.9357143,t17_f5_c3,0.9999985,19.3869,0.2653,653120109,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
ztf,59624.1615046002,1870161500915015006,2,1870161500915,19.927132,1,1870,1.6029143,19.945993,19.6198,0.19256079,0.3449,37.6398927,30.8714525,0.8057143,t17_f5_c3,0.99981064,19.6475,0.4541,653120209,True,False,False,correction_1.0.6,0.0,ZTF21acjglei
