tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,60262.472326400224,2508472320815015001,2,2508472320815,20.655966,1,2508,5.9802713,18.923645,18.7057,0.08202144,0.0746,114.4005941,38.51723,0.81,t17_f5_c3,0.9979863,18.7256,0.098,707120208,True,False,False,1.2.1,0.0,ZTF23abqvnik
ztf,60287.31877310015,2533318770815015000,2,2533318770815,20.159311,1,2533,5.9522223,18.03874,18.0275,0.05267939,0.051,114.4005871,38.5172247,0.89285713,t17_f5_c3,0.99999905,18.0667,0.0674,707120208,True,False,True,23.12.x,0.0,ZTF23abqvnik
ztf,60289.34031250002,2535340310815015000,2,2535340310815,18.13122,1,2535,6.2937965,18.109484,18.1279,0.20087916,0.4291,114.4006279,38.5173163,0.6628571,t17_f5_c3,0.9946612,18.379,0.6941,707120208,True,False,True,23.12.x,0.0,ZTF23abqvnik
ztf,60291.34292820003,2537342920815015000,2,2537342920815,20.278603,1,2537,5.9636173,18.072723,18.0423,0.0568512,0.0452,114.400596,38.5172237,0.86,t17_f5_c3,0.9999999,18.0575,0.0586,707120208,True,False,True,23.12.x,0.0,ZTF23abqvnik
ztf,60292.3876852002,2538387680815015000,2,2538387680815,20.831942,1,2538,5.994236,18.08586,18.1045,0.037763882,0.0299,114.4006131,38.5172269,0.7657143,t17_f5_c3,0.9987463,18.0534,0.0367,707120208,True,False,True,23.12.x,0.0,ZTF23abqvnik
ztf,60293.40995369991,2539409950815015001,2,2539409950815,20.385176,1,2539,5.8951716,18.129587,18.1437,0.049722444,0.0364,114.4006237,38.5171896,0.48142856,t17_f5_c3,0.9999964,18.12,0.0458,707120208,True,False,True,23.12.x,0.0,ZTF23abqvnik
ztf,60296.445717600174,2542445710815015000,2,2542445710815,20.165558,1,2542,6.0582075,18.24327,18.394,0.062093318,0.0804,114.400603,38.517251,0.9128571,t17_f5_c3,0.99998003,18.5387,0.1171,707120208,True,False,True,23.12.x,0.0,ZTF23abqvnik
ztf,60314.421979200095,2560421970815015000,2,2560421970815,20.389532,1,2560,6.0264087,19.3389,19.4127,0.11742121,0.1625,114.4006161,38.5172358,0.89285713,t17_f5_c3,0.99937797,19.4395,0.2141,707120208,True,False,True,23.12.x,0.0,ZTF23abqvnik
ztf,60324.23873839993,2570238730815015001,2,2570238730815,20.415367,1,2570,6.0796065,19.655178,19.6935,0.116033144,0.2065,114.4005597,38.517277,0.87142855,t17_f5_c3,0.9881853,19.991,0.3496,707120208,True,False,True,23.12.x,0.0,ZTF23abqvnik
ztf,60326.40243060002,2572402430815015000,2,2572402430815,20.475704,1,2572,6.087438,19.77182,19.4965,0.15730508,0.1716,114.400609,38.5172582,0.7542857,t17_f5_c3,0.9775996,19.6384,0.2511,707120208,True,False,True,23.12.x,0.0,ZTF23abqvnik
