tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59509.483692099806,1755483691315015012,2,1755483691315,19.705296,1,1755,2.8636765,18.719973,18.8095,0.10911004,0.1834,134.6985092,1.8429575,0.8371429,t17_f5_c3,0.99999774,18.817,0.2327,466120213,True,False,False,correction_1.0.6,0.0,,,,ZTF21acipofv
ztf,59509.516099500004,1755516091315015005,1,1755516091315,19.530968,1,1755,1.301526,18.729872,18.4637,0.11314641,0.1318,134.6985405,1.8429179,0.8457143,t17_f5_c3,0.9999995,18.5058,0.1743,466120113,True,True,False,correction_1.0.6,0.0,18.371994,0.07528471,0.08137482,ZTF21acipofv
ztf,59518.44907409977,1764449071315015006,1,1764449071315,20.32317,1,1764,1.3519621,18.606228,18.5567,0.0840277,0.0767,134.6985195,1.8429514,0.7771429,t17_f5_c3,0.9999983,18.6752,0.106,466120113,True,True,False,correction_1.0.6,0.0,18.281672,0.055456832,0.06231611,ZTF21acipofv
ztf,59522.48354170006,1768483541315015025,2,1768483541315,20.528004,1,1768,2.8919725,18.698524,18.7797,0.08691678,0.1038,134.6985299,1.8429397,0.85714287,t17_f5_c3,0.95255774,18.8027,0.128,466120213,True,False,False,correction_1.0.6,0.0,,,,ZTF21acipofv
ztf,59522.50557869999,1768505571315015014,1,1768505571315,20.665241,1,1768,1.2803079,18.967499,18.9169,0.095450915,0.0839,134.6985408,1.8429429,0.9042857,t17_f5_c3,0.9999997,18.9033,0.1014,466120113,True,True,False,correction_1.0.6,0.0,18.537481,0.053217046,0.064235225,ZTF21acipofv
ztf,59524.463090300094,1770463091315015012,2,1770463091315,20.403727,1,1770,2.8769214,18.760162,18.7577,0.1036137,0.107,134.6985212,1.842946,0.67,t17_f5_c3,0.9988722,18.833,0.1395,466120213,True,False,False,correction_1.0.6,0.0,,,,ZTF21acipofv
ztf,59524.52422450017,1770524221315015026,1,1770524221315,20.794075,1,1770,1.4334608,19.035786,18.8702,0.10380069,0.0769,134.698494,1.8429661,0.6957143,t17_f5_c3,0.9999994,18.9044,0.0964,466120113,True,False,True,correction_1.0.6,0.0,,,,ZTF21acipofv
ztf,59526.46328700008,1772463281315015016,1,1772463281315,20.586395,1,1772,1.3750714,19.31578,19.2114,0.09878141,0.113,134.6985179,1.842922,0.85571426,t17_f5_c3,0.9999993,19.2247,0.1406,466120113,True,True,False,correction_1.0.6,0.0,18.759151,0.039409358,0.059159413,ZTF21acipofv
ztf,59526.505046300124,1772505041315015023,2,1772505041315,20.348167,1,1772,2.8257942,18.850925,18.8954,0.084163666,0.1207,134.6985084,1.8429414,0.79,t17_f5_c3,0.9999683,18.7157,0.125,466120213,True,False,False,correction_1.0.6,0.0,,,,ZTF21acipofv
ztf,59529.48503470002,1775485031315015012,2,1775485031315,20.014538,1,1775,2.5223815,18.799063,18.6912,0.105241686,0.1049,134.6984632,1.8428469,0.67,t17_f5_c3,0.99973273,18.6581,0.125,466120213,True,False,False,correction_1.0.6,0.0,,,,ZTF21acipofv
ztf,59529.50744209997,1775507441315015016,1,1775507441315,20.34338,1,1775,1.3511937,19.621872,19.7821,0.17884026,0.199,134.6985187,1.8429661,0.68142855,t17_f5_c3,0.99997866,19.7258,0.2347,466120113,True,True,False,correction_1.0.6,0.0,18.931942,0.07935796,0.09473128,ZTF21acipofv
ztf,59531.44100689981,1777441001315015010,2,1777441001315,20.506266,1,1777,2.8129008,18.918152,18.944,0.109563656,0.1237,134.6984977,1.8429453,0.6085714,t17_f5_c3,0.99776536,18.9589,0.1524,466120213,True,False,False,correction_1.0.6,0.0,,,,ZTF21acipofv
ztf,59538.47795139998,1784477951315015017,2,1784477951315,19.629908,1,1784,2.8172598,19.411291,19.2054,0.15426195,0.3039,134.6985186,1.8429217,0.7557143,t17_f5_c3,0.9993516,19.5263,0.5166,466120213,True,False,False,correction_1.0.6,0.0,,,,ZTF21acipofv
