tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,rbversion,oid
ztf,58283.35571759986,529355710915015022,2,529355710915,20.371574,1,529,2.1591337,17.92514,17.8808,0.049026657,0.0537,276.2695652,-5.1743246,0.25333333,0.0,17.8549,0.0606,435120209.0,False,False,False,bulk_1.0.0,0.0,5.3331453091501504e+17,,,,,ZTF18abapllr
ztf,58284.33509259997,530335090915015024,2,530335090915,20.5144,1,530,0.472875,17.7248,17.6123,0.042297,0.043,276.2692705,-5.1738487,0.523333,,17.5726,0.0472,,False,True,True,bulk_1.0.0,0.0,5.3331453091501504e+17,14.739258,100.0,0.002704534,,ZTF18abapllr
ztf,58287.31453699991,533314530915015025,2,533314530915,20.546373,1,533,1.2239623,17.187675,17.2457,0.024990292,0.029,276.269369,-5.1741394,0.52,0.0,17.2367,0.0326,435120209.0,True,True,True,bulk_1.0.0,0.0,0.0,14.69571,100.0,0.0025175903,,ZTF18abapllr
ztf,58303.33473380003,549334730915015034,2,549334730915,20.4389,1,549,0.436001,16.0982,16.0852,0.036906,0.0117,276.2691823,-5.1740004,0.596667,,16.0685,0.0128,,False,True,True,bulk_1.0.0,0.0,5.7633362091501504e+17,14.521494,100.0,0.008638029,t8_f5_c3,ZTF18abapllr
ztf,58303.399166699965,549399160915015015,1,549399160915,19.9403,1,549,0.266306,19.2357,19.1702,0.134769,0.1696,276.2690756,-5.1739319,0.71,,19.1687,0.2157,,False,True,False,bulk_1.0.0,0.0,5.7633362091501504e+17,17.703516,0.030245401,0.032863703,t8_f5_c3,ZTF18abapllr
ztf,58304.29515049979,550295150915015026,1,550295150915,20.7516,1,550,0.096558,19.0972,19.0704,0.10882,0.0821,276.2691718,-5.1739063,0.746667,,18.9601,0.0926,,False,True,False,bulk_1.0.0,0.0,5.7633362091501504e+17,17.66808,0.026392758,0.029178318,t8_f5_c3,ZTF18abapllr
ztf,58305.294386600144,551294380915015054,1,551294380915,20.4681,1,551,0.049411,18.8274,18.826,0.088591,0.0747,276.2691513,-5.1739097,0.78,,18.8041,0.0913,,False,True,False,bulk_1.0.0,0.0,5.7633362091501504e+17,17.588913,0.025843121,0.02831357,t8_f5_c3,ZTF18abapllr
ztf,58305.3562384001,551356230915015024,2,551356230915,19.8658,1,551,0.59538,15.9784,16.8056,0.016232,0.0221,276.2692263,-5.1740305,0.593333,,16.4246,0.0196,,False,True,True,bulk_1.0.0,0.0,5.7633362091501504e+17,14.492247,100.0,0.004129624,t8_f5_c3,ZTF18abapllr
ztf,58305.3562384001,551356230915015027,2,551356230915,19.8658,1,551,0.328912,16.0177,15.9525,0.039634,0.012,276.2691542,-5.1739775,0.793333,,15.9299,0.0135,,False,True,True,bulk_1.0.0,0.0,5.7633362091501504e+17,14.5021105,100.0,0.009813685,t8_f5_c3,ZTF18abapllr
ztf,58307.314930600114,553314930915015078,1,553314930915,20.727,1,553,0.10529,18.6047,18.7078,0.098084,0.0702,276.2691488,-5.1739312,0.783333,,18.8506,0.0991,,False,True,False,bulk_1.0.0,0.0,5.7633362091501504e+17,17.512655,0.034215312,0.03587402,t8_f5_c3,ZTF18abapllr
