tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,rbversion,oid
ztf,58290.40190970013,536401903015015001,1,536401903015,20.94947,1,536,8.8622675,19.560915,19.5463,0.12524945,0.1107,278.6708358,17.8796373,0.48333332,0.0,19.4309,0.1268,589120130.0,False,False,False,bulk_1.0.0,0.0,5.39413193015015e+17,,,,,ZTF18abcogyz
ztf,58293.41319439979,539413193015015001,1,539413193015,20.116598,1,539,9.080357,19.620255,19.6004,0.18594718,0.2135,278.6707614,17.8796134,0.34666666,0.0,19.7216,0.3059,589120130.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,,ZTF18abcogyz
ztf,58638.29665509984,884296653015015002,2,884296653015,20.563848,1,884,0.8841767,19.58196,19.8146,0.1591189,0.2052,278.670828,17.8796776,0.7271429,0.0,19.907,0.2861,589120230.0,False,True,False,bulk_1.0.0,0.0,8.84374233015015e+17,19.529436,0.15077674,0.15160447,t17_f5_c3,ZTF18abcogyz
ztf,58638.37423609989,884374233015015003,1,884374233015,20.88325,1,884,8.844911,19.741718,19.7089,0.1251368,0.1322,278.6708448,17.8796508,0.88,0.0,19.8358,0.1891,589120130.0,False,False,False,bulk_1.0.0,0.0,8.87399753015015e+17,,,,t17_f5_c3,ZTF18abcogyz
ztf,58641.399756900035,887399753015015003,2,887399753015,20.655882,1,887,0.7561427,19.706308,19.8281,0.14782698,0.1856,278.67085,17.8796469,0.75714284,0.0,19.783,0.2283,589120230.0,True,True,False,bulk_1.0.0,0.0,0.0,19.64758,0.13892798,0.14004329,t17_f5_c3,ZTF18abcogyz
ztf,59250.5573148001,1496557313015015003,2,1496557313015,19.8255,1,1496,0.582211,19.9995,20.3621,0.239253,0.5477,278.6708304,17.8795475,0.558571,,20.2765,0.65,,False,True,False,correction_0.0.1,0.0,,19.923191,0.22185293,0.22301494,t17_f5_c3,ZTF18abcogyz
ztf,59250.560324099846,1496560323015015005,2,1496560323015,19.891586,1,1496,0.9188085,19.793484,20.4221,0.20521313,0.5852,278.6708608,17.8797091,0.6028572,0.99997425,20.4194,0.7502,589120230.0,True,True,False,correction_0.0.1,0.0,,19.729986,0.19261801,0.19355579,t17_f5_c3,ZTF18abcogyz
ztf,59251.55854169978,1497558543015015002,2,1497558543015,19.6892,1,1497,0.57609,19.7347,19.7138,0.226609,0.3052,278.6708834,17.8796039,0.427143,,19.6256,0.3613,,False,True,False,correction_0.0.1,0.0,,19.674458,0.2136142,0.21437806,t17_f5_c3,ZTF18abcogyz
ztf,59251.561481500044,1497561483015015001,2,1497561483015,19.6868,1,1497,0.425264,19.7674,19.8238,0.299231,0.3525,278.6709196,17.8795812,0.595714,,19.6935,0.4019,,False,True,False,correction_0.0.1,0.0,,19.705368,0.282001,0.28261393,t17_f5_c3,ZTF18abcogyz
ztf,59252.5477661998,1498547763015015012,2,1498547763015,20.2641,1,1498,0.932453,19.686,19.8824,0.224224,0.2853,278.6707736,17.8796443,0.632857,,20.0449,0.4252,,False,True,False,correction_0.0.1,0.0,,19.628332,0.2119178,0.21262515,t17_f5_c3,ZTF18abcogyz
ztf,59252.55072919978,1498550723015015003,2,1498550723015,20.526655,1,1498,0.78763056,19.768286,20.1084,0.15005283,0.2948,278.6708383,17.8796483,0.6342857,0.9999999,20.2427,0.4281,589120230.0,True,True,False,correction_0.0.1,0.0,,19.706203,0.14048532,0.1417136,t17_f5_c3,ZTF18abcogyz
ztf,59252.55368060013,1498553683015015002,2,1498553683015,20.444874,1,1498,0.780752,19.59923,19.8968,0.1603474,0.2569,278.6708131,17.8796258,0.7,0.99999535,19.9138,0.3349,589120230.0,True,True,False,correction_0.0.1,0.0,,19.545883,0.15181205,0.15265937,t17_f5_c3,ZTF18abcogyz
ztf,59252.55665510008,1498556653015015006,2,1498556653015,20.42304,1,1498,1.0862399,19.747458,19.7104,0.1625305,0.22,278.6707705,17.8797054,0.6557143,0.9996097,19.626,0.2611,589120230.0,True,True,False,correction_0.0.1,0.0,,19.686523,0.15256847,0.15366007,t17_f5_c3,ZTF18abcogyz
ztf,59252.55961810006,1498559613015015003,2,1498559613015,20.457481,1,1498,0.7915969,19.707628,19.8656,0.15177526,0.2523,278.6708221,17.8796344,0.67,0.99999297,19.7133,0.2813,589120230.0,True,True,False,correction_0.0.1,0.0,,19.64883,0.14268582,0.14377446,t17_f5_c3,ZTF18abcogyz
ztf,59253.5485069002,1499548503015015001,2,1499548503015,20.153088,1,1499,0.7797164,19.844082,20.0267,0.17028625,0.3402,278.6708338,17.8796441,0.68857145,0.9999949,19.8706,0.3784,589120230.0,True,True,False,correction_0.0.1,0.0,,19.777647,0.15893993,0.16017888,t17_f5_c3,ZTF18abcogyz
ztf,59253.55145830009,1499551453015015003,2,1499551453015,20.244087,1,1499,0.8421754,19.886122,19.8138,0.16428751,0.269,278.6708105,17.8796458,0.6357143,0.9987657,19.5161,0.2628,589120230.0,True,True,False,correction_0.0.1,0.0,,19.817144,0.1527897,0.15417491,t17_f5_c3,ZTF18abcogyz
ztf,59253.55442130007,1499554423015015002,2,1499554423015,20.0246,1,1499,0.672505,20.03,20.0647,0.238699,0.363,278.6708667,17.8796315,0.585714,,19.8271,0.3747,,False,True,False,correction_0.0.1,0.0,,19.951595,0.22083929,0.22206914,t17_f5_c3,ZTF18abcogyz
