tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,rbversion,oid
ztf,58259.44693290023,505446935115010021,2,505446935115,20.4214,-1,505,1.47971,19.0579,19.3813,0.089019,0.1644,310.5501112,35.8708008,0.343333,19.564,0.2428,False,False,True,bulk_1.0.0,0.0,5.29384535115015e+17,,,,,,,ZTF18abakknj
ztf,58274.337835600134,520337835115015009,2,520337835115,20.3833,1,520,0.381739,19.0961,19.3215,0.092378,0.1631,310.5498914,35.8710515,0.653333,19.4654,0.2321,False,True,True,bulk_1.0.0,0.0,5.28456755115015e+17,16.731468,100.0,0.010464433,,,,ZTF18abakknj
ztf,58275.40392359998,521403925115015010,2,521403925115,20.482,1,521,0.29474,18.9236,18.9445,0.07443,0.1067,310.5498179,35.8710832,0.79,18.933,0.1308,False,True,True,bulk_1.0.0,0.0,5.28456755115015e+17,16.710493,100.0,0.009694057,,,,ZTF18abakknj
ztf,58277.399803199805,523399805115015026,2,523399805115,20.7205,1,523,0.324337,19.2153,19.3297,0.087522,0.1305,310.5498478,35.871068,0.563333,19.12,0.1318,False,True,True,bulk_1.0.0,0.0,5.28456755115015e+17,16.744331,100.0,0.008989385,,,,ZTF18abakknj
ztf,58278.44418979995,524444185115015026,2,524444185115,20.7854,1,524,0.183245,18.7732,18.8814,0.057151,0.0832,310.5498321,35.8711061,0.703333,18.9319,0.1058,False,True,True,bulk_1.0.0,0.0,5.28456755115015e+17,16.689684,100.0,0.008387212,,,,ZTF18abakknj
ztf,58279.40621529985,525406215115015007,2,525406215115,20.4241,1,525,0.171975,18.905,18.8634,0.075037,0.0991,310.5498131,35.8711245,0.62,18.9725,0.1354,False,True,True,bulk_1.0.0,0.0,5.28456755115015e+17,16.708054,100.0,0.009919648,,,,ZTF18abakknj
ztf,58280.363344899844,526363345115015010,2,526363345115,20.738,1,526,0.285368,18.6542,18.7156,0.052313,0.0744,310.5499115,35.8710959,0.673333,18.6535,0.0856,False,True,True,bulk_1.0.0,0.0,5.5633819511501504e+17,16.671381,100.0,0.008423305,,,,ZTF18abakknj
ztf,58281.44811340002,527448115115015039,2,527448115115,20.8216,1,527,0.09214,18.6715,18.5946,0.051358,0.0632,310.5498292,35.8711464,0.53,18.5391,0.0728,False,True,True,bulk_1.0.0,0.0,5.5633819511501504e+17,16.674149,100.0,0.0081595825,,,,ZTF18abakknj
ztf,58282.45675930008,528456755115015005,2,528456755115,20.38951,1,528,0.10010931,18.398232,18.457,0.051505987,0.0732,310.54982,35.8711646,0.6166667,18.4457,0.0893,False,True,True,bulk_1.0.0,0.0,5.5633819511501504e+17,16.62587,100.0,0.010067304,0.0,687120251.0,,ZTF18abakknj
ztf,58283.38453700021,529384535115015007,2,529384535115,20.631096,1,529,0.14259045,18.369745,18.424,0.042228084,0.0601,310.5498605,35.8711183,0.7033333,18.3436,0.0682,False,True,True,bulk_1.0.0,0.0,5.5633819511501504e+17,16.620243,100.0,0.008429475,0.0,687120251.0,,ZTF18abakknj
