tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,oid
ztf,59319.38871529978,1565388715715015006,2,1565388715715,20.04357,1,1565,2.7455435,19.163036,19.0739,0.15159807,0.1098,241.4869352,14.6783625,0.5542857,t17_f5_c3,19.0304,0.1346,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59319.43541669985,1565435415715015004,1,1565435415715,20.496315,1,1565,3.636138,19.163946,19.0593,0.0998658,0.086,241.4869757,14.6784457,0.86142856,t17_f5_c3,19.0825,0.1113,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59322.310648099985,1568310645715015012,2,1568310645715,20.154663,1,1568,2.497011,19.147015,19.1766,0.13693404,0.1434,241.486963,14.6784479,0.87714285,t17_f5_c3,19.1508,0.1787,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59322.353703700006,1568353705715015006,1,1568353705715,20.63891,1,1568,3.5273573,19.216936,19.3521,0.10186138,0.1155,241.4870075,14.6784555,0.93,t17_f5_c3,19.3131,0.1416,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59324.33859949978,1570338595715015007,2,1570338595715,20.299536,1,1570,2.5750031,19.356258,19.3172,0.12408547,0.1583,241.4869448,14.6784369,0.92,t17_f5_c3,19.2977,0.1987,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59324.33859949978,1570338595715035007,2,1570338595715,20.2995,1,1570,2.575,19.3563,19.3172,0.124085,0.1583,241.4869448,14.6784369,0.92,t17_f5_c3,19.2977,0.1987,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59324.33859949978,1570338595715065007,2,1570338595715,20.2995,1,1570,2.575,19.3563,19.3172,0.124085,0.1583,241.4869448,14.6784369,0.92,t17_f5_c3,19.2977,0.1987,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59324.380335600115,1570380335715015006,1,1570380335715,20.541103,1,1570,3.457469,19.25131,19.2603,0.13480408,0.1106,241.4870375,14.6784591,0.8542857,t17_f5_c3,19.1546,0.1277,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59328.283749999944,1574283755715015004,2,1574283755715,19.65791,1,1574,2.4311044,19.025585,19.114,0.14069742,0.2366,241.4870152,14.6784064,0.91571426,t17_f5_c3,19.0723,0.2921,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59328.32981480006,1574329815715015031,1,1574329815715,19.561108,1,1574,3.631333,19.262074,19.0647,0.20936567,0.2205,241.487026,14.6784075,0.7271429,t17_f5_c3,18.9299,0.2499,True,False,False,correction_0.0.1,0.0,0.9999997,533120157.0,ZTF21aarjehy
ztf,59334.37684029993,1580376845715015009,2,1580376845715,19.9786,1,1580,2.46775,19.2553,19.3159,0.141864,0.2198,241.486994,14.6784118,0.902857,t17_f5_c3,19.2515,0.2656,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59334.45072920015,1580450725715015005,1,1580450725715,19.7461,1,1580,3.43764,19.4118,19.8577,0.14626,0.3917,241.4870471,14.6784619,0.652857,t17_f5_c3,19.9555,0.5497,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59336.374826400075,1582374825715015008,2,1582374825715,20.342607,1,1582,2.5223126,19.274776,19.3084,0.12148734,0.159,241.4869696,14.678424,0.8814286,t17_f5_c3,19.4448,0.2302,True,False,False,correction_0.0.1,0.0,0.99999934,533120257.0,ZTF21aarjehy
ztf,59336.374826400075,1582374825715025008,2,1582374825715,20.3426,1,1582,2.52231,19.2748,19.3084,0.121487,0.159,241.4869696,14.678424,0.881429,t17_f5_c3,19.4448,0.2302,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59336.374826400075,1582374825715035008,2,1582374825715,20.3426,1,1582,2.52231,19.2748,19.3084,0.121487,0.159,241.4869696,14.678424,0.881429,t17_f5_c3,19.4448,0.2302,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59336.416562499944,1582416565715015005,1,1582416565715,20.172077,1,1582,3.581041,19.34975,19.3958,0.13545068,0.1806,241.4869904,14.6784479,0.91,t17_f5_c3,19.2741,0.2067,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59336.416562499944,1582416565715025005,1,1582416565715,20.1721,1,1582,3.58104,19.3498,19.3958,0.135451,0.1806,241.4869904,14.6784479,0.91,t17_f5_c3,19.2741,0.2067,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59336.416562499944,1582416565715035005,1,1582416565715,20.1721,1,1582,3.58104,19.3498,19.3958,0.135451,0.1806,241.4869904,14.6784479,0.91,t17_f5_c3,19.2741,0.2067,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59339.33572919993,1585335725715015007,2,1585335725715,20.633488,1,1585,2.487884,19.248423,19.1592,0.112716995,0.1111,241.4869653,14.6784485,0.94285715,t17_f5_c3,19.0871,0.1322,True,False,False,correction_0.0.1,0.0,0.99999976,533120257.0,ZTF21aarjehy
ztf,59339.360902800225,1585360905715015010,1,1585360905715,20.792097,1,1585,3.5057838,19.628004,19.7215,0.124097176,0.1548,241.4869978,14.6784733,0.87142855,t17_f5_c3,19.7564,0.2034,True,False,False,correction_0.0.1,0.0,0.9999999,533120157.0,ZTF21aarjehy
ztf,59341.31913190009,1587319135715015008,1,1587319135715,20.825722,1,1587,3.5828724,19.65841,19.781,0.115308635,0.1493,241.4870168,14.678432,0.8957143,t17_f5_c3,19.8667,0.2052,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59341.39989579981,1587399895715015014,2,1587399895715,20.324677,1,1587,2.3660512,19.25279,19.3592,0.13288043,0.1298,241.4869891,14.6784782,0.86714286,t17_f5_c3,19.2829,0.1542,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59343.38427079981,1589384275715015007,1,1589384275715,20.766611,1,1589,3.6497698,19.656267,19.6472,0.1453377,0.1443,241.4869622,14.6784503,0.8742857,t17_f5_c3,19.5274,0.1645,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59345.33979169978,1591339795715015012,2,1591339795715,20.626875,1,1591,2.4958274,19.294668,19.2193,0.13835587,0.1186,241.4869531,14.6784609,0.8857143,t17_f5_c3,18.9972,0.1232,True,False,False,correction_0.0.1,0.0,0.99999964,533120257.0,ZTF21aarjehy
ztf,59345.39410880022,1591394105715015007,1,1591394105715,20.672422,1,1591,3.543352,19.745193,19.6756,0.15446497,0.1542,241.4870083,14.6784484,0.8842857,t17_f5_c3,19.5999,0.1832,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59349.33677079994,1595336775715015012,2,1595336775715,20.6901,1,1595,2.540411,19.370352,19.3793,0.115691945,0.1274,241.4869601,14.6784296,0.91714287,t17_f5_c3,19.27,0.1467,True,False,False,correction_0.0.1,0.0,0.9999995,533120257.0,ZTF21aarjehy
ztf,59349.35820600018,1595358205715015015,1,1595358205715,21.004103,1,1595,3.6220324,19.772978,19.719,0.14414392,0.1246,241.486995,14.6784301,0.8157143,t17_f5_c3,19.7758,0.1662,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59352.29923610017,1598299235715015009,2,1598299235715,20.360577,1,1598,2.5794935,19.46273,19.4304,0.15319426,0.1553,241.4869488,14.6784263,0.8528572,t17_f5_c3,19.5236,0.2158,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59352.342453700025,1598342455715015009,1,1598342455715,20.768732,1,1598,3.5893137,19.90107,19.8163,0.1558995,0.1503,241.4870246,14.6784225,0.8214286,t17_f5_c3,19.8824,0.2027,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59354.38163190009,1600381635715015012,1,1600381635715,20.490406,1,1600,3.604591,19.876356,19.6919,0.16656661,0.1533,241.486965,14.678467,0.47714287,t17_f5_c3,19.5873,0.1775,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59354.39994210005,1600399945715015010,2,1600399945715,20.51363,1,1600,2.516004,19.358788,19.3964,0.15647827,0.1337,241.486983,14.6784059,0.8742857,t17_f5_c3,19.3692,0.1661,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59358.31540510012,1604315405715015003,2,1604315405715,19.4685,1,1604,2.85812,19.3188,19.2687,0.233927,0.3176,241.486858,14.6784211,0.678571,t17_f5_c3,19.441,0.4777,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59361.3289005002,1607328905715015005,1,1607328905715,19.436,1,1607,3.43745,19.6767,19.6835,0.295846,0.4993,241.4870106,14.678488,0.411429,t17_f5_c3,20.0777,0.9215,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59361.374884299934,1607374885715015005,2,1607374885715,19.5508,1,1607,2.54175,19.4927,19.2675,0.233394,0.3236,241.486947,14.6784493,0.634286,t17_f5_c3,18.979,0.3189,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59363.357800900005,1609357805715015008,2,1609357805715,20.092669,1,1609,2.503225,19.52707,19.6021,0.13679674,0.2648,241.4869408,14.6784787,0.8585714,t17_f5_c3,19.6568,0.3569,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59365.33283559978,1611332835715015009,1,1611332835715,20.45808,1,1611,3.5519693,19.924053,20.5062,0.16996926,0.4062,241.4870077,14.6784451,0.8242857,t17_f5_c3,20.0641,0.3467,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59365.33866900019,1611338665715015009,2,1611338665715,20.285696,1,1611,2.4358444,19.456375,19.3635,0.12844211,0.1708,241.4869973,14.6784227,0.9128571,t17_f5_c3,19.4613,0.2387,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59367.29434029991,1613294345715015009,1,1613294345715,20.66825,1,1613,3.5532598,20.059443,20.0685,0.16154422,0.2352,241.4870039,14.6784474,0.85571426,t17_f5_c3,20.0212,0.2875,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59367.339282399975,1613339285715015008,2,1613339285715,20.47683,1,1613,2.4169433,19.49111,19.697,0.16045971,0.2008,241.4869769,14.6784692,0.84,t17_f5_c3,19.5234,0.2188,True,False,False,correction_0.0.1,0.0,0.9999979,533120257.0,ZTF21aarjehy
ztf,59369.31571759982,1615315715715015014,2,1615315715715,20.67828,1,1615,2.4733872,19.524588,19.4245,0.16532819,0.1323,241.4869684,14.6784496,0.8142857,t17_f5_c3,19.44,0.1708,True,False,False,correction_0.0.1,0.0,0.9999999,533120257.0,ZTF21aarjehy
ztf,59369.37056710012,1615370565715015008,1,1615370565715,20.722729,1,1615,3.682785,20.021769,19.8263,0.15304455,0.1813,241.4869582,14.6784425,0.71428573,t17_f5_c3,19.7057,0.2071,True,False,False,correction_0.0.1,0.0,0.9999996,533120157.0,ZTF21aarjehy
ztf,59371.318935200106,1617318935715015015,2,1617318935715,20.750269,1,1617,2.4958725,19.521868,19.6554,0.1186037,0.1608,241.4869558,14.6784625,0.8742857,t17_f5_c3,19.8485,0.2442,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59371.368217600044,1617368215715015004,1,1617368215715,20.812819,1,1617,3.4387305,19.999264,20.0547,0.14796636,0.1964,241.4870562,14.6784517,0.8585714,t17_f5_c3,20.0566,0.2506,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59375.29049770022,1621290495715015004,1,1621290495715,20.617115,1,1621,3.7833633,20.140068,19.7699,0.18719295,0.1696,241.4870298,14.6783318,0.47285715,t17_f5_c3,19.6291,0.1901,True,False,False,correction_0.0.1,0.0,0.9999999,533120157.0,ZTF21aarjehy
ztf,59375.38109950023,1621381095715015007,2,1621381095715,20.25749,1,1621,2.4921606,19.479576,19.4765,0.16881189,0.1754,241.4869657,14.6784466,0.87142855,t17_f5_c3,19.5055,0.2302,True,False,False,correction_0.0.1,0.0,0.99999994,533120257.0,ZTF21aarjehy
ztf,59377.26938659977,1623269385715015007,2,1623269385715,20.589064,1,1623,2.4937463,19.517254,19.4622,0.14196682,0.1484,241.4869775,14.6784282,0.8971428,t17_f5_c3,19.3933,0.1778,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59379.29604170006,1625296045715015009,1,1625296045715,20.5126,1,1625,3.60457,20.1707,19.7085,0.217545,0.1873,241.4869744,14.6784577,0.431429,t17_f5_c3,19.7162,0.2409,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59379.35945599992,1625359455715015009,2,1625359455715,20.51506,1,1625,2.4624765,19.550596,19.6979,0.16691308,0.1977,241.4869652,14.6784646,0.74714285,t17_f5_c3,19.6704,0.2465,True,False,False,correction_0.0.1,0.0,0.99999857,533120257.0,ZTF21aarjehy
ztf,59381.29600689979,1627296005715015005,1,1627296005715,20.0948,1,1627,3.43614,20.3396,20.5197,0.312942,0.5972,241.4869458,14.6785444,0.63,t17_f5_c3,20.4514,0.7192,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59383.212233799975,1629212235715015021,2,1629212235715,19.926275,1,1629,2.421053,19.535406,19.2007,0.1725547,0.2265,241.4870033,14.6784293,0.61714286,t17_f5_c3,19.2658,0.3082,True,False,False,correction_0.0.1,0.0,0.9999943,533120257.0,ZTF21aarjehy
ztf,59385.270393500105,1631270395715015006,2,1631270395715,19.9788,1,1631,2.40166,19.6665,19.8019,0.219904,0.3618,241.486969,14.6784938,0.682857,t17_f5_c3,20.1092,0.6157,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59387.23241900001,1633232415715015007,2,1633232415715,19.5191,1,1633,2.43158,19.604,19.3141,0.28823,0.3833,241.4869533,14.678503,0.481429,t17_f5_c3,19.4798,0.5739,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59391.27511569997,1637275115715015005,2,1637275115715,19.865458,1,1637,2.6856208,19.687029,19.3731,0.21175854,0.2558,241.4869239,14.6784085,0.50285715,t17_f5_c3,19.4782,0.3613,True,False,False,correction_0.0.1,0.0,0.9999758,533120257.0,ZTF21aarjehy
ztf,59393.23268519994,1639232685715015019,2,1639232685715,20.610445,1,1639,2.4272041,19.812965,19.7694,0.16844374,0.1964,241.4869916,14.6784412,0.5942857,t17_f5_c3,19.7078,0.2369,True,False,False,correction_0.0.1,0.0,0.9999999,533120257.0,ZTF21aarjehy
ztf,59393.275648099836,1639275645715015008,1,1639275645715,20.1658,1,1639,3.614,20.3457,20.1963,0.321615,0.3878,241.4870185,14.6784225,0.561429,t17_f5_c3,20.0321,0.4272,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59395.295023099985,1641295025715015004,2,1641295025715,18.9167,1,1641,2.257,19.5108,19.35,0.334496,0.6069,241.4870249,14.6784807,0.525714,t17_f5_c3,19.844,1.228,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59397.252743099816,1643252745715015010,1,1643252745715,20.646082,1,1643,3.6210318,20.408297,20.3032,0.18200497,0.2822,241.4869454,14.6784082,0.78,t17_f5_c3,20.3386,0.3728,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59400.29690970015,1646296905715015006,1,1646296905715,20.687155,1,1646,3.5033722,20.431503,20.4655,0.19923602,0.331,241.4869955,14.6784744,0.7985714,t17_f5_c3,20.4892,0.4324,True,False,False,correction_0.0.1,0.0,0.99999833,533120157.0,ZTF21aarjehy
ztf,59402.24929400021,1648249295715015006,2,1648249295715,20.5462,1,1648,2.5201561,19.868261,20.1702,0.18684754,0.2916,241.4869736,14.6784188,0.76857144,t17_f5_c3,20.4601,0.4865,True,False,False,correction_0.0.1,0.0,0.99999404,533120257.0,ZTF21aarjehy
ztf,59404.211666699965,1650211665715015008,2,1650211665715,20.537962,1,1650,2.5362937,19.90726,19.8692,0.1714267,0.2329,241.4869769,14.6784074,0.6842857,t17_f5_c3,19.7813,0.2747,True,False,False,correction_0.0.1,0.0,0.99999964,533120257.0,ZTF21aarjehy
