tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,oid
ztf,59303.38894680003,1549388945715015007,1,1549388945715,19.2825,1,1549,3.04812,19.8214,19.9937,0.325502,0.7504,241.4870781,14.6785732,0.534286,t17_f5_c3,19.4785,0.6001,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
ztf,59306.42004630016,1552420045715015003,1,1552420045715,19.923132,1,1552,3.418536,19.11331,19.0498,0.14411667,0.1706,241.4870506,14.6784638,0.83285713,t17_f5_c3,19.0703,0.2228,True,False,False,correction_0.0.1,0.0,0.99999845,533120157.0,ZTF21aarjehy
ztf,59306.47562499996,1552475625715015008,2,1552475625715,20.14078,1,1552,2.4662142,19.442507,19.4824,0.14872098,0.2487,241.4869753,14.6784425,0.81142855,t17_f5_c3,19.4948,0.3225,True,False,False,correction_0.0.1,0.0,0.9999801,533120257.0,ZTF21aarjehy
ztf,59308.38010419998,1554380105715015006,1,1554380105715,20.43032,1,1554,3.60327,19.154938,19.303,0.13100263,0.1185,241.4869817,14.6784528,0.8914286,t17_f5_c3,19.3433,0.1563,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59308.45755789988,1554457555715015012,2,1554457555715,20.500973,1,1554,2.4529264,19.363516,19.2895,0.11730298,0.1432,241.4869662,14.6784681,0.9085714,t17_f5_c3,19.2507,0.1764,True,False,False,correction_0.0.1,0.0,0.9999993,533120257.0,ZTF21aarjehy
ztf,59310.42150459997,1556421505715015005,1,1556421505715,20.817814,1,1556,3.6222157,19.144728,19.1061,0.10598203,0.0802,241.4869861,14.6784389,0.87142855,t17_f5_c3,19.0561,0.0967,True,False,False,correction_0.0.1,0.0,1.0,533120157.0,ZTF21aarjehy
ztf,59310.44380789995,1556443805715015010,2,1556443805715,20.305475,1,1556,2.5261378,19.381102,19.3576,0.15704677,0.1721,241.4869536,14.6784453,0.87857145,t17_f5_c3,19.4455,0.2382,True,False,False,correction_0.0.1,0.0,1.0,533120257.0,ZTF21aarjehy
ztf,59312.400011599995,1558400015715015012,2,1558400015715,20.379477,1,1558,2.4842017,19.233456,19.2125,0.12343609,0.131,241.4869786,14.6784306,0.91,t17_f5_c3,19.246,0.1723,True,False,False,correction_0.0.1,0.0,0.9999995,533120257.0,ZTF21aarjehy
ztf,59312.42053239979,1558420535715015004,1,1558420535715,20.532444,1,1558,3.4621933,19.102749,19.1336,0.11498163,0.0939,241.4870186,14.6784731,0.8042857,t17_f5_c3,19.1153,0.1172,True,False,False,correction_0.0.1,0.0,0.9999989,533120157.0,ZTF21aarjehy
ztf,59315.47920140019,1561479205715015005,1,1561479205715,18.6737,1,1561,3.35181,19.0215,19.2338,0.331259,0.6442,241.4868929,14.6786341,0.35,t17_f5_c3,19.4914,1.0492,False,False,False,correction_0.0.1,0.0,,,ZTF21aarjehy
