tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,oid
ztf,59248.56700230017,1494567003315015004,2,1494567003315,19.3589,1,1494,0.554036,16.2396,14.821144,16.2914,0.055771,0.01112821,0.015101725,0.0233,290.4126082,6.2485011,0.832857,t17_f5_c3,16.3038,0.0294,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
ztf,59248.56938660005,1494569383315015006,2,1494569383315,18.9906,1,1494,0.439327,16.2944,14.835712,16.3059,0.05848,0.01121536,0.01525923,0.0274,290.4125716,6.2485149,0.742857,t17_f5_c3,16.2701,0.0334,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
ztf,59248.57177079981,1494571773315015004,2,1494571773315,18.995,1,1494,0.342767,16.3012,14.837483,16.3037,0.047586,0.006733609,0.012359249,0.0303,290.4125599,6.2485394,0.894286,t17_f5_c3,16.2646,0.0368,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
ztf,59249.56340279989,1495563403315015004,2,1495563403315,19.0957,1,1495,0.435102,16.1981,14.80975,16.27,0.064068,0.014699266,0.01783616,0.024,290.4125279,6.248494,0.84,t17_f5_c3,16.2509,0.0294,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
ztf,59249.565787000116,1495565783315015009,2,1495565783315,18.9322,1,1495,0.977758,16.2395,14.821117,16.2763,0.04611,0.0071898433,0.012486542,0.0262,290.4127387,6.2484753,0.747143,t17_f5_c3,16.3174,0.0341,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
ztf,59249.568171299994,1495568173315015006,2,1495568173315,18.8518,1,1495,0.819587,16.2228,14.816569,16.2742,0.05215,0.010029964,0.014281127,0.0279,290.4126529,6.2484405,0.802857,t17_f5_c3,16.2703,0.0351,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
ztf,59249.57056709984,1495570563315015006,2,1495570563315,18.7339,1,1495,0.466385,16.2724,14.829929,16.2826,0.047945,0.0074383128,0.012698574,0.0325,290.4126095,6.2485412,0.857143,t17_f5_c3,16.2548,0.0402,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
ztf,59250.563252300024,1496563253315015006,2,1496563253315,18.9915,1,1496,1.20446,16.2973,14.836469,16.83,0.028427,100.0,0.0074028396,0.0413,290.4126822,6.2483272,0.521429,t17_f5_c3,16.58,0.0415,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
ztf,59250.563252300024,1496563253315015007,2,1496563253315,18.9915,1,1496,1.15486,16.4047,14.86343,16.2758,0.071556,0.013665624,0.01730368,0.0251,290.4126613,6.248331,0.704286,t17_f5_c3,16.252,0.0308,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
ztf,59250.565624999814,1496565623315015006,2,1496565623315,18.8981,1,1496,1.02051,16.262,14.827165,16.9882,0.061138,0.012670243,0.016307125,0.051,290.4127615,6.2484931,0.438571,t17_f5_c3,16.8479,0.0569,False,True,False,correction_0.0.1,0.0,,,ZTF21aanfecq
