tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,drb,rfid,oid
ztf,58307.3587962999,553358791115015034,2,553358791115,20.577,1,553,0.180032,20.3686,19.906902,20.3653,0.24889,0.15966281,0.16267784,0.3373,284.04448,8.3183344,0.526667,20.6133,0.5433,False,True,False,bulk_1.0.0,0.0,5.613352011150152e+17,,,,ZTF18abhejii
ztf,58310.38365740003,556383651115015021,2,556383651115,20.0126,1,556,0.146372,20.077,19.707705,20.5364,0.257121,0.18113744,0.1829867,0.4689,284.044475,8.3183476,0.37,20.1128,0.4085,False,True,False,bulk_1.0.0,0.0,5.613352011150152e+17,,,,ZTF18abhejii
ztf,58314.416284699924,560416281115015151,2,560416281115,20.411,1,560,0.137654,20.3024,19.86318,20.4784,0.254868,0.16741282,0.17006972,0.4431,284.0444662,8.318332,0.45,20.9301,0.8612,False,True,False,bulk_1.0.0,0.0,5.90173501115015e+17,t8_f5_c3,,,ZTF18abhejii
ztf,58315.335208300035,561335201115015169,2,561335201115,20.612013,1,561,0.15102147,20.342623,19.889853,20.0595,0.18746856,0.11967136,0.12354373,0.263,284.0444675,8.3183284,0.42333335,20.2556,0.4037,False,True,False,bulk_1.0.0,0.0,5.90173501115015e+17,,0.0,539120211.0,ZTF18abhejii
ztf,58318.33857640019,564338571115015073,2,564338571115,20.67646,1,564,0.08792811,20.157564,19.764421,20.3361,0.17245615,0.11691198,0.120066345,0.2914,284.0444505,8.3183687,0.53,20.4192,0.4034,False,True,False,bulk_1.0.0,0.0,5.94214061115015e+17,t8_f5_c3,0.0,539120211.0,ZTF18abhejii
ztf,58319.274745400064,565274741115015075,2,565274741115,20.3475,1,565,0.457075,20.3523,19.896221,20.0126,0.240942,0.15526092,0.15829998,0.3038,284.0445482,8.3182946,0.32,20.0164,0.3911,False,True,False,bulk_1.0.0,0.0,5.94214061115015e+17,t8_f5_c3,,,ZTF18abhejii
ztf,58321.34745369991,567347451115015109,2,567347451115,20.2019,1,567,0.082188,20.521,20.004059,19.7223,0.319748,0.19567594,0.19862379,0.2743,284.044449,8.3183704,0.22,19.6527,0.3305,False,True,False,bulk_1.0.0,0.0,5.94214061115015e+17,t8_f5_c3,,,ZTF18abhejii
ztf,58322.3567476999,568356741115015136,2,568356741115,20.1945,1,568,0.267859,20.1759,19.777153,20.0127,0.226007,0.15407561,0.15653929,0.3553,284.0444768,8.3184155,0.383333,20.137,0.5116,False,True,False,bulk_1.0.0,0.0,5.94214061115015e+17,t8_f5_c3,,,ZTF18abhejii
ztf,58323.25190970022,569251901115015089,2,569251901115,19.874,1,569,0.290796,20.2231,19.809626,20.1349,0.277041,0.18714347,0.18930164,0.5664,284.0445152,8.3183326,0.32,20.0899,0.6982,False,True,False,bulk_1.0.0,0.0,5.94214061115015e+17,t8_f5_c3,,,ZTF18abhejii
ztf,58324.23087960016,570230871115015015,2,570230871115,19.227,1,570,0.737778,19.6581,19.393944,19.5986,0.275078,0.21479404,0.21567164,0.536,284.0445568,8.3185164,0.353333,19.6886,0.7481,False,True,False,bulk_1.0.0,0.0,5.94214061115015e+17,t8_f5_c3,,,ZTF18abhejii
