tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,60351.39097219985,2597390974315015007,1,2597390974315,20.319471,1,2597,2.6749203,17.279469,17.2768,0.04452025,0.0249,217.7256619,40.7142337,0.9071429,t17_f5_c3,0.9999303,17.2588,0.0302,719120143,True,False,False,23.12.x,0.0,,,,ZTF24aaejrzs
ztf,60353.432187499944,2599432184315015011,1,2599432184315,20.730082,1,2599,2.656112,17.34936,17.3676,0.035556477,0.0228,217.7256736,40.714239,0.8971428,t17_f5_c3,0.99999565,17.3497,0.0274,719120143,True,False,False,23.12.x,0.0,,,,ZTF24aaejrzs
ztf,60355.51181709999,2601511814315015012,1,2601511814315,20.745205,1,2601,2.681268,17.36707,17.3907,0.04427827,0.0218,217.7256639,40.7142403,0.91,t17_f5_c3,0.99999416,17.3686,0.026,719120143,True,False,False,23.12.x,0.0,,,,ZTF24aaejrzs
ztf,60363.410717600025,2609410714315015003,1,2609410714315,19.104855,1,2609,2.6541402,17.707573,17.7248,0.08055558,0.0967,217.7256695,40.7142319,0.94,t17_f5_c3,0.99999297,17.8479,0.1385,719120143,True,False,False,23.12.x,0.0,,,,ZTF24aaejrzs
ztf,60363.43451389996,2609434514315015002,2,2609434514315,18.722479,1,2609,0.9145174,17.190119,17.1231,0.050969888,0.0722,217.7256812,40.7142251,0.9085714,t17_f5_c3,0.9999999,17.0747,0.0883,719120243,True,True,False,23.12.x,0.0,16.934683,0.03258326,0.040284596,ZTF24aaejrzs
ztf,60369.503923600074,2615503924315015005,1,2615503924315,20.175531,1,2615,2.6864789,17.933105,17.9651,0.056426782,0.0563,217.7256652,40.7142452,0.95428574,t17_f5_c3,0.9999956,18.017,0.0745,719120143,True,False,False,23.12.x,0.0,,,,ZTF24aaejrzs
ztf,60379.348865699954,2625348864315015009,1,2625348864315,20.54392,1,2625,2.657047,18.33447,18.395,0.08434573,0.0647,217.7256732,40.7142391,0.96,t17_f5_c3,0.99981356,18.4117,0.0821,719120143,True,False,False,23.12.x,0.0,,,,ZTF24aaejrzs
ztf,60388.45093750022,2634450934315015005,1,2634450934315,20.49648,1,2634,2.7331507,18.618805,18.6529,0.08375928,0.0789,217.7256467,40.7142467,0.9628571,t17_f5_c3,0.9999887,18.6268,0.0967,719120143,True,False,False,23.12.x,0.0,,,,ZTF24aaejrzs
ztf,60391.394317099825,2637394314315015001,1,2637394314315,19.876589,1,2637,2.757264,18.618359,18.5864,0.10907625,0.126,217.7256363,40.7142461,0.94714284,t17_f5_c3,0.99997324,18.432,0.1394,719120143,True,False,False,23.12.x,0.0,,,,ZTF24aaejrzs
ztf,60396.36322919978,2642363224315015004,1,2642363224315,19.574007,1,2642,2.6729457,18.820726,18.8277,0.12826833,0.1836,217.7256605,40.7142299,0.93,t17_f5_c3,0.9998826,18.7487,0.2183,719120143,True,False,False,23.12.x,0.0,,,,ZTF24aaejrzs
