ztf_oid,antares_id,bands
ZTF21abnujlh,ANT2021uj3gc,R
ZTF23aaxchnm,ANT2023hc6jjo55mtwp,R
ZTF22aagdeka,ANT2022b6ixa,g
ZTF19aaprtbd,ANT2020b4fbe,R
ZTF19aaimlnn,ANT2019fojta,"R,g"
ZTF19abcqbvr,ANT2020cbrae,R
ZTF19aavhnpi,ANT2019vlbyy,g
ZTF18achckth,ANT2020o7nvk,R
ZTF20abzbsxy,ANT20203radw,g
ZTF24aafbdtb,ANT2024qoip30zb9g64,R
ZTF22aacedio,ANT2022bvvpu,R
ZTF23aaxuvkn,ANT20234vk5r46b40wf,g
ZTF18acceaou,ANT2020aehyboy,R
ZTF19aaonuvl,ANT2020ardfa,R
ZTF19acpkksz,ANT2020md4ek,R
ZTF24abqqoww,ANT2020afgk7ni,g
ZTF20abolrpg,ANT2020oelgg,"R,g"
ZTF22abcafgw,ANT2026mbw0ifivnk03,R
ZTF19aawqnqe,ANT2020elymc,R
ZTF18adkweii,ANT2020avwu4,R
ZTF24aahpfqt,ANT2024l9eolvnizk4v,R
ZTF18acealtv,ANT2020mypcw,"R,g"
ZTF18abmfrxl,ANT2018e3pqs,R
ZTF25abxlcab,ANT2025wuoc3h7zdm8s,"R,g"
ZTF20abojbrd,ANT2020obpmo,R
ZTF18adqikqw,ANT2020agfvm,R
ZTF20acxzmro,ANT2020afkmczi,"R,g"
ZTF24abvftmi,ANT2024x8xk1x0oelpm,R
ZTF20acqqdyj,ANT2020ae2dr2y,R
ZTF18adrudtp,ANT2020cbknw,R
ZTF19aaudyln,ANT2020gq6no,R
ZTF22abfzzmh,ANT2023uk7hzuraq9qa,R
ZTF25aabaanf,ANT2025cpdqyrlkc1q0,R
ZTF19accskvu,ANT2019j7hhy,R
ZTF19abueffo,ANT2020b74pa,R
ZTF25acfwips,ANT2020uztiu,"R,g"
ZTF18absdjtu,ANT2020b2bbq,g
ZTF20acfpsmo,ANT20207huzq,g
ZTF18abrzeuw,ANT2018ggvxs,R
ZTF20abgdsrd,ANT2020bej7u,R
ZTF19aaimmea,ANT2020bon3o,R
ZTF18absrens,ANT2020ahakq,R
ZTF20aavuiwf,ANT2021b6342,"R,g"
ZTF23aatczae,ANT2026q5t2i3xsnb3f,R
